Locatie;categorie;X;Y;WS code;TOX code;jaar;maand;Fase 1;Fase 2;Fase 3;watervlo veld;bact;alg;watervlo;cytotox polair;cytotox apolair;ER;anti-AR;GR;anti-PR;antibio;PAK;PPARg;Nrf2;PXR;p53-;p53+;SRI 1.2;;;;;;;;;;
Zuider Legmeerpolder;agrarisch;112695;473140;ZLP004;ZLP3b;2013;sept;1.18;;;2.50;0.26;0.08;0.00;;;0.29;0.63;0.00;;0.00;;1.70;;;0.00;;1.18;;;;;;;;;;
Gemaal Zevenhoven;agrarisch;116595;466777;PZH001;GZHa;2013;juli;1.13;;;0.00;0.14;0.10;0.00;;;;;;;0.00;;5.18;;;0.00;;1.13;;;;;;;;;;
Noorder Legmeerpolder;agrarisch;118218;473020;NLP001;NLP2a;2013;juli;1.12;;;2.75;0.02;0.00;0.04;;;0.45;0.91;0.00;;0.00;;0.85;;;0.00;;1.12;;;;;;;;;;
Westergasfabriek;gasfabriek;119753;488756;HLV003;;2017;mei;1.10;;;1.21;0.01;0.00;0.00;0.79;0.00;1.10;2.44;0.00;;0.85;1.27;0.05;0.00;0.49;0.05;0.02;1.10;;;;;;;;;;
Polder Derde Bedijking;agrarisch;117682;468169;PDB008;PDBa;2015;okt;1.07;;;0.25;0.10;0.07;0.21;;0.00;0.81;0.25;0.00;;0.00;0.25;0.00;4.41;2.65;0.00;0.00;1.07;;;;;;;;;;
Waterleidingkanaal;agrarisch;131687;463191;DW;GBPd;2019;okt;1.02;;;3.25;0.04;0.02;0.00;0.00;0.00;0.79;0.00;0.00;0.11;0.00;0.11;0.62;0.69;1.03;0.00;;1.02;;;;;;;;;;
Amstelveense Poel (RL);stad&div;116639;478261;AVP001;WEPb;2016;mei;1.01;;;1.75;0.00;0.00;0.00;;0.00;1.55;1.14;0.00;0.00;0.80;0.27;0.00;0.64;1.71;0.00;0.00;1.01;;;;;;;;;;
Gemaal Zevenhoven;agrarisch;116595;466777;PZH001;GZHb;2013;sept;0.99;;;0.75;0.34;0.00;0.53;;;1.21;0.70;0.00;;0.00;;1.81;;;0.00;;0.99;;;;;;;;;;
Kortenhoef vuilstort;vuilstort;135669;472026;PKH442;KOR;2016;okt;0.99;;;2.50;0.04;0.00;0.00;0.60;0.00;0.63;1.17;0.00;;0.01;0.26;0.00;0.51;1.16;0.03;0.00;0.99;;;;;;;;;;
Ringvaart Watergraafsmeer;gasfabriek;123850;485452;RWM005;;2017;okt;0.98;;;0.00;0.13;0.00;0.00;0.18;0.00;0.00;1.00;0.00;;0.01;1.27;0.00;1.28;5.02;0.29;0.29;0.98;;;;;;;;;;
Oostenburgervaart;vuile bodem;123752;487071;NYA006;;2017;mei;0.98;;;1.08;0.06;0.00;0.00;0.36;0.00;2.19;0.90;0.00;;1.06;0.46;0.17;0.62;1.94;0.05;0.02;0.98;;;;;;;;;;
Vast punt ZLP glastuinbouw;agrarisch;111993;471190;ZLP038;;2018;juni;0.95;;;2.00;0.02;0.00;0.10;;0.00;;;;;;1.11;0.00;0.75;0.97;0.00;0.06;0.95;;;;;;;;;;
Ankeveen vuilstort;vuilstort;136182;476127;HAP007;ANK;2016;okt;0.93;;;1.00;0.06;0.00;0.00;0.18;0.00;4.17;0.00;0.00;;0.01;0.67;0.00;0.63;1.05;0.04;0.00;0.93;;;;;;;;;;
Wittenburgervaart;vuile bodem;123633;487292;ADM065;;2017;mei;0.91;;;0.96;0.03;0.00;0.00;0.60;0.00;0.82;1.14;0.00;;0.04;0.38;0.98;0.00;2.15;0.17;0.02;0.91;;;;;;;;;;
KWR punt Amstel boezem;stad&div;116996;471578;AMS003;;2019;sept;0.91;;;0.55;0.09;0.00;0.09;0.79;0.01;0.25;0.35;0.00;0.67;0.01;0.88;1.32;0.57;2.44;0.00;0.00;0.91;;;;;;;;;;
Gemeenschapsweg;riool;130474;480729;GSZ001;;2017;mei;0.91;;;0.92;0.11;0.00;0.00;0.18;0.00;0.90;0.60;0.00;;0.04;0.16;0.64;0.93;3.11;0.02;0.02;0.91;;;;;;;;;;
Gemaal Breukelen;riool;128417;464179;BRE009;;2017;mei;0.89;;;1.38;0.05;0.00;0.00;0.06;0.00;1.43;0.29;0.00;;0.02;0.08;0.38;0.20;2.73;0.02;0.02;0.89;;;;;;;;;;
