WS code;code;maand;jaar;watervlo veld;bact;alg;watervlo;cytotox polair;cytotox apolair;ER;anti-AR;GR;antibio;DR;PAK;PPARg;Nrf2;PXR;p53-;p53+;SIMONI 1.2;EAG;SIMONI 1.2;bron
ADM075;Amstel Magere brug;5;2017;1.75;0.02;0;0.01;0.18;0;0.39;0.6;0;0.01;0.92;0.23;0.16;0.2;0.95;0.01;0.01;;1000-EAG-1;0.724;riool
NYA006;Oostenburgervaart;5;2017;1.75;0.06;0;0;0.36;0;2.19;0.9;0;1.06;1.53;0.46;0.17;0.62;1.94;0.05;0.02;;6000-EAG-1;1.29;bodem
ADM065;Wittenburgervaart;5;2017;3;0.03;0;0;0.6;0;0.82;1.14;0;0.04;0.95;0.38;0.98;0;2.15;0.17;0.02;;6000-EAG-1;1.323;bodem
MPA024;Dijkgravenlaan;5;2017;0.5;0.06;0.03;0.05;5.95;0;5.12;3.57;0;0.25;0.31;0.16;0;0.58;1.64;0.02;0.02;;2110-EAG-5;1.891;riool
GSZ001;Gemeenschapsweg;5;2017;2.25;0.11;0;0;0.18;0;0.9;0.6;0;0.04;0.6;0.16;0.64;0.93;3.11;0.02;0.02;;3050-EAG-1;1.19;industrie
GZK006;Brug Meentweg;5;2017;1.75;0.04;0;0.11;0.06;0;4.52;0.23;1.61;1.39;0.57;0.24;0.22;0.24;1.5;0.01;0.04;;;1.439;riool
HUI018;hoek Huizermaat;5;2017;1;0.16;0;0.09;1.79;0.01;5.83;2.62;0;0.6;1.24;0.3;0.47;0.35;5.74;0.04;0.04;;7100-EAG-2;2.149;riool
AMS003;Amstel, amstel brug provincialeweg uithoorn;7;2018;0.75;0.03;0;0.17;1.19;0.01;0.57;0.35;0.06;0.28;0;1.16;0;1.48;1.49;0;0;;2000-EAG-6;0.837;KRW
BOP008;poldersl.zuid vuilst.h.brug;7;2018;3.5;0.09;0.09;0;5.95;0.14;2.98;0.33;0;0.17;0;0.52;0;4.33;3.51;0;2.16;;4110-EAG-1;2.62;vuilstort
MBP041;"Kievitsbuurt Noord; ""kluitje in het riet"" voor huis De Kooy invaren";7;2018;4;0.04;0;0.08;1.19;0.02;0.18;0;0;0;0;2.85;0;0;2.03;0.35;1.05;;3300-EAG-3;1.463;bagger en legakkerherstel
NIJ006;nieuwe potetiele bron (vervuilde grond in gronddepot);7;2018;0.75;0.04;0;0;0.18;0.01;0.09;0.13;0;0;0;1.12;0;1.05;2.01;0;0.02;;6100-EAG-1;0.594;
PKH448;Hilversumskanaal (oostkant) sporthavenpad, Hilversum;7;2018;4.5;0;0;0;;0.01;;;;;0;1.27;0;0.33;1.34;0.22;0.22;;;1.623;oude haven
RIJ001;2 riooloverstorten en BBB's en dikke sliblaag (meetwens vanuit WGP);7;2018;2.5;0.15;0;0;0.18;0.04;1.11;0.07;0;0.2;0;3.34;0;2.93;8.14;0;0;;;2.037;
VEC004;Vecht, Vecht eilandseweg to nr.16;7;2018;0.5;0;0;0;0.79;0.01;0.22;0.09;0;0;0;1.38;0;0.76;0.81;0.48;0.48;;3000-EAG-1;0.535;
ZLP038;kruising achterweg dwarsweg, zuiderlegmeer;7;2018;2;0.02;0;0.1;;0;;;;;0;1.11;0;0.75;0.97;0;0.06;;2150-EAG-3;0.946;
