fewsid;code;naam;b_datum;e_datum;aquo;aquoid;WNA.oeverplantensoorten;datum;geslacht;author;beschermingsstatus.florafaunawet;WNA.habitatvoorkeur.vis;taxoncode;TWN.taxongroup;WNA.fytoplankton.groep;parentname;levensvorm;WNA.migratiegilde.vis;WNA.zuurstoftolerante.vis;WNA.kroossoorten;WNA.emerse.plantensoorten;check_2;TWN.taxonlevel;WNA.toxische.blauwalg;check1;WNA.reynolds.groep.cyanobacterieen;WNA.nederlandse.soortnaam;status;WNA.plantminnendheid.vis;WNA.fytoplankton.subgroep;refername;alleendrogeoever;WNA.onderwaterplantensoorten;WNA.soorten.met.drijvend.blad;WNA.stromingsgilde.vis;TWN.taxontype
1;Abies;Abies;1-1-1981;;;;1;11-9-2009;Abies;P. Miller 1754;;;ABIE;GYMNO;;Pinaceae;;;;0;0;;Genus;;;;;10;;;;1;0;0;;MACFT
2;Abies alba;Abies alba;1-1-1981;;;;1;17-12-2009;Abies;C. Linnaeus 1753;;;ABIEALBA;GYMNO;;Abies;;;;0;0;;Species;;;;Gewone zilverspar;10;;;;1;0;0;;MACFT
3;Abies concolor;Abies concolor;1-1-1981;;;;1;4-12-2009;Abies;(G. Gordon et R. Glendinning) J. Lindley ex F.H.G. Hildebrand 1861;;;ABIECONC;ANGIO;;Abies;;;;0;0;;Species;;;;;10;;;;1;0;0;;MACFT
4;Abies nordmanniana;Abies nordmanniana;1-1-1981;;;;1;17-12-2009;Abies;(C. von Steven) É. Spach 1841;;;ABIENORD;GYMNO;;Abies;;;;0;0;;Species;;;;Kaukasische zilverspar;10;;;;1;0;0;;MACFT
5;Abies procera;Abies procera;1-1-1981;;;;1;4-12-2009;Abies;A. Rehder 1940;;;ABIEPROC;ANGIO;;Abies;;;;0;0;;Species;;;;;10;;;;1;0;0;;MACFT
6;Abies veitchii;Abies veitchii;1-1-1981;;;;1;21-12-2009;Abies;J. Lindley 1861;;;ABIEVEIT;GYMNO;;Abies;;;;0;0;;Species;;;;Japanse zilverspar;10;;;;1;0;0;;MACFT
7;Abietinaria;Abietinaria;1-1-1981;;;;;13-9-2016;Abietinaria;Kirchenpauer, 1884;;;ABIE;BRHYP;;Sertulariidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
8;Abietinaria abietina;Abietinaria abietina;1-1-1981;;;;;13-9-2016;Abietinaria;(Linnaeus, 1758);;;ABIEABIE;BRHYP;;Abietinaria;;;;;;;Species;;;;;10;;;;;;;;MACEV
9;Ablabesmyia;Ablabesmyia;1-1-1981;;;;;9-6-2009;Ablabesmyia;Johannsen, 1905;;;ABLA;IDCHI;;Tanypodinae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
10;Ablabesmyia longistyla;Ablabesmyia longistyla;1-1-1981;;;;;9-6-2009;Ablabesmyia;Fittkau, 1962;;;ABLALONG;IDCHI;;Ablabesmyia;;;;;;;Species;;;;;10;;;;;;;;MACEV
11;Ablabesmyia monilis;Ablabesmyia monilis;1-1-1981;;;;;9-6-2009;Ablabesmyia;(Linnaeus, 1758);;;ABLAMONI;IDCHI;;Ablabesmyia;;;;;;;Species;;;;;10;;;;;;;;MACEV
12;Ablabesmyia monilis agg.;Ablabesmyia;1-1-1981;31-12-2017;;;;9-6-2009;Ablabesmyia;Johannsen, 1905;;;ABLA;IDCHI;;Tanypodinae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
13;Ablabesmyia monilis gr.;Ablabesmyia;1-1-1981;31-12-2017;;;;9-6-2009;Ablabesmyia;Johannsen, 1905;;;ABLA;IDCHI;;Tanypodinae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
14;Ablabesmyia monilis/longistyla;Ablabesmyia monilis/longistyla;1-1-1981;;;;;25-11-2008;Ablabesmyia;sensu Moller Pillot, 2003;;;ABLAMONL;IDCHI;;Ablabesmyia;;;;;;;Species combi;;;;;80;;;;;;;;MACEV
15;Ablabesmyia monilis/phatta;Ablabesmyia monilis/phatta;1-1-1981;;;;;9-6-2009;Ablabesmyia;sensu Moller Pillot/Langton;;;ABLAMONS;IDCHI;;Ablabesmyia;;;;;;;Species combi;;;;;80;;;;;;;;MACEV
16;Ablabesmyia phatta;Ablabesmyia phatta;1-1-1981;;;;;9-6-2009;Ablabesmyia;(Egger, 1863);;;ABLAPHAT;IDCHI;;Ablabesmyia;;;;;;;Species;;;;;10;;;;;;;;MACEV
17;Ablechroiulus;Ablechroiulus;1-1-1981;;;;;25-11-2008;Ablechroiulus;Andrássy, 1966;;;ABLE;;;Rhabditidae;;;;;;;Genus;;;;;10;;;;;;;;NEMTD
18;Ablechroiulus paraciliatus;Ablechroiulus paraciliatus;1-1-1981;;;;;25-11-2008;Ablechroiulus;(Goodey, 1943);;;ABLEPARA;;;Ablechroiulus;;;;;;;Species;;;;;10;;;;;;;;NEMTD
19;Abludomelita;Abludomelita;1-1-1981;;;;;25-11-2008;Abludomelita;Karaman, 1981;;;ABLU;CRAMP;;Melitidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
20;Abludomelita obtusata;Abludomelita obtusata;1-1-1981;;;;;25-11-2008;Abludomelita;(Montagu, 1813);;;ABLUOBTU;CRAMP;;Abludomelita;;;;;;;Species;;;;;10;;;;;;;;MACEV
21;Abra;Abra;1-1-1981;;;;;5-7-2010;Abra;Leach in Lamarck, 1818;;;ABRA;MOBIV;;Semelidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
22;Abra alba;Abra alba;1-1-1981;;;;;25-11-2008;Abra;(Wood, 1802);;;ABRAALBA;MOBIV;;Abra;;;;;;;Species;;;;;10;;;;;;;;MACEV
23;Abra nitida;Abra nitida;1-1-1981;;;;;25-11-2008;Abra;(O.F. Müller, 1776);;;ABRANITI;MOBIV;;Abra;;;;;;;Species;;;;;10;;;;;;;;MACEV
24;Abra prismatica;Abra prismatica;1-1-1981;;;;;25-11-2008;Abra;(Montagu, 1808);;;ABRAPRIS;MOBIV;;Abra;;;;;;;Species;;;;;10;;;;;;;;MACEV
25;Abra tenuis;Abra tenuis;1-1-1981;;;;;25-11-2008;Abra;(Montagu, 1803);;;ABRATENU;MOBIV;;Abra;;;;;;;Species;;;;;10;;;;;;;;MACEV
26;Abramis;Abramis;1-1-1981;;;;;29-3-2019 11:40;Abramis;G.L.C.F.D. Cuvier, 1816;;;ABRM;;;Cyprinidae;;;;;;;Genus;;;;;10;;;;;;;;VISSN
27;Abramis brama;Abramis brama;1-1-1981;;;;;29-3-2019 11:44;Abramis;(C. Linnaeus, 1758);;TOLE;ABRMBRAM;;;Abramis;;IM;;;;;Species;;;;Brasem;10;;;;;;;EURY;VISSN
28;Abramis leuckartii;Abramis leuckartii;1-1-1981;;;;;11-10-2013;Abramis;J.J. Heckel, 1837;;;ABRMLEUC;;;Abramis;;;;;;;Nothospecies;;;;;10;;;;;;;;VISSN
29;Abyssoninoe;Abyssoninoe;1-1-1981;;;;;11-3-2011;Abyssoninoe;Orensanz, 1990;;;ABYS;APPOL;;Lumbrineridae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
30;Abyssoninoe hibernica;Abyssoninoe hibernica;1-1-1981;;;;;11-3-2011;Abyssoninoe;(McIntosh, 1903);;;ABYSHIBE;APPOL;;Abyssoninoe;;;;;;;Species;;;;;10;;;;;;;;MACEV
31;Acamptocladius;Acamptocladius;1-1-1981;;;;;25-11-2008;Acamptocladius;Brundin, 1956;;;ACAM;IDCHI;;Orthocladiinae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
32;Acamptocladius submontanus;Acamptocladius submontanus;1-1-1981;;;;;25-11-2008;Acamptocladius;(Edwards, 1932);;;ACAMSUBM;IDCHI;;Acamptocladius;;;;;;;Species;;;;;10;;;;;;;;MACEV
33;Acanthocardia;Acanthocardia;1-1-1981;;;;;25-11-2008;Acanthocardia;J.E. Gray, 1851;;;ACAT;MOBIV;;Cardiidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
34;Acanthocardia echinata;Acanthocardia echinata;1-1-1981;;;;;25-11-2008;Acanthocardia;(Linnaeus, 1758);;;ACATECHI;MOBIV;;Acanthocardia;;;;;;;Species;;;;;10;;;;;;;;MACEV
35;Acanthocardia paucicostata;Acanthocardia paucicostata;1-1-1981;;;;;26-6-2013;Acanthocardia;(G.B. Sowerby II, 1834);;;ACATPAUC;MOBIV;;Acanthocardia;;;;;;;Species;;;;;10;;;;;;;;MACEV
36;Acanthocardia tuberculata;Acanthocardia tuberculata;1-1-1981;;;;;15-6-2009;Acanthocardia;(Linnaeus, 1758);;;ACATTUBE;MOBIV;;Acanthocardia;;;;;;;Species;;;;;10;;;;;;;;MACEV
37;Acanthocephala;Acanthocephala;1-1-1981;;;;;17-2-2011;Acanthocephala;Laporte, 1833;;;ACTH;MAREM;;Animalia;;;;;;;Phylum;;;;;10;;;;;;;;MACEV
38;Acanthocephalus;Acanthocephalus;1-1-1981;;;;;25-11-2008;Acanthocephalus;Koelreuther, 1771;;;ACAH;MAREM;;Echinorynchidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
39;Acanthoceras;Acanthoceras;1-1-1981;;;;;25-11-2008;Acanthoceras;H.L. Honigmann 1909;;;ACCE;BIPOL;Diatom;Acanthocerataceae;cel;;;;;;Genus;0;;;;10;;Centrales;;;;;;DIATM
40;Acanthoceras zachariasii;Acanthoceras zachariasii;1-1-1981;;;;;25-11-2008;Acanthoceras;(J.-J. Brun) R. Simonsen 1979;;;ACCEZACH;BIPOL;Diatom;Acanthoceras;cel;;;;;;Species;0;;;;10;;Centrales;;;;;;DIATM
41;Acanthocerataceae;Acanthocerataceae;1-1-1981;;;;;25-11-2008;Acanthocerataceae;R.M. Crawford et F.E. Round in F.E. Round, R.M. Crawford et D.G. Mann 1990;;;ACOC;BIPOL;Diatom;Chaetocerotales;;;;;;;Familia;0;;;;10;;Overig;;;;;;DIATM
42;Acanthochloris;Acanthochloris;1-1-1981;;;;;4-3-2014;Acanthochloris;A.A. Pascher 1930;;;ACAN;CHRYS;Overige;Pleurochloridaceae;;;;;;;Genus;0;;;;10;;Chrysophyceae;;;;;;FYTPT
43;Acanthochloris scherffelii;Acanthochloris scherffelii;1-1-1981;;;;;4-3-2014;Acanthochloris;A.A. Pascher 1938 ('Akanthochloris');;;ACANSCHE;CHRYS;Overige;Acanthochloris;;;;;;;Species;0;;;;10;;Chrysophyceae;;;;;;FYTPT
44;Acanthocyclops;Acanthocyclops;1-1-1981;;;;;25-11-2008;Acanthocyclops;F. Kiefer, 1927;;;ACCL;COPEP;;Cyclopidae;;;;;;;Genus;;;;;10;;;;;;;;ZOOPT
45;Acanthocyclops robustus;Acanthocyclops robustus;1-1-1981;;;;;25-11-2008;Acanthocyclops;(G.O. Sars, 1863);;;ACCLROBU;COPEP;;Acanthocyclops;;;;;;;Species;;;;;10;;;;;;;;ZOOPT
46;Acanthocyclops sensitivus;Acanthocyclops sensitivus;1-1-1981;;;;;25-11-2008;Acanthocyclops;(A. Graeter et P.A. Chappuis, 1914);;;ACCLSENS;COPEP;;Acanthocyclops;;;;;;;Species;;;;;10;;;;;;;;ZOOPT
47;Acanthocyclops venustus;Acanthocyclops venustus;1-1-1981;;;;;25-11-2008;Acanthocyclops;(A.M. Norman et T. Scott, 1906);;;ACCLVENU;COPEP;;Acanthocyclops;;;;;;;Species;;;;;10;;;;;;;;ZOOPT
48;Acanthocyclops vernalis;Acanthocyclops vernalis;1-1-1981;;;;;25-11-2008;Acanthocyclops;(S. Fischer, 1853);;;ACCLVERN;COPEP;;Acanthocyclops;;;;;;;Species;;;;;10;;;;;;;;ZOOPT
49;Acanthocyclops viridis;Acanthocyclops viridis;1-1-1981;;;;;2-11-2009;Acanthocyclops;(L. Jurine, 1820);;;ACCLVIRD;COPEP;;Acanthocyclops;;;;;;;Species;;;;;10;;;;;;;;ZOOPT
50;Acanthocystidae;Acanthocystidae;1-1-1981;;;;;29-1-2019 09:58;Acanthocystidae;C. Claus, 1874;;;ACAT;HELIO;;Chalarothorina;;;;;;;Familia;;;;;10;;;;;;;;ZOOPT
51;Acanthocystis;Acanthocystis;1-1-1981;;;;;29-1-2019 09:59;Acanthocystis;H.J. Carter, 1863;;;ACAN;HELIO;;Acanthocystidae;;;;;;;Genus;;;;;10;;;;;;;;ZOOPT
52;Acanthocystis penardi;Acanthocystis penardi;1-1-1981;;;;;11-2-2014;Acanthocystis;Wailes, 1925;;;ACANPENA;HELIO;;Acanthocystis;;;;;;;Species;;;;;10;;;;;;;;ZOOPT
53;Acanthocystis spinifera;Acanthocystis spinifera;1-1-1981;;;;;2-11-2009;Acanthocystis;R. Greeff, 1869;;;ACANSPIN;HELIO;;Acanthocystis;;;;;;;Species;;;;;10;;;;;;;;ZOOPT
54;Acanthodoris;Acanthodoris;1-1-1981;;;;;27-11-2012;Acanthodoris;Gray, 1850;;;ACAO;MOGAS;;Onchidorididae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
55;Acanthodoris pilosa;Acanthodoris pilosa;1-1-1981;;;;;28-5-2019 09:52;Acanthodoris;(Abildgaard in O.F. Müller, 1789);;;ACAOPILO;MOGAS;;Acanthodoris;;;;;;;Species;;;;;10;;;;;;;;MACEV
56;Acanthoecida;Acanthoecida;1-1-1981;;;;;26-6-2013;Acanthoecida;T. Cavalier-Smith, 1997;;;ACAE;HITAX;Overige;Choanoflagellatea;;;;;;;Ordo;0;;;;10;;Overig;;;;;;FYTPT
57;Acanthoecidae;Acanthoecidae;1-1-1981;;;;;8-2-2019 12:54;Acanthoecidae;R.E. Norris, 1965;;;ACCI;HITAX;Overige;;;;;;;;Familia;0;;;;92;;Overig;;;;;;FYTPT
58;Acanthoica;Acanthoica;1-1-1981;;;;;31-8-2009;Acanthoica;H. Lohmann 1902;;;ACOI;CHRYS;Overige;Rhabdosphaeraceae;;;;;;;Genus;0;;;;10;;Chrysophyceae;;;;;;FYTPT
59;Acanthoica quattrospina;Acanthoica quattrospina;1-1-1981;;;;;31-8-2009;Acanthoica;H. Lohmann 1902;;;ACOIQUAT;CHRYS;Overige;Acanthoica;;;;;;;Species;0;;;;10;;Chrysophyceae;;;;;;FYTPT
60;Acantholeberis;Acantholeberis;1-1-1981;;;;;25-11-2008;Acantholeberis;W. Lilljeborg, 1853;;;ACLE;BRANC;;Macrothricidae;;;;;;;Genus;;;;;10;;;;;;;;ZOOPT
61;Acantholeberis curvirostris;Acantholeberis curvirostris;1-1-1981;;;;;25-11-2008;Acantholeberis;(O.F. Müller, 1776);;;ACLECURV;BRANC;;Acantholeberis;;;;;;;Species;;;;;10;;;;;;;;ZOOPT
62;Acanthosphaera [1];Acanthosphaera [1];1-1-1981;;;;;8-9-2009;Acanthosphaera;E.J. Lemmermann 1899 s.str.;;;ACAH;CHLOR;Chlorophyta;Golenkiniaceae;;;;;;;Genus;0;;;;10;;Chlorophyta;;;;;;FYTPT
63;Acanthosphaera tenuispina;Acanthosphaera tenuispina;1-1-1981;;;;;30-11-2009;Acanthosphaera;O.A. Korshikov 1953;;;ACPHTENU;CHLOR;Chlorophyta;Acanthosphaera [1];;;;;;;Species;0;;;;10;;Chlorophyta;;;;;;FYTPT
64;Acanthosphaera zachariasii [1];Acanthosphaera zachariasii [1];1-1-1981;;;;;8-9-2009;Acanthosphaera;E.J. Lemmermann 1899 s.str.;;;ACPHZACA;CHLOR;Chlorophyta;Acanthosphaera [1];;;;;;;Species;0;;;;10;;Chlorophyta;;;;;;FYTPT
65;Acanthosphaera zachariasii [2];Acanthosphaera zachariasii [2];1-1-1981;;;;;8-9-2009;Acanthosphaera;sensu F. Hindák 1984;;;ACPHZACR;CHLOR;Chlorophyta;Acanthosphaera [1];;;;;;;Species;0;;;;10;;Chlorophyta;;;;;;FYTPT
66;Acanthosphaera zachariasii [3];Acanthosphaera zachariasii [3];1-1-1981;;;;;8-9-2009;Acanthosphaera;sensu L. Geitler 1924;;;ACPHZACI;CHLOR;Chlorophyta;Acanthosphaera [1];;;;;;;Species;0;;;;10;;Chlorophyta;;;;;;FYTPT
67;Acanthosphaera zachariasii [5];Acanthosphaera zachariasii [5];1-1-1981;;;;;8-9-2009;Acanthosphaera;sensu O.A. Korshikov 1953;;;ACPHZAHA;CHLOR;Chlorophyta;Acanthosphaera [1];;;;;;;Species;0;;;;10;;Chlorophyta;;;;;;FYTPT
68;Acanthosphaeria tenuispina;Acanthosphaera tenuispina;1-1-1981;31-12-2017;;;;30-11-2009;Acanthosphaera;O.A. Korshikov 1953;;;ACPHTENU;CHLOR;Chlorophyta;Acanthosphaera [1];;;;;;;Species;0;;;;10;;Chlorophyta;;;;;;FYTPT
69;Acartia;Acartia;1-1-1981;;;;;2-11-2009;Acartia;J.D. Dana, 1846;;;ACAR;COPEP;;Acartiidae;;;;;;;Genus;;;;;10;;;;;;;;ZOOPT
70;Acartia bifilosa;Acartia bifilosa;1-1-1981;;;;;2-11-2009;Acartia;(W. Giesbrecht, 1881);;;ACARBIFI;COPEP;;Acartia;;;;;;;Species;;;;;10;;;;;;;;ZOOPT
71;Acartia clausi;Acartia clausi;1-1-1981;;;;;2-11-2009;Acartia;W. Giesbrecht, 1889;;;ACARCLAU;COPEP;;Acartia;;;;;;;Species;;;;;10;;;;;;;;ZOOPT
72;Acartia tonsa;Acartia tonsa;1-1-1981;;;;;2-11-2009;Acartia;J.D. Dana, 1849;;;ACARTONS;COPEP;;Acartia;;;;;;;Species;;;;;10;;;;;;;;ZOOPT
73;Acartiidae;Acartiidae;1-1-1981;;;;;2-11-2009;Acartiidae;G.O. Sars, 1900;;;ACRT;COPEP;;Calanoida;;;;;;;Familia;;;;;10;;;;;;;;ZOOPT
74;Accipiter;Accipiter;1-1-1981;;;;;25-11-2008;Accipiter;Brisson, 1760;;;ACCI;;;Accipitridae;;;;;;;Genus;;;;;10;;;;;;;;VOGLS
75;Accipiter gentilis;Accipiter gentilis;1-1-1981;;;;;25-11-2008;Accipiter;(Linnaeus, 1758);;;ACCIGENT;;;Accipiter;;;;;;;Species;;;;Havik;10;;;;;;;;VOGLS
76;Accipiter nisus;Accipiter nisus;1-1-1981;;;;;25-11-2008;Accipiter;(Linnaeus, 1758);;;ACCINISU;;;Accipiter;;;;;;;Species;;;;Sperwer;10;;;;;;;;VOGLS
77;Accipitridae;Accipitridae;1-1-1981;;;;;25-11-2008;Accipitridae;Vieillot, 1816;;;ACCP;;;Falconiformes;;;;;;;Familia;;;;;10;;;;;;;;VOGLS
78;Acentria;Acentria;1-1-1981;;;;;25-11-2008;Acentria;Stephens, 1829;;;ACEN;INLEP;;Crambidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
79;Acentria ephemerella;Acentria ephemerella;1-1-1981;;;;;25-11-2008;Acentria;(Dennis et Schiffermüller, 1775);;;ACENEPHE;INLEP;;Acentria;;;;;;;Species;;;;;10;;;;;;;;MACEV
80;Acer;Acer;1-1-1981;;;;1;25-11-2008;Acer;C. Linnaeus 1753;;;ACER;ANGIO;;Sapindaceae;;;;0;0;;Genus;;;;;10;;;;1;0;0;;MACFT
81;Acer campestre;Acer campestre;1-1-1981;;;;1;25-11-2008;Acer;C. Linnaeus 1753;;;ACERCAMP;ANGIO;;Acer;;;;0;0;;Species;;;;Spaanse aak;10;;;;1;0;0;;MACFT
82;Acer negundo;Acer negundo;1-1-1981;;;;1;2-11-2009;Acer;C. Linnaeus 1753;;;ACERNEGU;ANGIO;;Acer;;;;0;0;;Species;;;;Vederesdoorn;10;;;;1;0;0;;MACFT
83;Acer platanoides;Acer platanoides;1-1-1981;;;;1;17-12-2009;Acer;C. Linnaeus 1753;;;ACERPLAT;ANGIO;;Acer;;;;0;0;;Species;;;;Noorse esdoorn;10;;;;1;0;0;;MACFT
84;Acer pseudoplatanus;Acer pseudoplatanus;1-1-1981;;;;1;25-11-2008;Acer;C. Linnaeus 1753;;;ACERPSEU;ANGIO;;Acer;;;;0;0;;Species;;;;Gewone esdoorn;10;;;;1;0;0;;MACFT
85;Achaeta;Achaeta;1-1-1981;;;;;18-5-2009;Achaeta;Vejdovský, 1878;;;ACHA;APOLI;;Enchytraeidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
86;Achaeta eiseni;Achaeta eiseni;1-1-1981;;;;;25-11-2008;Achaeta;(Vejdovský, 1878);;;ACHAEISE;APOLI;;Achaeta;;;;;;;Species;;;;;10;;;;;;;;MACEV
87;Achaeus;Achaeus;1-1-1981;;;;;25-11-2008;Achaeus;Leach, 1817;;;ACHE;CRDEC;;Majidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
88;Achaeus cranchii;Achaeus cranchii;1-1-1981;;;;;25-11-2008;Achaeus;Leach, 1817;;;ACHECRAN;CRDEC;;Achaeus;;;;;;;Species;;;;;10;;;;;;;;MACEV
89;Achelia;Achelia;1-1-1981;;;;;19-4-2017;Achelia;Hodge, 1864;;;ACHL;MAREM;;Ammotheidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
90;Achelia echinata;Achelia echinata;1-1-1981;;;;;19-4-2017;Achelia;Hodge, 1864;;;ACHLECHI;MAREM;;Achelia;;;;;;;Species;;;;;10;;;;;;;;MACEV
91;Achelia laevis;Achelia laevis;1-1-1981;;;;;19-4-2017;Achelia;Hodge, 1864;;;ACHLLAEV;MAREM;;Achelia;;;;;;;Species;;;;;10;;;;;;;;MACEV
92;Achillea;Achillea;1-1-1981;;;;1;25-11-2008;Achillea;C. Linnaeus 1753;;;ACHI;ANGIO;;Asteraceae;;;;0;0;;Genus;;;;;10;;;;1;0;0;;MACFT
93;Achillea millefolium;Achillea millefolium;1-1-1981;;;;1;25-11-2008;Achillea;C. Linnaeus 1753;;;ACHIMILL;ANGIO;;Achillea;;;;0;0;;Species;;;;Duizendblad;10;;;;1;0;0;;MACFT
94;Achillea ptarmica;Achillea ptarmica;1-1-1981;;;;1;25-11-2008;Achillea;C. Linnaeus 1753;;;ACHIPTAR;ANGIO;;Achillea;;;;0;0;;Species;;;;Wilde bertram;10;;;;0;0;0;;MACFT
95;Achnanthaceae [1];Achnanthaceae [1];1-1-1981;;;;;25-11-2008;Achnanthaceae;F.T. Kützing 1844 emend. D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;;;ACAC;RAPHI;Diatom;Achnanthales;;;;;;;Familia;0;;;;10;;Overig;;;;;;DIATM
96;Achnanthales;Achnanthales;1-1-1981;;;;;25-11-2008;Achnanthales;P.C. Silva 1962;;;ACAL;RAPHI;Diatom;Bacillariophycidae;cel;;;;;;Ordo;0;;;;10;;Pennales;;;;;;DIATM
97;Achnanthes;Achnanthes [1];1-1-1981;31-12-2017;;;;9-5-2019 16:14;Achnanthes;J.-B.G.M. Bory de Saint-Vincent 1822;;;ACHE;RAPHI;Diatom;Achnanthaceae [1];;;;;;;Genus;0;;;;10;;Overig;;;;;;DIATM
98;Achnanthes [1];Achnanthes [1];1-1-1981;;;;;9-5-2019 16:14;Achnanthes;J.-B.G.M. Bory de Saint-Vincent 1822;;;ACHE;RAPHI;Diatom;Achnanthaceae [1];;;;;;;Genus;0;;;;10;;Overig;;;;;;DIATM
99;Achnanthes [2];Achnanthes [2];1-1-1981;;;;;9-5-2019 16:15;Achnanthes;J.-B.G.M. Bory de Saint-Vincent 1822 s.l.;;;ACES;RAPHI;Diatom;Achnanthales;;;;;;;Genus;0;;;;10;;Overig;;;;;;DIATM
100;Achnanthes amoena;Karayevia amoena;1-1-1981;31-12-2017;;;;23-6-2011;Karayevia;(F. Hustedt) L. Bukhtiyarova ex Bukhtiyarova 2006;;;KARAAMOE;RAPHI;Diatom;Karayevia;;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
101;Achnanthes angustata;Achnanthes angustata;1-1-1981;;;;;25-11-2008;Achnanthes;R.K. Greville 1859;;;ACHNANGU;RAPHI;Diatom;Achnanthes [1];;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
102;Achnanthes brevipes;Achnanthes brevipes;1-1-1981;;;;;25-11-2008;Achnanthes;C.A. Agardh 1824;;;ACHNBREV;RAPHI;Diatom;Achnanthes [1];;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
103;Achnanthes brevipes var. brevipes;Achnanthes brevipes var. brevipes;1-1-1981;;;;;25-11-2008;Achnanthes;C.A. Agardh 1824;;;ACHNBRBR;RAPHI;Diatom;Achnanthes brevipes;;;;;;;Varietas;0;;;;10;;Overig;;;;;;DIATM
104;Achnanthes brevipes var. intermedia;Achnanthes intermedia;1-1-1981;31-12-2017;;;;19-10-2017;Achnanthes;F.T. Kützing 1833;;;ACHNINTE;RAPHI;Diatom;Achnanthes [1];;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
105;Achnanthes clevei;Karayevia clevei;1-1-1981;31-12-2017;;;;26-3-2019 14:22;Karayevia;(A. Grunow) F.E. Round et L. Bukhtiyarova in L. Bukhtiyarova 1999;;;KARACLEV;RAPHI;Diatom;Karayevia;;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
106;Achnanthes coarctata;Achnanthes coarctata;1-1-1981;;;;;17-5-2016;Achnanthes;(L.A. de Brébisson) A. Grunow in H.F. Van Heurck 1880;;;ACHNCOAR;RAPHI;Diatom;Achnanthes [1];;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
107;Achnanthes conspicua;Platessa conspicua;1-1-1981;31-12-2017;;;;25-11-2008;Platessa;H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 2004;;;PLTECONS;RAPHI;Diatom;Platessa;;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
108;Achnanthes cuneata;Achnanthes cuneata;1-1-1981;;;;;13-12-2013;Achnanthes;(A. Grunow) A. Grunow in P.T. Cleve et A. Grunow 1880;;;ACHNCUNE;RAPHI;Diatom;Achnanthes [1];;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
109;Achnanthes curvirostrum;Achnanthes curvirostrum;1-1-1981;;;;;13-5-2009;Achnanthes;J.-J. Brun 1895;;;ACHNCURV;RAPHI;Diatom;Achnanthes [2];;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
110;Achnanthes delicatula;Planothidium delicatulum;1-1-1981;31-12-2017;;;;25-11-2008;Planothidium;(F.T. Kützing) F.E. Round et L. Bukhtiyarova 1996;;;PLNODELI;RAPHI;Diatom;Planothidium;;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
111;Achnanthes delicatula ssp delicatula;Planothidium delicatulum;1-1-1981;31-12-2017;;;;25-11-2008;Planothidium;(F.T. Kützing) F.E. Round et L. Bukhtiyarova 1996;;;PLNODELI;RAPHI;Diatom;Planothidium;;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
112;Achnanthes delicatula ssp. delicatula;Planothidium delicatulum;1-1-1981;31-12-2017;;;;25-11-2008;Planothidium;(F.T. Kützing) F.E. Round et L. Bukhtiyarova 1996;;;PLNODELI;RAPHI;Diatom;Planothidium;;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
113;Achnanthes delicatula ssp. engelbrechtii;Planothidium engelbrechtii;1-1-1981;31-12-2017;;;;15-4-2011;Planothidium;(B.J. von Cholnoky) F.E. Round et L. Bukhtiyarova 1996;;;PLNOENGE;RAPHI;Diatom;Planothidium;;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
114;Achnanthes delicatula ssp. hauckiana;Planothidium hauckianum;1-1-1981;31-12-2017;;;;25-11-2008;Planothidium;(A. Grunow) F.E. Round et L. Bukhtiyarova 1996;;;PLNOHAUC;RAPHI;Diatom;Planothidium;;;;;;;Species;0;;;;10;;Overig;;;;;;DIATM
