fewsid;code;naam;b_datum;e_datum;aquo;aquoid;WNA.oeverplantensoorten;datum;geslacht;author;beschermingsstatus.florafaunawet;WNA.habitatvoorkeur.vis;taxoncode;TWN.taxongroup;WNA.fytoplankton.groep;parentname;levensvorm;WNA.migratiegilde.vis;WNA.zuurstoftolerante.vis;WNA.kroossoorten;WNA.emerse.plantensoorten;check_2;TWN.taxonlevel;WNA.toxische.blauwalg;check1;WNA.reynolds.groep.cyanobacterieen;WNA.nederlandse.soortnaam;status;WNA.plantminnendheid.vis;WNA.fytoplankton.subgroep;refername;alleendrogeoever;WNA.onderwaterplantensoorten;WNA.soorten.met.drijvend.blad;WNA.stromingsgilde.vis;TWN.taxontype
2479;Butlerius;Butlerius;1-1-1981;;;;;25-11-2008;Butlerius;Goodey, 1929;;;BUTL;;;Diplogasteridae;;;;;;;Genus;;;;;10;;;;;;;;NEMTD
2480;Butlerius degrissei;Butlerius degrissei;1-1-1981;;;;;25-11-2008;Butlerius;Grootaert et Jaques, 1979;;;BUTLDEGR;;;Butlerius;;;;;;;Species;;;;;10;;;;;;;;NEMTD
2481;Butlerius filicaudatus;Butlerius filicaudatus;1-1-1981;;;;;25-11-2008;Butlerius;Adam, 1930;;;BUTLFILI;;;Butlerius;;;;;;;Species;;;;;10;;;;;;;;NEMTD
2482;Butlerius micans;Butlerius micans;1-1-1981;;;;;25-11-2008;Butlerius;Pillai et Taylor, 1968;;;BUTLMICA;;;Butlerius;;;;;;;Species;;;;;10;;;;;;;;NEMTD
2483;Butomaceae;Butomaceae;1-1-1981;;;;1;25-11-2008;Butomaceae;;;;BUOM;ANGIO;;Alismatales;;;;0;1;;Familia;;;;Zwanenbloemfamilie;10;;;;0;0;0;;MACFT
2484;Butomus;Butomus;1-1-1981;;;;1;25-11-2008;Butomus;C. Linnaeus 1753;;;BUTO;ANGIO;;Butomaceae;;;;0;1;;Genus;;;;;10;;;;0;0;0;;MACFT
2485;Butomus umbellatus;Butomus umbellatus;1-1-1981;;;;1;25-11-2008;Butomus;C. Linnaeus 1753;1;;BUTOUMBE;ANGIO;;Butomus;;;;0;1;;Species;;;;Zwanenbloem;10;;;;0;0;0;;MACFT
2486;Buxaceae;Buxaceae;1-1-1981;;;;1;25-11-2008;Buxaceae;;;;BUXA;ANGIO;;Buxales;;;;0;0;;Familia;;;;Buxusfamilie;10;;;;1;0;0;;MACFT
2487;Buxales;Buxales;1-1-1981;;;;0;25-11-2008;Buxales;;;;BUXL;ANGIO;;Spermatopsida;;;;0;0;;Ordo;;;;;10;;;;1;0;0;;MACFT
2488;Bylgides;Bylgides;1-1-1981;;;;;30-8-2016;Bylgides;Chamberlin, 1919;;;BYLG;APPOL;;Polynoidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
2489;Bylgides sarsi;Bylgides sarsi;1-1-1981;;;;;30-8-2016;Bylgides;(Kinberg in Malmgren, 1866);;;BYLGSARS;APPOL;;Bylgides;;;;;;;Species;;;;;10;;;;;;;;MACEV
2490;Bythinella;Bythinella;1-1-1981;;;;;25-11-2008;Bythinella;Moquin-Tandon, 1856;;;BYNE;MOGAS;;Hydrobiidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
2491;Bythinella dunkeri;Bythinella dunkeri;1-1-1981;;;;;25-11-2008;Bythinella;(Frauenfeld, 1857);;;BYNEDUNK;MOGAS;;Bythinella;;;;;;;Species;;;;;10;;;;;;;;MACEV
