"EAG";"jaar";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"GAFNAAM";"KRW_SGBP3";"KRWmonitoringslocatie_SGBP3";"SGBP3_NAAM"
"2140-EAG-2";2015;0;0;0;0;0;100;0;0;20;0;0;0;0;40;20;0;0;"Uithoornsche Polder, Uithoornse Polder zuid";"";"";""
"2140-EAG-3";2015;0;17;0;0;33;17;0;33;0;0;0;91;9;0;9;0;9;"Uithoornsche Polder, Zijdelmeer";"";"";""
"2140-EAG-4";2015;3;0;3;0;0;89;3;3;9;11;0;6;34;14;51;3;17;"Uithoornsche Polder, Bebouwing Uithoorn-Zuid";"";"";""
"2140-EAG-5";2015;0;0;0;0;0;80;0;20;0;7;7;20;0;7;73;0;40;"Uithoornsche Polder, Natuurgebied Uithoorn";"";"";""
"2140-EAG-6";2015;24;28;0;0;0;45;0;3;0;10;0;10;28;28;34;10;0;"Uithoornsche Polder, De Kwakel";"";"";""
"2150-EAG-2";2015;50;25;0;0;0;25;0;0;0;12;0;38;25;12;12;25;0;"Zuider Legmeerpolder, Kudelstaart";"";"";""
"2150-EAG-3";2015;10;10;3;0;3;40;7;27;7;13;0;34;10;28;31;7;14;"Zuider Legmeerpolder, landelijk";"";"";""
"2160-EAG-1";2019;100;0;0;0;0;0;0;0;0;0;0;0;0;33;67;0;33;"Fred Roeskestraat, Fred Roeskestraat";"";"";""
"2200-EAG-1";2018;0;0;0;0;33;67;0;0;0;40;0;0;0;27;100;0;93;"Venserpolder (volkstuinparken), Nieuw Vredelust, Ons Lustoord en Dijkzicht";"";"";""
"2210-EAG-1";2018;8;30;5;20;0;20;0;18;0;0;0;57;10;0;32;10;28;"Bijlmer, Bijlmer";"";"";""
"2220-EAG-1";2018;0;24;10;0;34;32;0;0;1;0;3;5;46;22;24;30;14;"Zuid Bijlmer, Gaasperplas";"NL11_3_2";"NL11_Gaasperplas";"Gaasperplas"
"2220-EAG-2";2018;14;22;0;11;6;31;0;17;4;16;14;0;60;26;19;46;9;"Zuid Bijlmer, Gaasperdam";"";"";""
"2220-EAG-3";2018;0;0;0;0;5;89;0;5;0;0;0;69;0;3;21;0;17;"Zuid Bijlmer, Recreatiegebied De Hoge Dijk";"";"";""
"2220-EAG-4";2018;8;42;0;33;8;8;0;0;27;7;0;7;27;7;60;0;53;"Zuid Bijlmer, Gaasperpark";"";"";""
"2230-EAG-1";2018;0;0;0;0;0;99;0;1;11;20;0;3;18;52;20;20;0;"Broekzijdse Polder, landelijk";"";"";""
"2230-EAG-2";2018;8;15;0;0;0;8;0;69;0;26;0;21;21;26;79;21;68;"Broekzijdse Polder, Abcoude";"";"";""
"2240-EAG-1";2018;0;0;0;0;6;94;0;0;8;10;0;17;60;10;21;52;12;"Holendrechter- en Bullewijker Polder (zuid en west), zuid en west";"";"";""
"2250-EAG-1";2019;55;31;1;0;9;0;1;1;16;0;0;38;32;7;27;11;15;"Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Ouderkerkerplas";"NL11_3_3";"NL11_Ouderkerkerplas";"Ouderkerkerplas"
"2250-EAG-2";2018;0;0;0;0;0;62;0;38;26;26;0;27;53;13;7;0;0;"Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Korte Dwarsweg";"";"";""
"2250-EAG-3";2018;0;21;0;0;21;53;5;0;0;21;0;5;0;21;95;0;95;"Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Ouderkerk aan de Amstel";"";"";""
"2250-EAG-4";2018;17;38;4;17;0;21;4;0;0;0;0;17;17;4;67;17;50;"Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Bullewijk en AMC";"";"";""
"2250-EAG-5";2018;0;0;0;0;0;0;0;100;0;10;0;0;0;10;100;0;80;"Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, golfterrein";"";"";""
"2250-EAG-6";2018;0;0;0;0;0;0;0;100;0;50;0;0;50;50;50;50;50;"Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, nabij recreatiegebied";"";"";""
"2250-EAG-7";2018;0;0;0;0;5;77;0;18;44;0;0;16;4;0;56;0;52;"Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Bullewijker Polder noord";"";"";""
"2270-EAG-1";2018;0;0;0;0;3;82;0;15;10;8;0;33;27;8;35;20;20;"Duivendrechtsepolder noord en midden";"";"";""
"2280-EAG-1";2018;2;14;0;7;0;48;0;29;5;2;9;0;39;20;30;29;20;"Venserpolder, Venserpolder";"";"";""
"2290-EAG-1";2018;0;0;0;0;0;100;0;0;45;5;0;0;0;45;50;0;50;"Polder De Toekomst, Polder De Toekomst";"";"";""
"2300-EAG-1";2018;0;0;0;0;0;80;0;20;32;32;0;26;35;6;13;16;0;"Overdiemerpolder, Overdiemerpolder";"";"";""
"2310-EAG-1";2017;5;5;0;0;0;74;0;16;0;47;11;21;5;53;47;0;16;"Gemeenschapspolder West, landelijk";"";"";""
"2310-EAG-2";2017;0;100;0;0;0;0;0;0;0;50;0;50;0;50;50;0;0;"Gemeenschapspolder West, Driemond";"";"";""
"2330-EAG-1";2018;8;8;0;0;4;78;0;2;18;12;0;9;39;23;26;26;7;"Baambrugge Oostzijds (west)";"";"";""
"2340-EAG-1";2018;0;0;0;0;0;100;0;0;6;11;2;4;62;32;11;34;8;"Polder Holland en Sticht west, bemalen";"";"";""
"2340-EAG-2";2018;0;0;0;0;0;100;0;0;20;0;0;0;50;40;0;0;0;"Polder Holland en Sticht west, Loendersloot";"";"";""
"2350-EAG-1";2018;12;12;0;0;12;62;0;0;0;0;0;0;0;0;100;0;100;"Venserpolder (volkstuinpark Amstelglorie), Venserpolder (volkstuinpark Amstelglorie)";"";"";""
"2370-EAG-1";2017;0;0;0;0;0;100;0;0;50;100;0;0;0;100;0;0;0;"Gemeenschapspolder West (Betlem), Gemeenschapspolder West (Betlem)";"";"";""
"2380-EAG-1";2018;0;0;0;0;0;94;0;6;30;0;0;0;85;15;8;23;0;"Honderdsche polder west, Honderdsche polder west";"";"";""
"2400-EAG-1";2017;0;0;0;0;11;89;0;0;3;0;0;35;31;8;58;0;15;"Polder de Rondehoep, bemalen gebied";"NL11_2_5";"NL11_VaartenRondeHoep";"Vaarten Ronde Hoep"
"2400-EAG-2";2017;0;0;0;0;0;86;0;14;0;22;0;19;30;26;52;7;7;"Polder de Rondehoep, zuid-west";"NL11_2_5";"NL11_VaartenRondeHoep";"Vaarten Ronde hoep"
"2400-EAG-3";2017;0;0;0;6;6;88;0;0;5;9;0;27;32;27;27;18;9;"Polder de Rondehoep, noord-west";"NL11_2_5";"NL11_VaartenRondeHoep";"Vaarten Ronde hoep"
"2400-EAG-4";2017;0;0;0;0;15;85;0;0;24;4;0;12;40;32;32;4;8;"Polder de Rondehoep, noord-oost";"NL11_2_5";"NL11_VaartenRondeHoep";"Vaarten Ronde hoep"
"2400-EAG-5";2017;0;0;0;0;0;100;0;0;0;0;0;31;0;0;69;0;31;"Polder de Rondehoep, weidevogel gebied";"NL11_2_5";"NL11_VaartenRondeHoep";"Vaarten Ronde hoep"
