locatie.EAG;locatiecode;locatie.omschrijving;locatie.x;locatie.y;locatie.z;datum;jaar;Ca_mg/kg_dg_BS;Ca_mg/kg_dg_PW;DICHTHD_kg/l_BS;Fe_mg/kg_dg_BS;Fe_mg/l_ng_BS;Fe_ug/l_nf_PW;GR_%_dg_BS;IR_%_BS;MONSDTE_m_BS;MONSDTE_m_PW;MONSDTE_m_E_BS;MONSDTE_m_E_PW;MONSLTE_m_BS;MONSLTE_m_PW;NH4_mgN/l_nf_PW;PO4_mgP/l_nf_PW;Ptot_gP/kg_dg_BS;Ptot_mgP/l_nf_PW;Ptot_mgP/l_ng_BS;Ptot_mgPOlsen/kg_dg_BS;Ptot_mgPOlsen/l_ng_BS;S_mg/l_OPGLT_PW;SLIBDTE_m_BS;SO4_mg/l_PW;Stot_mg/kg_dg_BS;Stot_mg/l_PW;Stot_mg/l_nf_PW;Stot_mg/l_ng_BS;T_oC_BS;WATDTE_m_BS;WATDTE_m_PW;X_CODNT_m_BS;X_CODNT_m_PW;Y_CODNT_m_BS;Y_CODNT_m_PW;FESPFWratio;FESPDWratio;FESPPWratio;nlvrFW;nlvrOls;nlvrDW;nlvrPW
3110-EAG-2;NKP201;mp vegetatie;135497;477598;;2017-11-09;2017;;5300;1.095;90000;19000;110000;80;19.3;;;;;;;1.2;;1.6;0.73;340;;;0.005;60;;9300;1.5;;2000;9.9;;;;;;;25.3125095067423;25.5838983421945;81.5913581456018;6.7945;;7.5941;0.300435
3110-EAG-2;NKP167;mp vegetatie;135438;477433;;2017-11-09;2017;;5300;1.129;53000;13000;23000;79;21.1;;;;;;;0.03;;0.9;0.23;210;;;0.005;20;;6200;0.4;;1500;9.2;;;;;;;27.4351763442203;26.0077726335361;53.7842742023904;3.5835;;2.2041;-0.104315
3110-EAG-2;NKP166;mp vegetatie;135074;477754;;2017-11-09;2017;;31000;1.139;43000;10000;43000;80;20.6;;;;;;;0.015;;0.9;0.34;200;;;0.005;50;;12000;1.3;;2800;9.3;;;;;;;14.2084606016935;13.6199057021758;66.4525044446703;3.3365;;2.2041;-0.01527
3110-EAG-2;NKP168;mp vegetatie;135196;477839;;2017-11-09;2017;;55000;1.336;36000;20000;1e+05;89;40.8;;;;;;;0.61;;0.8;1.1;420;;;0.005;15;;1000;2.1;;550;4.9;;;;;;;25.14657100364;23.751434906408;48.5778937211801;8.7705;;1.4341;0.59995
3110-EAG-2;NKP004;Coordinaten 134550 478480;134545;478483;;2017-11-13;2017;;3700;1.137;38000;7400;25000;83;17.1;;;;;;;1.7;;1.7;2.2;320;;;0.03;50;;14000;1.4;;2700;7.3;;;;;;;4.67568637928903;4.44279578772732;5.68804196868082;6.3005;;8.3641;1.4904
3110-EAG-2;NKP165;mp vegetatie;134498;478300;;2017-11-13;2017;;35000;1.114;45000;7200;32000;78;14.4;;;;;;;0.22;;2.3;0.39;360;;;0.005;40;;16000;2.8;;2600;7.8;;;;;;;4.11635754143802;4.13186882994424;38.5739051752821;7.2885;;12.9841;0.025205
3110-EAG-3;NKP163;mp vegetatie;135136;478507;;2017-11-13;2017;;12000;1.189;61000;22000;110000;81;30.7;;;;;;;4.8;;1.6;1.7;590;;;0.005;10;;2100;2.6;;770;6.6;;;;;;;19.4208980828166;19.8778955406173;34.4112462044059;12.9695;;7.5941;1.08565
3110-EAG-3;NKP162;mp vegetatie;134831;478735;;2017-11-13;2017;;21000;1.181;25000;8100;30000;80;27.8;;;;;;;3.3;;0.7;1.1;230;;;0.005;20;;2800;0.8;;920;7.9;;;;;;;15.6691539399338;15.9447526050501;14.4240810148698;4.0775;;0.6641;0.59995
3110-EAG-3;NKP274;mafyt_2017;135122.8223;478680.8212;;2017-11-13;2017;;2400;1.186;69000;18000;59000;83;22.5;;;;;;;1.9;;2.4;1.5;640;;;0.005;60;;33000;1;;8800;8.8;;;;;;;2.31715383350172;2.66380527946824;21.1719474244628;14.2045;;13.7541;0.92375
3110-EAG-3;NKP272;macrofyten 2014;134931;478735;;2017-11-13;2017;;24000;1.157;40000;9900;32000;83;21.5;;;;;;;0.06;;1.8;1.8;450;;;0.005;40;;11000;1;;2700;10;;;;;;;6.40627872275232;6.42220197436877;9.32365481718928;9.5115;;9.1341;1.1666
3110-EAG-3;NKP158;mp vegetatie;134924;479009;;2017-11-13;2017;;14000;1.241;30000;10000;50000;82;27.7;;;;;;;69;;2.2;0.01;750;;;0.02;50;;1700;0.8;;580;9.4;;;;;;;6.64820990025097;6.81686876821204;2695.93353872853;16.9215;;12.2141;-0.282405
3110-EAG-3;NKP147;mp vegetatie;134923;479786;;2017-11-13;2017;;4900;1.353;7000;4000;10000;92;43.3;;;;;;;0.64;;0.2;0.39;120;;;0.01;10;;2400;1.2;;1400;10.7;;;;;;;7.21836455519108;7.82077662358684;11.2493658984883;1.3605;;-3.1859;0.025205
3110-EAG-3;NKP265;mp vegetatie NIOO flexpeil Nieuw Keverdijk NKP4;134886;479589;;2017-11-14;2017;;15000;1.201;32000;7200;21000;74;18.8;;;;;;;6.8;;1;1.9;240;;;0.005;30;;18000;0.8;;4100;8.5;;;;;;;0.137190296251834;0.360997507678585;5.7235306812837;4.3245;;2.9741;1.24755
3110-EAG-3;NKP161;mp vegetatie;135016;479302;;2017-11-14;2017;;6200;1.25;53000;16000;40000;82;24.2;;;;;;;6.1;;1.5;0.11;470;;;0.005;15;;1900;0.7;;570;7.1;;;;;;;17.7099384257281;18.3737929527502;195.540998073414;10.0055;;6.8241;-0.201455
3110-EAG-3;NKP160;mp vegetatie;134941;479254;;2017-11-14;2017;;6400;1.254;41000;11000;110000;80;21.3;;;;;;;36;;1.9;0.01;510;;;0.005;80;;8000;0.6;;2100;9;;;;;;;7.98532781895394;7.90133260791826;6043.10692725797;10.9935;;9.9041;-0.282405
3110-EAG-3;NKP210;mp vegetatie;135761;478663;;2017-11-14;2017;;10000;1.305;8000;4400;30000;93;41;;;;;;;0.015;;0.5;2.2;270;;;0.005;20;;1600;1.4;;860;8.2;;;;;;;5.9618050659841;5.78315585659931;6.94859268128633;5.0655;;-0.8759;1.4904
3110-EAG-3;NKP164;mp vegetatie;135448;478712;;2017-11-14;2017;;28000;1.185;92000;28000;110000;76;26.2;;;;;;;10;;2.9;0.61;900;;;0.005;50;;8000;1.4;;2500;7.9;;;;;;;14.5722737477086;14.9307896365215;97.8004737418751;20.6265;;17.6041;0.203295
3110-EAG-4;NAP019;afvoer aalscholverkolonie;135397;478338;;2017-11-16;2017;;76000;1.122;9000;700;10;51;6.4;;;;;;;3.5;;1.1;3.9;79;;;0.17;30;;17000;7.7;;1200;9.3;;;;;;;-9.75849133634558;-10.3907275830403;-1.90575996627173;0.3478;;3.7441;2.86655
3100-EAG-5;NAP233;mp vegetatie oever;137225;477668;;2017-11-16;2017;;5500;1.325;14000;3500;120;83;19;;;;;;;6.4;;0.5;1.4;130;;;0.005;10;;21000;1;;5300;9.7;;;;;;;-24.4493948005779;-25.040980447583;-0.642441632085186;1.6075;;-0.8759;0.8428
3100-EAG-5;NAP262;macrofyten 2014;137573;477480;;2017-11-16;2017;;13000;1.676;1100;2000;570;97;56.1;;;;;;;1.4;;0.2;0.46;170;;;0.01;5;;1800;2.3;;1700;9.1;;;;;;;-3.13454993666686;-5.64324553839815;-4.14260264159054;2.5955;;-3.1859;0.0818700000000001
3100-EAG-5;NAP278;mafyt_LV Naardermeer, kwelgebied;137568;477287;;2017-11-16;2017;;42000;1.063;42000;5100;490;66;11.4;;;;;;;0.82;;0.9;0.17;110;;;0.01;60;;45000;11;;5500;10.3;;;;;;;-22.5835335900892;-22.4154601617418;-60.9056132609141;1.1135;;2.2041;-0.152885
3100-EAG-5;NAP178;vis;136989;477415;;2017-11-16;2017;;35000;1.064;22000;2500;60;71;10.7;;;;;;;9.6;;1;1.9;120;;;0.02;20;;26000;1.3;;3000;10.4;;;;;;;-12.594335864737;-12.9132285281443;-0.643415490787103;1.3605;;2.9741;1.24755
3100-EAG-5;NAP147;mp vegetatie;137150;477430;;2017-11-16;2017;;1500;1.242;11000;3600;60;85;27.2;;;;;;;1.6;;0.2;0.18;130;;;0.01;15;;13000;6.5;;4400;9.9;;;;;;;-17.3352251263856;-32.2830713203607;-34.6975628762701;1.6075;;-3.1859;-0.14479
2140-EAG-5;UHP042;achter gebouw bij t Fort;115984.6385;471368.5333;;2017-11-23;2017;;;1.1125;20999.999;5100;;71;20.8;200;;;;;;;;1;;200;36;11;;40;;16999.9995;;;3400;11.15;1.6;;;;;;-2.27820216782834;-4.77409265044187;;3.3365;0.923692083683089;2.9741;
2140-EAG-5;UHP049;NWhoek van Fortgracht, Grevelingen, Uithoorn;115739;471396;;2017-11-23;2017;;;1.345;9999.9995;3100;;84.5;36;230;;;;;;;;0.7;;175;10;9.5;;70;;6900;;;2100;11.1;1.2;;;;;;-1.76661193914419;-1.59829591916608;;2.719;0.642811344999031;0.6641;
2140-EAG-5;UHP120;mp vegetatie;115738.7367;471309.8942;;2017-11-23;2017;;;1.0375;16499.9995;2500;;56;14.4;190;;;;;;;;0.8;;118;32;4.4;;70;;24999.9995;;;3650;11.6;;;;;;;-18.1288499103608;-18.7472321055478;;1.3111;-0.312183166526764;1.4341;
