monsterident;externereferentie;xcoormonster;ycoormonster;monsternemer;planvanaanpak;analist;bron;veldapparaat;bemonsteringsprotocol;analyseprotocol;analysecode;locatiecode;locatie namespace;locatie omschrijving;locatie x;locatie y;locatie z;locatie referentievlakzcoord;locatie KRW watertype;locatie EAG;locatie afaanvoergebied;locatie KRWmeetpuntlocatie;locatie morfologielocatie;locatie bodemsoortlocatie;locatie meetprogrammahistorie;locatie meetprogrammaactueel;locatie meetnethistorie;locatie meetnetactueel;compartiment;datum;fewsparameter;fewsparameternaam;fewsparametercategorie;fewsparametergrootheid;parametercode;grootheid;parameterfractie;parametergroep;parametertypering;biotaxonnaam;confertaxon;TWN naam;TWN taxontype;TWN taxonlevel;WNA nederlandse soortnaam;TWN taxongroup;beschermingsstatus florafaunawet;WNA oeverplantensoorten;WNA emerse plantensoorten;WNA soorten met drijvend blad;WNA kroossoorten;WNA onderwaterplantensoorten;WNA stromingsgilde vis;WNA migratiegilde vis;WNA habitatvoorkeur vis;WNA plantminnendheid vis;WNA reynolds groep cyanobacterieen;WNA zuurstoftolerante vis;WNA fytoplankton groep;WNA fytoplankton subgroep;WNA toxische blauwalg;gedrag;lengteklasse;levensstadium;levensvorm;verschijningsvorm;geslacht;limietsymbool;meetwaarde;eenheid;eenheidequivalent;eenheidreferentie;waardebewerkingsmethode;kwaliteitsoordeelcode;afronding;opmerkingmeting
BDM_388461;388461;128413;479914;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1002;NL11;Gaasperplas diep;128413;479914;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:00;Ptot_mgP/l_ng;Fosfor (uitgedrukt in mg fosfor/l natgewicht);NUTRI;CONCTTE;Ptot;CONCTTE;ng;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;310;mg/l;P;;BER;3;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388461;388461;128413;479914;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1002;NL11;Gaasperplas diep;128413;479914;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:00;Stot_mg/kg_dg;Zwavel drooggewicht (totaal) (mg/kg);METAL;MASSFTE;Stot;CONCTTE;dg;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9900;mg/kg;;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388461;388461;128413;479914;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1002;NL11;Gaasperplas diep;128413;479914;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:00;Stot_mg/l_ng;Zwavel natgewicht (totaal) (mg/l);METAL;CONCTTE;Stot;CONCTTE;ng;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1500;mg/l;;;BER;3;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388461;388461;128413;479914;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1002;NL11;Gaasperplas diep;128413;479914;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:00;T_oC;Temperatuur (oC);ALG;T;T;T;;Grootheid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.2;oC;;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388461;388461;128413;479914;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1002;NL11;Gaasperplas diep;128413;479914;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:00;X_CODNT_m;X_coordinaat (m);VELD;LENGTE;X_CODNT;LENGTE;;Ongedefinieerd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;128413;m;;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388461;388461;128413;479914;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1002;NL11;Gaasperplas diep;128413;479914;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:00;Y_CODNT_m;Y_coordinaat (m);VELD;LENGTE;Y_CODNT;LENGTE;;Ongedefinieerd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479913.984;m;;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388462;388462;127959;479600;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;PW;2013-09-30 11:30;Fe_ug/l_nf;IJzer na filtratie (ug/l);IONEN;CONCTTE;Fe;CONCTTE;;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;680;mg/l;;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388462;388462;127959;479600;WP;;WP;dwwsb001-231-B;;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;PW;2013-09-30 11:30;MONSDTE_m;Monsterdiepte (m);MONSVAR;DIEPTE;MONSDTE;DIEPTE;;MonstervariabeleEcologie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;m;;BODM;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388462;388462;127959;479600;WP;;WP;dwwsb001-231-B;;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;PW;2013-09-30 11:30;MONSDTE_m_E;Monsterdiepte eind (m);MONSVAR;;MONSDTE;DIEPTE;;MonstervariabeleEcologie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10;m;;BODM;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388462;388462;127959;479600;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;PW;2013-09-30 11:30;Ptot_mgP/l_nf;Fosfor (uitgedrukt in mg fosfor/l na filtratie);NUTRI;CONCTTE;Ptot;CONCTTE;;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.26;mg/l;P;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
