locatie.EAG;locatie.afaanvoergebied;datum;jaar;Ca_mg/kg_dg_BS;Ca_mg/kg_dg_PW;DICHTHD_kg/l_BS;Fe_mg/kg_dg_BS;Fe_mg/l_ng_BS;Fe_ug/l_nf_PW;GR_%_dg_BS;IR_%_BS;MONSDTE_m_BS;MONSDTE_m_PW;MONSDTE_m_E_BS;MONSDTE_m_E_PW;MONSLTE_m_BS;MONSLTE_m_PW;NH4_mgN/l_nf_PW;PO4_mgP/l_nf_PW;Ptot_gP/kg_dg_BS;Ptot_mgP/l_nf_PW;Ptot_mgP/l_ng_BS;Ptot_mgPOlsen/kg_dg_BS;Ptot_mgPOlsen/l_ng_BS;S_mg/l_OPGLT_PW;SLIBDTE_m_BS;SO4_mg/l_PW;Stot_mg/kg_dg_BS;Stot_mg/l_PW;Stot_mg/l_nf_PW;Stot_mg/l_ng_BS;T_oC_BS;WATDTE_m_BS;WATDTE_m_PW;X_CODNT_m_BS;X_CODNT_m_PW;Y_CODNT_m_BS;Y_CODNT_m_PW
3360-EAG-17;3360;2016-05-31;2016;21822.2222222222;;1.13311111111111;13444.4444444444;2177.77777777778;11533.3333333333;69;16.2111111111111;;;;;;;2.09333333333333;;0.644444444444444;0.347222222222222;108.111111111111;;;0.0172222222222222;;2.5;4544.44444444444;;;668.888888888889;;;;;;;
3360-EAG-17;3360;2016-06-06;2016;9850;;1.12;11250;1675;14900;65.5;14.6;;;;;;;2.675;;0.55;0.73;81.75;;;0.068;;2.5;8175;;;952.5;;;;;;;
3360-EAG-17;3360;2017-06-06;2017;13000;;1.2175;9500;3300;26500;79;27.5;;;;;;;3;;0.85;1.7;280;;;0.025;;2.5;3850;;;1100;17.6;;;;;;
3360-EAG-18;3360;2013-09-17;2013;;;5.5975;8858.5;500;410;27;6.1;0;0;-10;-10;;;;;0.9;0.38;54;;;;;;15000;1.3;1.3;915;15.4;;;137102;137102;463911.008;463911.008
3360-EAG-19;3360;2017-06-06;2017;4050;;1.4255;2050;1650;5350;92.5;44.7;;;;;;;2.71;;0.2;0.74;120;;;0.03;;2.5;1700;;;1085;16.5;;;;;;
4140-EAG-3;4140;2017-11-06;2017;;8470;1.2345;11750;3675;11950;72.75;31.175;;;;;;;0.825;;0.275;1.23;98;;;0.005;13.75;;8575;4.25;;2625;10.475;;;;;;
4140-EAG-3;4140;2017-11-07;2017;;17000;1.074;20000;5100;1200;81;24.3;;;;;;;2;;0.5;0.37;140;;;0.005;50;;25000;1.9;;6500;9.8;;;;;;
4140-EAG-4;4140;2017-11-06;2017;;3250;1.1325;31500;7500;6550;71.5;24.15;;;;;;;1.87;;0.65;0.84;170;;;0.0175;35;;27000;31;;6600;12.05;;;;;;
4140-EAG-5;4140;2017-11-06;2017;;19650;1.481;7000;5650;995;97;56.15;;;;;;;3.635;;0.2;1.62;150;;;0.005;10;;5000;2.2;;4000;10.8;;;;;;
4210-EAG-2;4210;2013-09-14;2013;;;3.47375;15506.75;650;12.5;31;4.3;0;0;-10;-10;;;;;1.2;0.49;51;;;;;;23000;2.85;2.85;972.5;16.3;;;134782;134782;476691.504;476691.504
4210-EAG-3;4210;2013-09-14;2013;;;6.003375;16302.124875;1775;140;51.25;10.775;0;0;-10;-10;;;;;0.8;0.4025;81.625;;;;;;20499.9995;1.95;1.95;2237.5;15.825;;;134584.002;134584.002;476164.992;476164.992
4210-EAG-3;4210;2013-10-08;2013;;;7.567;21064.6666666667;1333.33333333333;60;47;6.86666666666667;-3.33333333333333;0;-13.3333333333333;-10;;;;1.5;1.06666666666667;0.91;69;30;2.1;;;;39666.6666666667;7.5;7.5;2633.33333333333;15.1;;;124560;124560;469921.984;469921.984
4210-EAG-4;4210;2013-09-14;2013;;;5.793;13006.9995;1700;1700;52;13;0;0;-10;-10;;;;;0.2;0.2;56;;;;;;10999.999;0.86;0.86;1450;16.2;;;136464;136464;475292.992;475292.992
4210-EAG-5;4210;2013-09-14;2013;;;6.16675;16091.25;1600;2120;60.5;12.8;0;0;-10;-10;;;;;0.6;1.535;73.5;;;;;;16900;1.75;1.75;1750;15.85;;;135586.504;135586.504;476224;476224
4210-EAG-5;4210;2013-10-02;2013;;;6.486;16759;3950;16000;85;23.9;0;0;-10;-10;188.066;188.066;;;1;2.6;240;;;;;;5300;2.8;2.8;1300;12.1;;;135758;135758;476143.008;476143.008
6100-EAG-1;6100;2013-10-14;2013;;;5.68433333333333;22629.7493333333;7216.6665;1616.66666666667;89.1666666666667;33.1166666666667;0;0;-10;-10;;;;;0.65;1.015;209.166666666667;;;;;;8549.99966666667;21.5233333333333;21.5233333333333;2570;9.76666666666667;;;119379.333333333;119379.333333333;493138.16;493138.16
