locatie.EAG;locatie.afaanvoergebied;datum;jaar;Ca_mg/kg_dg_BS;Ca_mg/kg_dg_PW;DICHTHD_kg/l_BS;Fe_mg/kg_dg_BS;Fe_mg/l_ng_BS;Fe_ug/l_nf_PW;GR_%_dg_BS;IR_%_BS;MONSDTE_m_BS;MONSDTE_m_PW;MONSDTE_m_E_BS;MONSDTE_m_E_PW;MONSLTE_m_BS;MONSLTE_m_PW;NH4_mgN/l_nf_PW;PO4_mgP/l_nf_PW;Ptot_gP/kg_dg_BS;Ptot_mgP/l_nf_PW;Ptot_mgP/l_ng_BS;Ptot_mgPOlsen/kg_dg_BS;Ptot_mgPOlsen/l_ng_BS;S_mg/l_OPGLT_PW;SLIBDTE_m_BS;SO4_mg/l_PW;Stot_mg/kg_dg_BS;Stot_mg/l_PW;Stot_mg/l_nf_PW;Stot_mg/l_ng_BS;T_oC_BS;WATDTE_m_BS;WATDTE_m_PW;X_CODNT_m_BS;X_CODNT_m_PW;Y_CODNT_m_BS;Y_CODNT_m_PW
3100-EAG-5;3100;2017-11-07;2017;;16000;1.257;18000;9100;50;89;40.8;;;;;;;0.04;;0.2;0.06;120;;;0.005;40;;14000;17;;7200;10.5;;;;;;
3100-EAG-5;3100;2017-11-16;2017;;19400;1.274;18020;3340;260;80.4;24.88;;;;;;;3.964;;0.56;0.822;132;;;0.011;22;;21360;4.42;;3980;9.88;;;;;;
3100-EAG-9;3100;2017-11-06;2017;;1750;1.613;10000;7600;6700;93;57.45;;;;;;;6.33;;0.2;0.22;124;;;0.005;25;;16050;2.75;;10850;10.45;;;;;;
3110-EAG-1;3110;2017-11-01;2017;;5200;;;;;;;;;;;;;0.25;;;0.42;;;;0.07;;;;1.1;;;;;;;;;
3110-EAG-1;3110;2017-11-07;2017;;16850;1.409;10500;6250;4325;89;40.7;;;;;;;7.065;;0.2;0.885;105.5;;;0.0075;40;;12350;6.85;;7350;11.05;;;;;;
3110-EAG-1;3110;2017-11-08;2017;;12300;1.088;19333.3333333333;5616.66666666667;13538.3333333333;84;34.85;;;;;;;2.164;;0.7;1.276;203.5;;;0.364;26.6666666666667;;11148.3333333333;1.88;;3650;9.3;;;;;;
3110-EAG-1;3110;2017-11-09;2017;;11633.3333333333;1.1455;49750;13950;16000;78.75;23.55;;;;;;;3.2625;;1.35;2.39;307.5;;;0.06875;37.5;;7675;0.625;;2035;9.325;;1.6;;;;
3110-EAG-2;3110;2017-11-09;2017;;24150;1.17475;55500;15500;69000;82;25.45;;;;;;;0.46375;;1.05;0.6;292.5;;;0.005;36.25;;7125;1.325;;1712.5;8.325;;;;;;
3110-EAG-2;3110;2017-11-13;2017;;19350;1.1255;41500;7300;28500;80.5;15.75;;;;;;;0.96;;2;1.295;340;;;0.0175;45;;15000;2.1;;2650;7.55;;;;;;
3110-EAG-3;3110;2017-11-13;2017;;13050;1.21783333333333;38666.6666666667;12000;48500;83.5;28.9166666666667;;;;;;;13.2833333333333;;1.48333333333333;1.08333333333333;463.333333333333;;;0.00833333333333333;31.6666666666667;;8833.33333333333;1.23333333333333;;2528.33333333333;8.9;;;;;;
3110-EAG-3;3110;2017-11-14;2017;;13120;1.239;45200;13320;62200;81;26.3;;;;;;;11.783;;1.56;0.966;478;;;0.005;39;;7500;0.98;;2026;8.14;;;;;;
3110-EAG-4;3110;2017-11-16;2017;;76000;1.122;9000;700;10;51;6.4;;;;;;;3.5;;1.1;3.9;79;;;0.17;30;;17000;7.7;;1200;9.3;;;;;;
3200-EAG-1;3200;2013-10-04;2013;;;9.87833333333333;19064.8888888889;4155.55555555556;1136.66666666667;83.6666666666667;31.3166666666667;-3.33333333333333;0;-13.3333333333333;-10;;;;0.135833333333333;0.533333333333333;1.24166666666667;109.172222222222;3.41666666666667;0.833333333333333;;;;6127.22222222222;11.1166666666667;11.1166666666667;1346.11111111111;10.4555555555556;;;132545;132418.5;475296.501333333;475333.168
3201-EAG-1;3201;2013-10-01;2013;;;6.13821428571429;16281.3570714286;1192.85714285714;61.4285714285714;44.7142857142857;8.14285714285714;0;0;-10;-10;;;;;0.814285714285714;0.411428571428571;60.1428571428571;;;;;;23428.5714285714;5.91428571428571;5.91428571428571;1728.57142857143;11.6285714285714;;;134143.142857143;134143.142857143;475446.285714286;475446.285714286
3201-EAG-2;3201;2013-10-01;2013;;;6.11125;24484.5;975;5;28.5;3.75;0;0;-10;-10;;;;;1.5;0.62;58.25;;;;;;43000;5.35;5.35;1650;10.75;;;134347;134347;474796.992;474796.992
3230-EAG-1;3230;2013-09-19;2013;;;1.106;40871.3571428571;2392.85714285714;12000;43.7142857142857;11.3571428571429;0;0;-10;-10;97.247;97.247;;;1.02857142857143;0.457142857142857;76.7142857142857;;;;;;24085.7142857143;0.92;0.92;1451.42857142857;15.8;;;134149.714285714;134149.714285714;470141.426285714;470141.426285714
3230-EAG-1;3230;2013-09-20;2013;;;1.073;62037.9986666667;3900;7233.333;44.3333333333333;6.16666666666667;0;0;-10;-10;;;;;5.06666666666667;0.176666666666667;303.833333333333;;;;;;20333.3333333333;1.04;1.04;1205;16.1;;;135330.666666667;135330.666666667;470309.994666667;470309.994666667
3230-EAG-1;3230;2013-09-24;2013;;;6.30975;9902;1850;28500;68;18.55;0;0;-10;-10;;;;;0.85;1.45;151.25;;;;;;5650;3.425;3.425;977.5;16.15;;;135289.496;135289.496;469909.504;469909.504
3230-EAG-2;3230;2013-10-15;2013;;;6.10433333333333;7451.91666666667;1916.66666666667;121.666666666667;82.5;24.8833333333333;0;0;-10;-10;0;0;;;0.3;0.454166666666667;97.9166666666667;;;;;;7033.33333333333;3.31833333333333;3.31833333333333;1667.5;15.8333333333333;;;132457.166666667;132457.166666667;471004.496;471004.496
3230-EAG-3;3230;2013-10-02;2013;;;5.09475;23843.5833333333;1466.66666666667;315;40.5;6.38333333333333;0;0;-10;-10;;;;;1.25;0.1925;77.75;;;;;;29500;3.95166666666667;3.95166666666667;1825;12;;;134729.498666667;134729.498666667;472277.669333333;472277.669333333
3230-EAG-4;3230;2017-07-12;2017;17566.6666666667;;1.20966666666667;13333.3333333333;3533.33333333333;466.666666666667;82.6666666666667;30.2;50;;;;;;3.53666666666667;;0.6;0.623333333333333;226.666666666667;;;5.26333333333333;;;13366.6666666667;9.76666666666667;;3733.33333333333;18.5;;;;;;
3230-EAG-4;3230;2017-07-13;2017;14000;;1.533;5550;1700;7400;85;46;45;;;;;;17;;0.5;9.5;160;26;38;0.03;;;4505;1.5;;980;19.1;;;;;;
3230-EAG-5;3230;2013-09-20;2013;;;1.06566666666667;26079.3333333333;2116.66666666667;2263.33333333333;46;7.86666666666667;0;0;-10;-10;;;;;1.83333333333333;1.16;152.666666666667;;;;;;27000;1.26666666666667;1.26666666666667;2033.33333333333;15.8666666666667;;;135365.664;135365.664;470924.661333333;470924.661333333
3300-EAG-1;3300;2013-08-29;2013;;;4.8361;19009.9;2040;1080;49.6;11.86;0;0;-10;-10;;;;;0.6;0.086;70.3;;;;;;21100;1.62;1.62;2170;18.68;;;132364.6;132364.6;467202.0032;467202.0032
