fewsparameter;Var.2;1000-EAG-1;1000-EAG-2;1000-EAG-3;1000-EAG-4;1010-EAG-1;1060-EAG-1;2000-EAG-1;2000-EAG-2;2000-EAG-3;2000-EAG-4;2000-EAG-5;2000-EAG-6;2000-EAG-7;2010-EAG-1;2010-EAG-2;2020-EAG-1;2030-EAG-1;2040-EAG-1;2100-EAG-1;2110-EAG-1;2110-EAG-2;2110-EAG-3;2110-EAG-4;2110-EAG-5;2120-EAG-1;2120-EAG-2;2120-EAG-3;2130-EAG-1;2140-EAG-1;2140-EAG-3;2140-EAG-4;2140-EAG-6;2150-EAG-3;2160-EAG-1;2200-EAG-1;2210-EAG-1;2220-EAG-1;2220-EAG-2;2220-EAG-3;2230-EAG-1;2230-EAG-2;2240-EAG-1;2250-EAG-1;2250-EAG-2;2250-EAG-3;2250-EAG-4;2250-EAG-5;2250-EAG-7;2270-EAG-1;2280-EAG-1;2290-EAG-1;2300-EAG-1;2310-EAG-1;2330-EAG-1;2340-EAG-1;2350-EAG-1;2380-EAG-1;2400-EAG-1;2400-EAG-2;2400-EAG-3;2400-EAG-4;2400-EAG-5;2410-EAG-1;2500-EAG-1;2500-EAG-2;2500-EAG-3;2500-EAG-4;2500-EAG-5;2500-EAG-6;2501-EAG-1;2501-EAG-2;2502-EAG-1;2503-EAG-1;2504-EAG-1;2505-EAG-1;2506-EAG-1;2510-EAG-1;2510-EAG-2;2510-EAG-3;2511-EAG-1;2512-EAG-1;2520-EAG-1;2520-EAG-4;2530-EAG-1;2530-EAG-2;2540-EAG-1;2540-EAG-2;2540-EAG-3;2540-EAG-4;2550-EAG-1;2550-EAG-2;2550-EAG-4;2550-EAG-5;2560-EAG-1;2560-EAG-2;2570-EAG-1;2570-EAG-2;2600-EAG-1;2600-EAG-2;2600-EAG-4;2600-EAG-6;2600-EAG-9;2610-EAG-1;2620-EAG-1;2630-EAG-1;2630-EAG-3;3000-EAG-1;3020-EAG-1;3040-EAG-1;3050-EAG-1;3070-EAG-1;3070-EAG-2;3100-EAG-1;3100-EAG-10;3100-EAG-2;3100-EAG-3;3100-EAG-4;3100-EAG-5;3100-EAG-9;3110-EAG-1;3110-EAG-2;3110-EAG-3;3110-EAG-4;3110-EAG-5;3200-EAG-1;3200-EAG-2;3201-EAG-1;3201-EAG-2;3201-EAG-3;3210-EAG-1;3210-EAG-2;3210-EAG-3;3220-EAG-2;3220-EAG-3;3230-EAG-1;3230-EAG-2;3230-EAG-3;3230-EAG-4;3230-EAG-5;3230-EAG-6;3240-EAG-1;3250-EAG-1;3260-EAG-1;3300-EAG-1;3300-EAG-10;3300-EAG-11;3300-EAG-12;3300-EAG-3;3300-EAG-4;3300-EAG-5;3300-EAG-6;3300-EAG-7;3300-EAG-8;3300-EAG-9;3301-EAG-1;3302-EAG-1;3302-EAG-2;3310-EAG-2;3311-EAG-1;3311-EAG-2;3311-EAG-3;3311-EAG-7;3320-EAG-1;3320-EAG-2;3320-EAG-3;3320-EAG-4;3340-EAG-1;3340-EAG-2;3340-EAG-3;3350-EAG-1;3360-EAG-1;3360-EAG-10;3360-EAG-11;3360-EAG-12;3360-EAG-13;3360-EAG-14;3360-EAG-15;3360-EAG-16;3360-EAG-17;3360-EAG-18;3360-EAG-2;3360-EAG-3;3360-EAG-4;3360-EAG-5;3360-EAG-9;3370-EAG-1;3370-EAG-2;3370-EAG-3;3370-EAG-4;3370-EAG-5;4000-EAG-1;4000-EAG-2;4000-EAG-3;4000-EAG-4;4000-EAG-6;4000-EAG-7;4000-EAG-8;4100-EAG-1;4110-EAG-1;4110-EAG-2;4120-EAG-1;4120-EAG-2;4130-EAG-1;4140-EAG-1;4140-EAG-2;4140-EAG-3;4140-EAG-4;4200-EAG-2;4200-EAG-3;4210-EAG-1;4210-EAG-2;4210-EAG-3;4210-EAG-4;4210-EAG-5;4230-EAG-1;4240-EAG-1;4250-EAG-1;5000-EAG-1;6000-EAG-1;6040-EAG-1;6050-EAG-1;6060-EAG-1;6080-EAG-1;6100-EAG-1;6100-EAG-2;6110-EAG-1;6400-EAG-1;6400-EAG-2;6420-EAG-1;6430-EAG-1;6440-EAG-1;6450-EAG-1;6460-EAG-1;6460-EAG-2;6480-EAG-1;6480-EAG-2;6490-EAG-1;6500-EAG-1;6510-EAG-1;6530-EAG-1;6530-EAG-2;6540-EAG-1;6540-EAG-2;6540-EAG-3;6550-EAG-1;6570-EAG-1;7000-EAG-1;7010-EAG-1;7010-EAG-2;7020-EAG-1;7040-EAG-1;7050-EAG-1;7060-EAG-1;7100-EAG-1;7100-EAG-2;8000-EAG-1;8010-EAG-1;8010-EAG-2;8020-EAG-1;8030-EAG-1;8030-EAG-2;8030-EAG-3;8030-EAG-5;8040-EAG-1;8050-EAG-2;8050-EAG-3;8060-EAG-1;8070-EAG-1;8070-EAG-2;8080-EAG-2;8090-EAG-1;8090-EAG-2;9010-EAG-1;9020-EAG-1;9030-EAG-1;9040-EAG-1
C2yazfs;4.55083333333333;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA;;88;;;;;;;96;;66;120;71.5;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;100;;;;;;;;;;;;;;;;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;;;;;;;;;;;;110;;;;;;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA-1;69.6190476190476;100.1;;;;140.833333333333;136.666666666667;98.1738562091503;102.462962962963;71.3333333333333;76.0970418470419;123.447619047619;96.9777777777778;75.875;83.375;70.25;141.083333333333;155.833333333333;152.5;98.2111111111111;103;75.9166666666667;112;62.8333333333333;;112.166666666667;;64.5;121.75;90.3333333333333;72.25;73.75;;121.25;141.444444444444;90.5;195;81.4350427350427;;;;77.8666666666667;111.416666666667;63.3194444444444;;117.166666666667;141.902777777778;108.5;;120.75;85.7927083333333;125.083333333333;107.125;70;84.8055555555556;76.1666666666667;118.833333333333;96;113.333333333333;;;79.25;52.7125;83;95.0446623093682;75.2083333333333;75.4166666666667;50.8333333333333;53.7333333333333;96.6717171717172;;80.0833333333333;68.95;128.5;144.333333333333;67.6666666666667;;54.7692307692308;22.0166666666667;73.3541666666667;97.8333333333333;85.9166666666667;127.666666666667;;139.333333333333;78.3333333333333;169.583333333333;125.166666666667;126;88.9166666666667;105.625;114.5;101.233333333333;116.6;108.277777777778;63.3333333333333;86.4166666666667;;129.333333333333;;;;75.0079365079365;81.25;88.75;60.25;;68.145082815735;67.2916666666667;92.625;71.4583333333333;79.75;85.9166666666667;49.7333333333333;73.6111111111111;43.25;59.4;47.9166666666667;51.1666666666667;;79.0666666666667;39.25;35.5416666666667;40.7777777777778;103.380952380952;47.3;90.6666666666667;31.0416666666667;56.0833333333333;68;74.5;50.5;62;133.916666666667;79;40.5138888888889;47.7638888888889;62.0462962962963;;61.8333333333333;60.4583333333333;76.8333333333333;;72.3333333333333;55.7777777777778;45.3627450980392;46.9666666666667;31.6666666666667;50.0833333333333;53.4166666666667;43.6666666666667;43.4166666666667;44.8333333333333;41.3333333333333;30.8;70.875;52.8055555555556;48.4509803921569;74.875;88.5833333333333;;;;70.5625;47.125;81.5416666666667;27.25;84.6666666666667;82.1666666666667;58.3333333333333;77.75;95;58.1111111111111;62;44.1111111111111;41.1111111111111;44.25;39.7777777777778;39.594696969697;54.9761904761905;;67.9166666666667;74.5;55.8333333333333;;50.75;58.5;;;;;65.5277777777778;47.3611111111111;63;65.4444444444444;47;60.2222222222222;59.2777777777778;67.5;64.8333333333333;81;63.3333333333333;65;81.6666666666667;;;;;112.083333333333;;64;40.9166666666667;41.75;59.6296296296296;56.3333333333333;64.5;64.9166666666667;61.5833333333333;14.475;;118.5;81.5;167.5;123.333333333333;93.3263888888889;127.5;155;127.611111111111;185.833333333333;65.6666666666667;74.4074074074074;81.6666666666667;75.625;82;;86.0833333333333;;76.875;95;91.5;70.625;;86.8333333333333;;66.5;70.1;79.625;;72.2416666666667;60.8333333333333;66.3888888888889;;67.125;;40.3888888888889;47.0833333333333;96.1111111111111;190;;111.583333333333;;120.297619047619;90;114.25;101.833333333333;;120;93.6666666666667;80.2608695652174;98.0142857142857;106.041666666667;97.5833333333333;76.4166666666667;115.166666666667;163.333333333333;163.333333333333;79.8333333333333
captn;9.74333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARBEN;4.72;0.0175;;;;;;;;;;;0.0325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
carbmzpne;4.88666666666667;0.065;;;;;;;;;;;0.08125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CD;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;0.0125;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;
CD-1;0.0125;0.0125;;;;;;0.0125;;;;;;;;;;;;;;;;;0.0125;;;;0.0125;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;0.0125;;;;;;;0.0125;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;0.0125;;;;;;;;;;0.0125;0.0125;;;;;;;;;;
CFVP;9.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cHCH;10.5741666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHLFA;28.5431397306397;14.1175073099415;32.5416666666667;16.5208333333333;2.20833333333333;22.8055555555556;32.7361111111111;24.4444444444444;25.7391975308642;10.5491071428571;30.9826388888889;35.3700627537837;46.5944444444444;34.9537037037037;19.5625;26.6805555555556;32.4444444444444;94.8333333333333;46.9027777777778;81.094246031746;77.9791666666667;43.4375;61.6875;176.416666666667;;134.222222222222;130;38;85.1666666666667;32.7916666666667;147.809523809524;94.7916666666667;67.3125;167.583333333333;;150.472222222222;153.333333333333;7.10416666666667;64;;140;39.8819444444444;234.388888888889;5.08101851851852;140;44.9166666666667;167.782407407407;64.5;50;99.5555555555556;25.0069444444444;99.5972222222222;41.8333333333333;56.4097222222222;47.25;19.0555555555556;82.875;29.5;94.3333333333333;153.666666666667;2.60416666666667;59.9583333333333;48.9861111111111;42.9236111111111;35.631746031746;54.5046296296296;2.86111111111111;1.25;2.15625;127.951416122004;12.4583333333333;26.25;35.5416666666667;31.1319444444444;54.75;41.0049019607843;22.75;39.1;29.0416666666667;65.2291666666667;50.4861111111111;32.5555555555556;41.6342592592593;45.6666666666667;55.9444444444444;36;23.1291666666667;158.520833333333;84.5625;2.95833333333333;22.0833333333333;27.1458333333333;14.3802083333333;43.6145833333333;29.6941287878788;32.4208333333333;43.9722222222222;140;141.5;75.1666666666667;5.45833333333333;76.6666666666667;145.051388888889;64.2083333333333;51.5208333333333;65.1180555555556;14.1666666666667;17.90625;20.625;17.5833333333333;5.06666666666667;28.6805555555556;25.8333333333333;10.7291666666667;29.625;12.6805555555556;23.1666666666667;9;95.1736111111111;14.0833333333333;19.2508169934641;16.4479166666667;36.3020833333333;63.2916666666667;20.9722222222222;3.18055555555556;23.25;6.22916666666667;13.9444444444444;18.6712962962963;55.5972222222222;114;70;2.15277777777778;2.20833333333333;26.8333333333333;7.78611111111111;27.9791666666667;55.6666666666667;37.1111111111111;40.7303240740741;19.6527777777778;7;23.0138888888889;37.5398148148148;33.9930555555556;32.8611111111111;17.0046296296296;35.1388888888889;33.3611111111111;32.9722222222222;16.3333333333333;22.3958333333333;42.0277777777778;42.8518518518519;48.3333333333333;15.7847222222222;25.5016339869281;1.25;7.80555555555556;14;96;1.25;53.6770833333333;27.3819444444444;54.8229166666667;12.1666666666667;66.662037037037;39.7291666666667;38.5;100.532407407407;29.3333333333333;9.35416666666667;1.91388888888889;40.6111111111111;54.8888888888889;59.0208333333333;36.7569444444444;36.7954545454545;7.19269421860885;14;69.5;73.4583333333333;9.3125;1.25;9.29166666666667;20.1388888888889;20;7.625;11.625;13;23.6319444444444;12.4166666666667;21.7361111111111;28.6666666666667;46.9583333333333;34.0138888888889;39.0555555555556;21;30.8611111111111;110;23.4444444444444;39;21.7916666666667;21.3333333333333;2.04166666666667;7.66666666666667;6.58333333333333;10.4305555555556;16;56.625;32.1666666666667;48;49.7731481481482;39.2222222222222;18.0138888888889;76.7731481481482;38.0694444444444;44.5138888888889;1.25;86.8333333333333;45.5833333333333;9.60416666666667;31.3333333333333;15.4565972222222;31.5416666666667;46.2083333333333;56.0833333333333;98.7777777777778;80.7083333333333;27.135101010101;20.9236111111111;15.3958333333333;35.875;111.416666666667;31.9513888888889;206.333333333333;18.7291666666667;10;2.5;38.3083333333333;46.7083333333333;24.2916666666667;65.7083333333333;19.7638888888889;26.4166666666667;13.2708333333333;17.8472222222222;33.5104166666667;11.3888888888889;18.6111111111111;21.9583333333333;38.6666666666667;9.35416666666667;10.9791666666667;28.2083333333333;40.4027777777778;7;;50.4305555555556;240;66.6805555555556;28;51.7638888888889;107.666666666667;;31;54.2777777777778;9.94839588377724;43.6644444444444;47.6736111111111;88.5;36.6666666666667;11.2916666666667;85.6666666666667;10.625;28.4166666666667
CHR;;0.00316666666666667;;;;;;;;;;;0.00508333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CL;376.351851851852;413.201754385965;;850;;141.111111111111;226.111111111111;372.805555555556;387.222222222222;149.779761904762;86.3472222222222;598.146733111849;123.055555555556;65.8888888888889;108.25;55.5555555555556;152.944444444444;171.111111111111;125;135.081196581197;174.083333333333;120.083333333333;533.333333333333;210.666666666667;;333.333333333333;;90.75;115.916666666667;134.5;88.25;78.0833333333333;;90.0833333333333;131;120.166666666667;1678.33333333333;159.342592592593;;;;83.1388888888889;749.444444444444;663.703703703704;;358.333333333333;1088.7037037037;703.333333333333;;450;150.5;250.666666666667;193.333333333333;112.25;112.5;73.6111111111111;398.333333333333;70;636.666666666667;;;218.416666666667;249.402777777778;223.333333333333;191.617149758454;154.916666666667;182.777777777778;162.222222222222;208.015873015873;142.461873638344;;81.4444444444444;68.5416666666667;242.777777777778;126.111111111111;61;;54.7166666666667;24.8333333333333;46.0833333333333;105.111111111111;76.1111111111111;143.111111111111;;287.222222222222;89.6666666666667;983.888888888889;596.666666666667;890;115.666666666667;773.888888888889;838.888888888889;717.916666666667;764.583333333333;547.272727272727;312.277777777778;116.111111111111;;150.833333333333;;;;76.9365079365079;76.0833333333333;111.666666666667;55.7222222222222;;109.395833333333;102.214285714286;155;140.5;68.8888888888889;64.1111111111111;103.444444444444;111.722222222222;85.8888888888889;108.638888888889;73.3888888888889;78.1111111111111;;137.083333333333;113.583333333333;31.5416666666667;75.2222222222222;476.481481481481;105.428571428571;90.1666666666667;70.3333333333333;85.8888888888889;100.277777777778;126.722222222222;59;67;1473.56691919192;85.6666666666667;34.3611111111111;81.1666666666667;66.2546296296296;;62.6111111111111;58.375;58.2222222222222;;86.0555555555556;47.5925925925926;15.4907407407407;23.6666666666667;17.7222222222222;38.1111111111111;37.7777777777778;26.9444444444444;20.8333333333333;18.0555555555556;33.3333333333333;28.1666666666667;45.75;13.0555555555556;10.7538126361656;57.6666666666667;37.6666666666667;;;;46.625;37.8611111111111;51.875;34.0833333333333;48.4722222222222;35.6666666666667;42.3333333333333;44.1666666666667;49;42.9444444444444;43.4166666666667;17.7777777777778;19.1666666666667;37.9166666666667;16.3333333333333;22.3901515151515;14.6428571428571;;70.3333333333333;56.1666666666667;48.25;;63.5;50.8333333333333;;;;;177.222222222222;57.3333333333333;178.055555555556;172.962962962963;147.222222222222;115.555555555556;146.666666666667;191.611111111111;285;210;241.666666666667;90;186.111111111111;;;;;346.111111111111;;88.6666666666667;55.5;58.7222222222222;67.0925925925926;66.6666666666667;92.7222222222222;43.5740740740741;142.444444444444;35.8611111111111;1450;266.833333333333;62.5;938.333333333333;128;602.986111111111;2883.33333333333;494.166666666667;215.222222222222;204.444444444444;112.833333333333;89.210101010101;82.3333333333333;94.5;63.3333333333333;;75.5;;85.6666666666667;100.666666666667;116.666666666667;146.777777777778;;110.222222222222;;123.166666666667;62.9583333333333;80.3333333333333;64.3888888888889;83.4259259259259;31.3333333333333;34.6944444444444;177.25;69.5833333333333;94.4166666666667;25.2222222222222;22.8333333333333;181.111111111111;79;98.9444444444444;234.888888888889;;145.148148148148;94;129.111111111111;189.444444444444;101.166666666667;100;116.722222222222;118.992248062016;118.606296296296;120.111111111111;62.2222222222222;90.5555555555556;99.5;95.5;181.666666666667;50.1666666666667
CLAZN;5.05083333333333;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLOMZNE;5.2175;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLOXRN;5.38416666666667;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLPRFM;6.06916666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CO-1;;0.305;;;;;;;;;;;0.800555555555556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COUMP;7.75666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPYRP;6.57166666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;;;;;;;;;;;;;;;;0.5;;;;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;
CR-1;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CTLRN;5.55083333333333;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CU;;4.95;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;;;;;;;;;;;;;;;;;0.7;;;;1.4;;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.1;;;;;;;;;;;;;;;;;;;;;
