pol;EAG;GAF;KRW;watertype;bodem;a_inlaat1;a_inlaat2;a_inlaat3;a_inlaat4;a_inlaat5;a_uitlaat1;a_uitlaat2;a_uitlaat3;a_uitlaat4;a_tot;a_drain;a_verhard;a_gemengd;a_water;a_bodemhoogte;a_slootdiepte;wp_meting_gm3;wp_meting_mgm2d;jaar;maand;seiz;w_peil;w_volume;w_debiet;w_berging;w_sluitfout;w_maalstaat;w_i_neerslag;w_i_kwel;w_i_verhard;w_i_riol;w_i_drain;w_i_uitspoel;w_i_afstroom;w_i_inlaat1;w_i_inlaat2;w_i_inlaat3;w_i_inlaat4;w_i_inlaat5;w_o_verdamping;w_o_wegzijg;w_o_intrek;w_o_uitlaat1;w_o_uitlaat2;w_o_uitlaat3;w_o_uitlaat4;w_o_uitlaat5;wp_min_neerslag;wp_min_kwel;wp_min_verhard;wp_min_riol;wp_min_drain;wp_min_uitspoel;wp_min_afstroom;wp_min_inlaat1;wp_min_inlaat2;wp_min_inlaat3;wp_min_inlaat4;wp_min_inlaat5;wp_inc_neerslag;wp_inc_kwel;wp_inc_verhard;wp_inc_riol;wp_inc_drain;wp_inc_uitspoel;wp_inc_afstroom;wp_inc_inlaat1;wp_inc_inlaat2;wp_inc_inlaat3;wp_inc_inlaat4;wp_inc_inlaat5;namen;versie;naam;KRWnaam;agrarisch;p_i_redDAW;wp_min_sum;wp_inc_sum;wp_tot_sum;watdteF;watdte;kPDitch;PvskPDitch;Troebel.naar.helder..mg.P.m2.d.;P.load_year..mgP.m2.d.;Helder.naar.troebel..mg.P.m2.d.;lake.ditch.vollenweider;PvskPLake
2330-EAG_F002.xlsx;;;;M8;VEEN;Inlaat1;Inlaat2;Inlaat3;Inlaat4;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;864.667607954556;0;68.2103438304082;0;73.4606404832641;-3.2;0.5;0.260621437105308;9.51902369848748;2011.77777777778;6.16666666666667;;-2.46902489637048;536978.992899451;29.482311070355;24.4859833794178;6650.40092694859;-26278.7632347778;1842.42488011315;293.842561933056;1267.02493080966;0;0;11914.4808498136;0;6250;0;0;0;90.1213188816319;1423.15276816138;0;630.865448939876;0;0;0;0;19628.3623078292;0;0;0.155229035606963;0;0;9.73131797226403;0;0.42539787013046;0;0;0;0.00613398673689507;0.0501608716720322;0.08;3.44953412459918;0;0;9.73131797226403;0;3.82858083117414;0;0;0;0.0552058806320557;;;;;1;0.973131797226403;10.3180788647383;17.1947996803414;27.5128785450798;;;;;;;;;
2330-GAF_F002.xlsx;;;;M8;VEEN;Inlaat1;Inlaat2;Inlaat3;Inlaat4;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;864.667607954556;0;68.2103438304082;0;73.4606404832641;-3.2;0.5;0.260621437105308;9.51902369848748;2011.77777777778;6.16666666666667;;-2.46902489637048;536978.992899451;29.482311070355;24.4859833794178;6650.40092694859;-26278.7632347778;1842.42488011315;293.842561933056;1267.02493080966;0;0;11914.4808498136;0;6250;0;0;0;90.1213188816319;1423.15276816138;0;630.865448939876;0;0;0;0;19628.3623078292;0;0;0.155229035606963;0;0;9.73131797226403;0;0.42539787013046;0;0;0;0.00613398673689507;0.0501608716720322;0.08;3.44953412459918;0;0;9.73131797226403;0;3.82858083117414;0;0;0;0.0552058806320557;;;;;1;0.973131797226403;10.3180788647383;17.1947996803414;27.5128785450798;;;;;;;;;
2400-EAG-6_F002.xlsx;;;;;;inlaat;variabele inlaat;;;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;54.5379;0;33.7212;0;3.6354;-3.3;0.5;0.444610954656654;19.8445531104734;2014;6.5;;-2.78;18904.08;56.716099477911;0;-830.829536222876;-1153.30150200963;92.0746407045895;7.2708;629.75624813364;0;0;163.407333582075;67.5834046911737;1050;51.7646533084973;0;0;0;73.1740817416821;0;4.55196044578696;0;0;0;0;1984.13103823251;0;0.08;6.92915495553326;0;0;2.69693569206263;1.11542176417187;4.33239808549266;0.569562120355365;0;0;0;0.0506544758236175;0.04;34.6457747776663;0;0;2.69693569206263;1.11542176417187;12.997194256478;0.640757385399785;0;0;0;;;;;;0.269693569206263;15.7234726176158;52.1867383516022;67.910210969218;;;;;;;;;
2400-GAF_F001.xlsx;;;;M8;VEEN;Benningh;;Gebruiksinlaten;variabel;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1175.88352722926;0;48.8828701123971;0;60.8382753728893;-3.3;0.3;0.54326172090606;16.8198232046386;2012.39130434783;6.30434782608696;;-3.05045576982034;151818.405933856;32.9106029749803;-38.6551322927754;1050.01605129287;-19135.1483873313;1551.27883216193;0;914.307645354217;0;0;2112.87007029661;5358.61676739535;1822.32970456267;0;8000;183.184632230671;79.6556127954049;1240.14135112667;255.477228084568;402.837217254396;0;0;0;0;18085.1323360384;0.00254984024884639;0;0.601139752729841;0;0;2.08375736229841;5.28478172783633;1.19814685304162;0;5.25984666788562;0.0150550480850992;0.0392790290194029;0.0509968049769278;0;0.450854814547381;0;0;2.08375736229841;5.28478172783633;0;0;0.657480833485703;0.0150550480850992;0.0589185435291044;;;;;1;0.208375736229841;14.4845562811452;8.60184513475896;23.0864014159041;;;;;;;;;
2400-PRH-Benning.xlsx;;;;;;inlaat;;;;inlaat peilbeheer;Korenmolenweg - Gagelweg(Bijleveld);uitlaat2;uitlaat3;uitlaat4;54.5379;0;33.7212;0;3.6354;-3.6;0.8;0.52758127387919;15.3691483015129;2012.39130434783;6.30434782608696;;-2.78000639316033;29810.0475830493;34.8054420276034;-0.000135658172332997;-685.745792209879;-496.321173222912;92.6968924065617;7.2708;630.722597022641;0;0;158.758488105567;62.8247836758536;313.04347826087;0;0;0;0;74.0171530125357;0;9.23278536799351;0;0;0;0;1182.06696543279;0;0.08;6.93978761096595;0;0;2.6202094092353;1.03688370483336;1.29164663418415;0;0;0;0;0.0509968049769278;0.04;34.6989380548298;0;0;2.6202094092353;1.03688370483336;3.87493990255244;0;0;0;0;;;;;;0.26202094092353;11.9685273592188;42.3219678764278;54.2904952356466;;;;;;;;;
2500-EAG-5_F001.xlsx;;;;M20;;Inlaat kr. Mijdrecht;Inlaat wilnis veldzijde, oudhuizersluis, veldhuiswetering, gagel;inlaat 3;inlaat 4;inlaat peilbeheer:ringvaart;Uitlaat 1;Uitlaat 2;Uitlaat 3;Uitlaat 4;1316.20085303592;0;74.7084964308797;1;1012.9570979784;-10;7.85;0.0387981382488479;0.161649280645447;2012.64;6.32;;-2.05884401895535;80440503.1715284;9.41897185854723;147.524515799111;7417.98413496943;-40759.0376519018;26104.2308890964;0;1440.01670919021;15418.8562934689;4500;51.7850686128637;10.9605091660269;2880;44400;0;0;0;19240.1956522785;34440.5413312657;7931.58348485705;0;0;0;0;33341.0535169323;0;0;0.0127943724453651;0.182659537991185;0.0333182916308658;0.00306736003229829;0.000649218561451486;0.0199021262008372;0.30682444559624;0;0;0;0.0515406445962886;0;0.28431938767478;0.57842187030542;0.0444243888411544;0.00306736003229829;0.000649218561451486;0.0852948265750165;1.31496190969817;0;0;0;;;;;0;0.000306736003229829;0.559215352458243;2.36267960628458;2.92189495874282;;;;;;;;;
2500-EAG-6_F004.xlsx;;;;;;Inlaten vanuit kromme mijdrecht;Tweede bedijking;Veldhuisweg, Pomp bedrijf;Inlaten vanuit tussenboezem/ wilnis veldzijde;inlaat peilbeheer: Oudhuizersluis;Uitlaat 1;Uitlaat 2;Uitlaat 3;Uitlaat 4;292.437247321057;0;42.9550698683112;1;52.7612797975197;-2.55;0.4;0.580981027949927;16.718185662907;2012.64;6.32;;-2.11931437152822;227235.249485702;38.3273476236077;25.7257029139865;-11203.8080898292;-4155.52579636633;1359.67518524465;0;827.964974666975;0;0;492.618588670917;129.990109835883;2880;2298.68819664248;0;12301.3230154517;155.832113330707;1002.15235985298;1593.39064988509;2516.9409908237;0;0;0;0;15359.3338861956;0;0;0.141233965525474;0;0;0.560204669668466;0.147824439059942;0.545854841097958;0.87135422243891;0;4.66301161103754;0.0236282537389145;0.0515406445962886;0;3.13853256723275;0;0;0.560204669668466;0.147824439059942;2.18341936439183;0.435677111219455;0;6.99451741655631;0.0502100391951933;;;;;;0.0560204669668466;6.9531120025672;13.5619262519202;20.5150382544874;;;;;;;;;
2550-GAF_F002.xlsx;;;;M27;VEEN;part. inlaat;dijklek;Inlaat3;Inlaat4;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;61.3573699683289;0;2.6185264968553;0;5.77167219994465;-3.3;0.42;0.433756467111213;10.9490410372963;2011.77777777778;6.16666666666667;;-2.81948936889862;27733.4985130568;24.0475777712438;-3.42780192294763;373.740467293399;-1645.29288657052;145.279033057513;34.6300331996679;48.859244912089;0;0;204.82945987513;642.074273264321;153.717999193504;150;0;0;8.55731748072326;111.815673168805;0;1.15146661407543;0;0;0;0;1271.55241927712;0;0;0.0761881806477191;0;0;2.12932529200561;6.67474781333367;0.585930015618268;1.03956007759026;0;0;0.0326181006221589;0.0503420942925022;0.12;1.69307068106042;0;0;2.12932529200561;6.67474781333367;0.34623137286534;1.16950508728904;0;0;0.0192743321858212;;;;;0;0.212932529200561;10.5383694798177;12.2024966730324;22.7408661528501;;;;;;;;;
2570-GAF_F002.xlsx;;;;M8;VEEN;Hoogland;Donkervliet;Vinkeveen;extra inlaat;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;614.934119891563;0;49.9709048842229;0;34.5155616200131;-3.3;0.45;0.199677390908574;6.86087141733696;2011.77777777778;6.16666666666667;;-2.76585265850018;184363.954797033;36.2582733101617;-27.603482207425;-424.914616752777;-11222.120430416;865.665328554799;103.546684860039;928.222594227753;0;0;4577.61712117815;2704.80592816667;1500;1500;300;30;4.88900973421065;668.669871934443;0;171.438265410953;0;0;0;0;11647.0350471688;0;0.06;0.242035851539089;0;0;7.9574839399813;4.70188946877517;0.434586583441324;0.434586583441324;0.0434586583441324;0.00869173166882649;0.00141646535786799;0.0501608716720322;0.06;5.37857447864643;0;0;7.9574839399813;4.70188946877517;0.434586583441324;0.434586583441324;0.0434586583441324;0.017383463337653;0.00141646535786799;;;;;1;0.79574839399813;13.884149282549;19.0795405129972;32.9636897955463;;;;;;;;;
2600-GAF_F002.xlsx;;;;M10;VEEN;dijkslek;gebruiksinlaten;bemeten blokbemalingen;inlaat4;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;857.391590795893;729.330404267386;60.0863852757044;0;67.9748012528026;-6.51;0.51;0.368009710966329;15.4958315145772;2011.77777777778;6.16666666666667;;-5.93112656069466;393488.069873069;50.0982849336879;-48.7274560951988;-2506.35536289395;-30182.2383971534;1713.13451084317;135.949602505605;1138.31444508681;0;10715.6713703419;60.0863852757043;0;1200;1750;17218.6653967099;0;122.387903974027;1316.88839859456;0;0;0;0;0;0;32688.5937600473;0;0.08;0.669844956723506;0;6.30567279218051;0.0530370527033151;0;0.26480401072534;1.02979337504299;10.1323814586365;0;0.0540146797276504;0.0504049877092517;0.04;3.34922478361753;0;9.45850918827077;0.0530370527033151;0;0.794412032176021;1.15851754692336;1.26654768232956;0;0.0810220195914756;;;;;1;0.00530370527033151;18.5895483257398;16.2516752933213;34.8412236190611;;;;;;;;;
