pol;EAG;GAF;KRW;watertype;bodem;a_inlaat1;a_inlaat2;a_inlaat3;a_inlaat4;a_inlaat5;a_uitlaat1;a_uitlaat2;a_uitlaat3;a_uitlaat4;a_tot;a_drain;a_verhard;a_gemengd;a_water;a_bodemhoogte;a_slootdiepte;wp_meting_gm3;wp_meting_mgm2d;jaar;maand;seiz;w_peil;w_volume;w_debiet;w_berging;w_sluitfout;w_maalstaat;w_i_neerslag;w_i_kwel;w_i_verhard;w_i_riol;w_i_drain;w_i_uitspoel;w_i_afstroom;w_i_inlaat1;w_i_inlaat2;w_i_inlaat3;w_i_inlaat4;w_i_inlaat5;w_o_verdamping;w_o_wegzijg;w_o_intrek;w_o_uitlaat1;w_o_uitlaat2;w_o_uitlaat3;w_o_uitlaat4;w_o_uitlaat5;wp_min_neerslag;wp_min_kwel;wp_min_verhard;wp_min_riol;wp_min_drain;wp_min_uitspoel;wp_min_afstroom;wp_min_inlaat1;wp_min_inlaat2;wp_min_inlaat3;wp_min_inlaat4;wp_min_inlaat5;wp_inc_neerslag;wp_inc_kwel;wp_inc_verhard;wp_inc_riol;wp_inc_drain;wp_inc_uitspoel;wp_inc_afstroom;wp_inc_inlaat1;wp_inc_inlaat2;wp_inc_inlaat3;wp_inc_inlaat4;wp_inc_inlaat5;namen;versie;naam;KRWnaam;agrarisch;p_i_redDAW;wp_min_sum;wp_inc_sum;watdteF;watdte;kPDitch;wp_tot_sum;PvskPDitch;P.load_year..mgP.m2.d.;Troebel.naar.helder..mg.P.m2.d.;Helder.naar.troebel..mg.P.m2.d.;lake.ditch.vollenweider;PvskPLake
2010-GAF_F002.xlsx;;2010;;M8;VEEN;Doorspoeling;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;330.739230891024;80.2007342441415;149.4535939903;0;20.8841684124404;-2.5;0.5;0.331080209933436;9.67048411706373;2012;6.5;;-1.91585093718674;121994.674057614;28.8382798322245;-0.58340920243042;156.67744878243;-5338.15327127893;465.944880353137;0;2475.8729583016;0;743.546618367191;822.676740613038;14.5322014439364;1500;0;0;0;0.0615283336850733;352.408466299265;41.7683348248807;446.39889458951;0;0;0;0;5181.4758224965;0;0;2.3710524732474;0;1.42413449974723;2.36354177298144;0.0417508645504309;1.43649483223519;0;0;0;7.36542778122086e-05;0.0446218275155817;0;23.710524732474;0;2.13620174962084;2.36354177298144;0.0417508645504309;0.718247416117595;0;0;0;2.94617111248834e-05;;;;;0;0.236354177298144;7.63704809703951;29.0149178249711;(0.3,0.5];0.35;14.48;36.6519659220106;2.53121311616095;;;;;
2100-GAF_F001.xlsx;;2100;;M3;KLEI;inlaat;grondwatertoestroom;;;inlaat peilbeheer;;uitlaat2;uitlaat3;uitlaat4;701.26577523513;0;357.958083705499;0;36.2410633879001;-3.1;1.08;0.303248627222487;18.4116685677894;2012;6.5;;-2.00025079154673;398560.80774348;54.234183198939;-0.0368403936526626;746.035280355925;-19549.8453748424;856.265943209253;72.4821267758003;6379.06320578834;0;0;3669.45565748622;0;7677.77777777778;1000;0;0;0;631.894342370869;72.4821267758003;146.821307010578;0;0;0;0;18803.8100944865;0;0.08;7.04070202081115;0;0;6.07507945041924;0;6.35558981445989;1.10372037298869;0;0;0;0.0472539083108215;0.04;35.2035101040558;0;0;6.07507945041924;0;4.23705987630659;1.24168541961228;0;0;0;;;;;0;0.607507945041924;20.655091658679;46.8445887587047;(0.5,0.7];0.6;16.67;67.4996804173837;4.04917099084485;;;;;
2100-GAF_F002.xlsx;;2100;;M3;KLEI;;;;;inlaat peilbeheer;;uitlaat2;uitlaat3;uitlaat4;555.61300686;0;196.1029454;0;39.61476146;-3.1;1.08;0.392469430564629;15.9121569588628;2014;6.5;;-1.98988609215252;439768.976528065;35.3064856984951;-7.01221857887104;2586.48756482947;-15776.3797995647;862.865134982551;792.295229200001;3091.81000140548;0;0;9000.08832939334;0;0;0;0;0;239.521394386463;789.261227624896;0;0.414408428867118;0;0;0;0;13189.8922347352;0;0.800000000000001;3.1218766817792;0;0;13.6314161656345;0;0;0;0;0;0.181387986870738;0.0435628085684074;0.4;15.609383408896;0;0;13.6314161656345;0;0;0;0;0;0.272081980306107;;;;;0;1.36314161656346;17.7346808342845;29.9564443634051;(0.5,0.7];0.6;13.055;47.6911251976895;3.65309269993792;;;;;
2110-GAF_F002.xlsx;;2110;NL11_2_6;M10;VEEN;part. inlaat + ca 900 m3/d dijkse kwel;waterschapsinlaat opgedrukt;park de Braak;inlaat1;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;999.1624;0;213.4611;150.0001;61.86;-6;0.6;0.415703265091725;9.64719132609417;2012;6.5;;-5.4197195895538;358961.46190202;27.6806106509598;0.338089595500526;-1411.91467738222;-13802.3592187302;1400.97188158536;123.065;3573.93597328345;121.428942420705;0;9169.2291929275;1.40138270620674e-06;1250;243.458888888889;957.042777663353;0;284.093090513097;1078.75424677531;0;830.535695391459;0;0;0;0;15214.2738961125;0.0452949201935131;0.0795764629809247;1.15549174693936;0.0981481914166708;0;5.92901984670385;2.26541012965848e-10;1.41448431943097;0.196782160433955;0.464133257838678;0;0.137775504613529;0;0;0;0;0;0;0;0;0;0;0;0.321476177431568;;;;;1;0.592901984670385;9.52070641077799;0.321476177431568;(0,0.3];0.3;14.905;9.84218258820956;0.660327580557502;;;;;
2120-GAF_F002.xlsx;;2120;;M1a;VEEN;Poel en dijkslek;Amstel;Westwijk;Inlaat (sluitfout);inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1501.71198426781;73.5507375728607;230.396947081375;147.063715975571;99.7239065795898;-6.3;0.39;0.377498451395142;9.10055406821748;2012.5;6.5;;-5.89142650882817;407445.446645167;30.9691672524023;-1.09166871913236;-3406.53209287893;-25221.8147440862;2594.30932138917;263.051579960633;4538.48298819174;99.2098866343672;1321.3868547393;6479.22319146714;9072.29055630349;1043.81592936081;625;4833.89204836895;0;13.0010628469617;1972.18475942542;0;282.040154152835;0;0;0;0;28628.3468369652;0;0.0527559717590267;0.910209626529135;0.298453670851295;0.530018086960805;3.89829685600778;5.45844474056753;0.157005872287164;0.15668259032281;1.21181876396685;0;0.00260741146087886;0;0.0527559717590267;0.910209626529135;0.198969113900863;0.265009043480402;1.94914842800389;2.72922237028376;0.173753165331129;0.282028662581057;0.242363752793369;0;0.00216415151252945;;;;;1;0.389829685600778;12.6762935907133;6.80562428617517;(0.3,0.5];0.32;14.62;19.4819178768884;1.33255252235899;;;;;
2120-GAF_F003.xlsx;;2120;;M1a;VEEN;Poel en dijkslek;Amstel;Westwijk;Inlaat (sluitfout);inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1501.71198426781;73.5507375728607;230.396947081375;147.063715975571;99.7239065795898;-6.3;0.39;0.365995617374684;8.33983798350663;2013.5;6.5;;-5.89248084526312;406394.021163744;29.0145306776612;0.101152883683892;-2296.84443285673;-24042.2797412058;2655.3939557745;263.051579960633;4648.31532064406;74.4074149757754;1357.67535359114;6526.99883949546;9344.26285767337;583.361947020609;625;2472.70326246719;0;16.4875458621813;1980.95453576793;0;247.680520518173;0;0;0;0;26339.1241740625;0;0.0527559717590267;0.932236908896912;0.223840253138471;0.544573673518327;3.9270416071915;5.62207990731833;0.0877465545167488;0.15668259032281;0.619887283620833;0;0.00330663858400344;0;0.0527559717590267;0.932236908896912;0.149226835425647;0.272286836759163;1.96352080359575;2.81103995365916;0.0971061869985354;0.282028662581057;0.123977456724167;0;0.00274451002472285;;;;;1;0.39270416071915;12.170151388867;6.68692412642415;(0.3,0.5];0.32;14.4966666666667;18.8570755152911;1.30078699806561;;;;;
2120-GAF_F004.xlsx;;2120;NL11_2_6;M10;VEEN;Poel en dijkslek;Amstel;Westwijk;Inlaat (sluitfout);inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1501.71198426781;73.5507375728607;230.396947081375;147.063715975571;99.7239065795898;-6.3;0.39;0.357551659888608;7.41752856617777;2014;6.5;;-5.89109441989815;407776.618699503;27.1380772483488;0.197244078538071;-3784.38968950553;-21370.9153255162;2360.35018291067;263.051579960633;4131.8358405725;66.1399244229115;1250.18973556475;6683.09397525337;8631.3825844059;851.877286240542;625;2197.95845552639;0;2.27123778258763;1760.84847623816;0;147.194555458853;0;0;0;0;25155.3050150218;0;0.0527559717590267;0.828655030130588;0.198969113900863;0.501460393377982;4.02095798558769;5.1931675445449;0.12813536625152;0.15668259032281;0.551010918774074;0;0.000455505176339026;0;0.0527559717590267;0.828655030130588;0.132646075933909;0.250730196688991;2.01047899279384;2.59658377227245;0.141803138651682;0.282028662581057;0.110202183754815;0;0.000378069296361392;;;;;1;0.402095798558769;11.6322504198258;6.40626209386273;(0.3,0.5];0.32;14.38;18.0385125136885;1.25441672556944;;;;;
2130-EAG-2_F001.xlsx;2130-EAG-2;;;M1a;KLEI;Poel en dijkslek;onbekende inlaat;inlaat3;inlaat4;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;302.455099;0;127.825125025;68.828913475;17.57156;-6;0.39;0.25;7.28217511597199;2012.5;6.5;;-5.35603518045005;113154.664646111;30.5439034560464;0.460272999385833;-1682.64648867339;-3090.81761686508;456.375598501872;35.14312;2500.95135762988;101.191611078376;0;1764.60434249603;0;224.175938321386;76.4889479791426;103.046594982079;0;105.062811132496;347.881830844765;0;246.154658737417;0;0;0;0;4773.46410553847;0;0;1.28096550440991;1.72764873030697;0;6.02543317438873;0;0.765473088290576;0.174119880031466;0.234575860042202;0;0.364727518733808;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0.602543317438873;10.5729437562037;0;(0.3,0.5];0.4;14.63;10.5729437562037;0.722689251961972;;;;;
2130-GAF-NLP_2015_V2.xlsx;;2130;NL11_2_6;M10;KLEI;Legmeerdijksloot;Westwijk;inlaten UHP;Onbekend;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1119.53702679443;0;296.563980311203;100.838649894714;49.0230719493866;-6.3;0.45;0.45868110363661;22.6926479300503;2012.5;6.5;;-5.82948406082219;230661.367396469;50.4515154700094;6.66093491262611e-14;-3432.56884272749;-20204.3338359538;1235.16027899722;140.476057683563;5594.11103762168;148.252019778298;0;5611.14205473827;5439.86122419129;424.978554363755;3796.46479267952;914.936708364997;1427.5;0;969.859985595308;0;126.120064141982;0;0;0;0;23636.9026786813;0;0.0573101815523093;2.28223602282504;0.907238248541579;0;6.86755256039211;6.65791963809321;0.260068496810555;1.93606022721258;1.02648644727994;0.145594711146805;0;0;0.0573101815523093;2.28223602282504;0.604825499027719;0;3.43377628019605;3.3289598190466;0;0;0;0;0;;;;;1;0.686755256039211;20.1404665338541;9.70710780264772;(0.3,0.5];0.4;16.31;29.8475743365018;1.83001682014113;;;;;
2130-GAF_F001.xlsx;;2130;;M1a;KLEI;Legmeerdijksloot;Westwijk;inlaten UHP;Onbekend;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1119.53702679443;0;296.563980311203;100.838649894714;49.0230719493866;-6.3;0.45;0.45868110363661;22.6926479300503;2012.5;6.5;;-5.82948406082219;230661.367396469;50.4515154700094;6.66093491262611e-14;-3432.56884272749;-20204.3338359538;1235.16027899722;140.476057683563;5594.11103762168;148.252019778298;0;5611.14205473827;5439.86122419129;424.978554363755;3796.46479267952;914.936708364997;1427.5;0;969.859985595308;0;126.120064141982;0;0;0;0;23636.9026786813;0;0.0573101815523093;2.28223602282504;0.907238248541579;0;6.86755256039211;6.65791963809321;0.260068496810555;1.93606022721258;1.02648644727994;0.145594711146805;0;0;0.0573101815523093;2.28223602282504;0.604825499027719;0;3.43377628019605;3.3289598190466;0;0;0;0;0;;;;;1;0.686755256039211;20.1404665338541;9.70710780264772;(0.3,0.5];0.4;16.3;29.8475743365018;1.83113952984674;;;;;
