pol;EAG;GAF;KRW;watertype;bodem;a_tot;a_drain;a_verhard;a_gemengd;a_water;a_bodemhoogte;a_slootdiepte;wp_meting_gm3;wp_meting_mgm2d;jaar;maand;seiz;w_peil;w_volume;w_debiet;w_berging;w_sluitfout;w_maalstaat;w_i_neerslag;w_i_kwel;w_i_verhard;w_i_riol;w_i_drain;w_i_uitspoel;w_i_afstroom;w_i_inlaat1;w_i_inlaat2;w_i_inlaat3;w_i_inlaat4;w_i_inlaat5;w_o_verdamping;w_o_wegzijg;w_o_intrek;w_o_uitlaat1;w_o_uitlaat2;w_o_uitlaat3;w_o_uitlaat4;w_o_uitlaat5;wp_min_neerslag;wp_min_kwel;wp_min_verhard;wp_min_riol;wp_min_drain;wp_min_uitspoel;wp_min_afstroom;wp_min_inlaat1;wp_min_inlaat2;wp_min_inlaat3;wp_min_inlaat4;wp_min_inlaat5;wp_inc_neerslag;wp_inc_kwel;wp_inc_verhard;wp_inc_riol;wp_inc_drain;wp_inc_uitspoel;wp_inc_afstroom;wp_inc_inlaat1;wp_inc_inlaat2;wp_inc_inlaat3;wp_inc_inlaat4;wp_inc_inlaat5;namen;versie;naam;KRWnaam;agrarisch;p_i_redDAW;wp_min_sum;wp_inc_sum;watdteF;watdte;kPDitch;wp_tot_sum;PvskPDitch;P.load_year..mgP.m2.d.;Troebel.naar.helder..mg.P.m2.d.;Helder.naar.troebel..mg.P.m2.d.;lake.ditch.vollenweider;PvskPLake
2400-EAG-1_PRH_tm2017.xlsx;2400-EAG-1;;NL11_2_5;M8;VEEN;1175.883527;0;48.88287011;0;60.83827537;-3.3;0.3;0.564844362;12.08924793;2013.5;6.5;;-3.0537517;149813.2191;32.22110747;-3.251813685;-933.4636498;-13753.3879;1114.981661;0;657.1586201;0;0;1589.954013;3851.505802;1309.799475;0;8000;131.6639544;81.8799339;891.3515961;255.4772281;900.0112674;0;0;0;0;14686.85155;0.001832698;0;0.432069197;0;0;1.568046434;3.798436867;0.861168051;0;5.259846668;0.010820816;0.040375865;0.036653954;0;0.324051898;0;0;1.568046434;3.798436867;0;0;0.657480833;0.010820816;0.060563798;;;;;1;0.156804643;11.9725966;6.4560546;(0.3,0.5];0.4;14.715;18.4286512;1.252371811;;;;;
2400-EAG-1_PRH_tm2017.xlsx;2400-EAG-1;;NL11_2_5;M8;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;Benningh;;Gebruiksinlaten;variabel;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;Benningh;;Gebruiksinlaten;variabel;inlaat peilbeheer;;;;;;;;Benningh;;Gebruiksinlaten;variabel;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
2500-EAG-2_F001_reservaatDemmerik.xlsx;2500-EAG-2;;NL11_8_1;M10;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
2500-EAG-2_F001_reservaatDemmerik.xlsx;2500-EAG-2;;NL11_8_1;M10;VEEN;170;13.6;0;0;34;-2.65;0.5;;;2014;6.5;;-2.183758828;158521.9986;8.055471676;0.907731768;-1240.968744;0;861.126089;0;0;0;40.77496331;844.6816162;180.9077722;0;0;0;0;811.3699291;684.3590194;340;474.4403379;0;0;0;0;1240.968744;0;0;0;0;0.047970545;0.993743078;0.212832673;0;0;0;0;0.190910572;0.050654476;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0.099374308;1.445456868;0.050654476;(0.3,0.5];0.35;13.325;1.496111343;0.112278525;;;;;
2500-EAG-3-4-5_F001.xlsx;;;NL11_3_4;M20;;;;;;;;;;;;;;;;;;;;;;;;;;;Inlaat kr. Mijdrecht;Inlaat wilnis veldzijde, oudhuizersluis, veldhuiswetering, gagel;inlaat 3;inlaat 4;inlaat peilbeheer:ringvaart;;;;Uitlaat 1;Uitlaat 2;Uitlaat 3;Uitlaat 4;;;;;;;;;Inlaat kr. Mijdrecht;Inlaat wilnis veldzijde, oudhuizersluis, veldhuiswetering, gagel;inlaat 3;inlaat 4;inlaat peilbeheer:ringvaart;;;;;;;;Inlaat kr. Mijdrecht;Inlaat wilnis veldzijde, oudhuizersluis, veldhuiswetering, gagel;inlaat 3;inlaat 4;inlaat peilbeheer:ringvaart;;;;;;;;;;;;;;;;;;
2500-EAG-3-4-5_F001.xlsx;;;NL11_3_4;M20;;1316.200853;0;74.70849643;1;1012.957098;-10;7.85;0.059186046;0.126288501;2013.5;6.5;;-2.066018065;80367833.17;9.418971859;327.2575587;3286.925814;-31842.99817;20393.93038;0;1125.013054;12045.98148;4500;40.45708485;8.562897786;3000;45000;0;0;169.7638081;15031.40285;34440.54133;8582.949729;0;0;0;0;28556.07235;0;0;0.009995603;0.142702764;0.033318292;0.002396375;0.000507202;0.020731381;0.310970722;0;0;0.001173146;0.040266129;0;0.222124522;0.451892086;0.044424389;0.002396375;0.000507202;0.088848778;1.332731665;0;0;0.005027769;;;;;0;0.000239638;0.521795486;2.188218914;(0.5,0.7];2;;2.7100144;;0.53;0.366;0.730931115;vollenweider;0.725102529
2500-EAG-6_F003.xlsx;2500-EAG-6;;NL11_8_2;M10;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;Inlaten vanuit kromme mijdrecht;Tweede bedijking;Veldhuisweg, Pomp bedrijf;Inlaten vanuit tussenboezem/ wilnis veldzijde;inlaat peilbeheer: Oudhuizersluis;;;;Uitlaat 1;Uitlaat 2;Uitlaat 3;Uitlaat 4;;;;;;;;;Inlaten vanuit kromme mijdrecht;Tweede bedijking;Veldhuisweg, Pomp bedrijf;Inlaten vanuit tussenboezem/ wilnis veldzijde;inlaat peilbeheer: Oudhuizersluis;;;;;;;;Inlaten vanuit kromme mijdrecht;Tweede bedijking;Veldhuisweg, Pomp bedrijf;Inlaten vanuit tussenboezem/ wilnis veldzijde;inlaat peilbeheer: Oudhuizersluis;;;;;;;;;;;;;;;;;;
2500-EAG-6_F003.xlsx;2500-EAG-6;;NL11_8_2;M10;VEEN;292.4372473;0;42.95506987;1;52.7612798;-2.55;0.4;0.632048942;13.06893668;2013.5;6.5;;-2.131624042;220740.51;38.32734762;19.60273595;-8739.825899;-3265.811702;1062.246238;0;646.8476365;0;0;384.8582724;101.5547733;3000;1800.532862;0;9610.408606;700.7030958;782.9315311;1593.39065;2944.794438;0;0;0;0;12005.6376;0;0;0.110339036;0;0;0.437659898;0.115487843;0.568598793;0.682520541;0;3.642977821;0.106245049;0.040266129;0;2.451978568;0;0;0.437659898;0.115487843;2.274395171;0.341260271;0;5.464466732;0.225770729;;;;;1;0.04376599;5.663828981;11.35128534;(0,0.3];0.2;15.695;17.01511432;1.084110502;;;;;
2501_EAG-1_20160507.xlsx;2501-EAG-1;;NL11_2_3;M8;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;erven Amstelkade;variabel GWVzuid;variabel Demmerik;constante inlaat;inlaat peilbeheer;;;;vispomp Gagelweg;uitlaatstuw korenmolenweg;uitlaat3;uitlaat4;;;;;;;;;erven Amstelkade;variabel GWVzuid;variabel Demmerik;constante inlaat;inlaat peilbeheer;;;;;;;;erven Amstelkade;variabel GWVzuid;variabel Demmerik;constante inlaat;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
2501_EAG-1_20160507.xlsx;2501-EAG-1;;NL11_2_3;M8;VEEN;373.401109;0;10.28941758;0;50.28998723;-2.8;0.34;0.233485303;1.688290226;2013.5;6.5;;-2.450069744;175979.8809;20.0585633;0.033155415;-4854.670905;-3646.355774;1318.118969;25.56714693;199.8707746;0;0;3037.293765;1006.598266;0;0;0;4500;0;990.5236969;59.86798544;536.063716;0;0;0;0;8501.026679;0;0.020335775;0.158974608;0;0;3.019779813;1.000793917;0;0;0;1.372364901;0;0.052420732;0.010167888;0;0;0;0;0;0;0;0;0;0;;;;;1;0.301977981;5.590343548;0.06258862;(0,0.3];0.3;14.26;5.652932167;0.396418806;;;;;
2540-GAF_F002.xlsx;;2540;NL11_2_7;M10;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;brandweer;hevel het Poeltje (tijdserie);Veldwegsloot - reeks aangevuld met gem.;inlaat4;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;brandweer;hevel het Poeltje (tijdserie);Veldwegsloot - reeks aangevuld met gem.;inlaat4;inlaat peilbeheer;;;;;;;;brandweer;hevel het Poeltje (tijdserie);Veldwegsloot - reeks aangevuld met gem.;inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
2540-GAF_F002.xlsx;;2540;NL11_2_7;M10;VEEN;1985.396737;792.1066815;242.2244047;32;126.9589695;-7;0.3;0.282137529;25.93552975;2012;6.5;;-6.692295395;390658.5959;107.7416199;13.08248101;-16810.256;-116759.6289;2884.863274;88871.27862;4133.331172;0;16996.63304;19254.69611;0;2592;504.8480424;1550;0;0;2213.63964;0;1017.208225;0;0;0;0;133569.8849;0;28;1.302257317;0;5.355000318;9.099646693;0;0.306240671;0.159058645;0.488346749;0;0;0.0454456;14;6.511286583;0;8.032500476;9.099646693;0;0.918722013;0.178940976;0.061043344;0;0;;;;;1;0.909964669;44.71055039;38.84758569;(0,0.3];0.3;20.51;83.55813608;4.074019311;;;;;
2550-GAF_F003.xlsx;;2550;NL11_7_1;M27;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;part. inlaat;dijklek;Inlaat3;Inlaat4;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;part. inlaat;dijklek;Inlaat3;Inlaat4;inlaat peilbeheer;;;;;;;;part. inlaat;dijklek;Inlaat3;Inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
2550-GAF_F003.xlsx;;2550;NL11_7_1;M27;VEEN;61.35736997;0;2.618526497;0;5.7716722;-3.3;0.5;0.450558719;9.12558959;2014;6.5;;-2.823026638;27529.33895;22.05756611;0.015400944;103.4853233;-1274.554229;134.077772;34.6300332;44.85274726;0;0;210.1303809;590.8173011;101.6181378;150;0;0;6.964038834;101.8336613;0;0.203244646;0;0;0;0;1171.068906;0;0;0.069940688;0;0;2.184431551;6.141900794;0.387339917;1.039560078;0;0;0.026544968;0.046460633;0.12;1.554237514;0;0;2.184431551;6.141900794;0.228882678;1.169505087;0;0;0.015685663;;;;;0;0.218443155;9.849717996;11.46110392;(0.5,0.7];1.25;9.175;21.31082192;2.322705386;;;;;
2600-GAF_F002.xlsx;;2600;NL11_2_4;M10;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;dijkslek;gebruiksinlaten;bemeten blokbemalingen;inlaat4;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;dijkslek;gebruiksinlaten;bemeten blokbemalingen;inlaat4;inlaat peilbeheer;;;;;;;;dijkslek;gebruiksinlaten;bemeten blokbemalingen;inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
2600-GAF_F002.xlsx;;2600;NL11_2_4;M10;VEEN;857.3915908;729.3304043;60.08638528;0;67.97480125;-6.51;0.51;0.37020874;13.94624836;2012;6.5;;-5.930013905;394244.3956;45.76586876;2.05E-13;-2760.044217;-27164.01456;1541.82106;135.9496025;1024.483001;0;9789.970314;60.08638528;0;1200;1750;15496.79886;0;110.1491136;1185.199559;0;0;0;0;0;0;29924.05877;0;0.08;0.602860461;0;5.760940898;0.053037053;0;0.264804011;1.029793375;9.119143313;0;0.048613212;0.045364489;0.04;3.014302305;0;8.641411347;0.053037053;0;0.794412032;1.158517547;1.139892914;0;0.072919818;;;;;1;0.005303705;16.95919232;14.9598575;(0,0.3];0.3;16.225;31.91904983;1.967275798;;;;;
3100-GAF_F001.xlsx;;3100;NL11_4_1;M14;ZAND;;;;;;;;;;;;;;;;;;;;;;;;;;evt opgedrukte inlaat (defo);in2;in3;in4;inlaat peilbeheer;;;;evt opgedrukte molen;lek aalscholverkolonie?????;uit3;uit4;;;;;;;;;evt opgedrukte inlaat (defo);in2;in3;in4;inlaat peilbeheer;;;;;;;;evt opgedrukte inlaat (defo);in2;in3;in4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3100-GAF_F001.xlsx;;3100;NL11_4_1;M14;ZAND;631.3738161;0;0;0;207.8578027;-2;0.9;0.035749627;0.176187948;2012.5;6.5;;-0.972375485;2135997.738;6.799395204;-16.01037959;-857.8789823;0;5281.191925;721.6537691;0;0;0;3461.886333;1781.700163;0;0;0;0;2886.641276;4109.418386;4781.51868;1394.706736;2973.540303;0;0;0;857.8789823;0;0.069437256;0;0;0;0.333101408;0.171434523;0;0;0;0;0.069437886;0.050815431;0.034718628;0;0;0;0.166550704;0.085717262;0;0;0;0;0;;;;;0;0.033310141;0.643411072;0.337802024;(0.5,0.7];0.9;2.633333333;0.981213096;0.372612568;0.981213096;0.35;1.63;lake;0.601971225
3100-GAF-NAP7a_test_malen_2017 Bob_20181127.xlsx;;3100;NL11_4_1;M14;ZAND;;;;;;;;;;;;;;;;;;;;;;;;;;evt opgedrukte inlaat (defo);in2;in3;in4;inlaat peilbeheer;;;;evt opgedrukte molen;lek aalscholverkolonie?????;uit3;uit4;;;;;;;;;evt opgedrukte inlaat (defo);in2;in3;in4;inlaat peilbeheer;;;;;;;;evt opgedrukte inlaat (defo);in2;in3;in4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3100-GAF-NAP7a_test_malen_2017 Bob_20181127.xlsx;;3100;NL11_4_1;M14;ZAND;672.8621547;0;0;0;221.6894;-1.97;0.97;0.035749627;0.106429072;2014;6.5;;-0.971812059;2212876.857;6.842719552;-670.0038536;-1053.458272;0;5996.143457;1152.78488;0;0;0;4746.770893;1286.152426;0;0;0;0;1987.732262;2971.948209;3458.35464;926.4017077;6089.417236;0;0;0;1053.458272;0.054094995;0.104;0;0;0;0.535295203;0.14503991;0;0;0;0;0.044831468;0;0;0;0;0;0.428236162;0.116031928;0;0;0;0;0.035865175;;;;;0;0.05352952;0.883261576;0.580133265;(0.5,0.7];0.9;2.706666667;1.463394841;0.540663119;1.463394841;0.35;1.63;lake;0.897788246
3200-GAF_SBP4a_tm2017.xlsx;;3200;NL11_3_6;M20;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;Blijkpolder;Googstuw/afvoer SAP;overschot HAP;overschot PKH;inlaat peilbeheer;;;;opmaling naar/inlaat van SAP;inlaat Blijkpolder;;;;;;;;;;;Blijkpolder;Googstuw/afvoer SAP;overschot HAP;overschot PKH;inlaat peilbeheer;;;;;;;;Blijkpolder;Googstuw/afvoer SAP;overschot HAP;overschot PKH;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3200-GAF_SBP4a_tm2017.xlsx;;3200;NL11_3_6;M20;VEEN;369.3086249;0;20.89581931;0;254.814702;-16.5;14.78;0.017045785;0.091485121;2013.5;6.5;;-1.73585212;37621219.42;7.257039788;60.96630877;865.6064773;-4399.862298;5350.984968;0;322.9891604;0;0;251.6146244;2.653057689;899.4089637;2459.285912;0;0;7214.380481;4229.263488;4331.849934;1213.274014;3046.92575;206.7144694;0;0;3534.255821;0;0;0.011407907;0;0;0.059246493;0.000624703;0.038826247;0.144769075;0;0;0.424683923;0.041999029;0;0.253509046;0;0;0.059246493;0.000624703;0.046415014;0.193025433;0;0;0.141561308;;;;;0;0.005924649;0.679558348;0.736381025;(0.5,0.7];1.6;6.155;1.415939373;0.230047014;;;;;
3201-EAG-1+2_SAP_Zuid_van_Bergse_Pad_2015_uitwisseling.xlsx;;;NL11_6_3;M27;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;Inlaat vanuit EAG3;Inlaat vanuit EAG1;inlaat Spplas;;inlaat peilbeheer;;;;Aflaat Spplas;Uitlaat naar EAG1;Uitlaat naar EAG3;uitlaat4;;;;;;;;;Inlaat vanuit EAG3;Inlaat vanuit EAG1;inlaat Spplas;;inlaat peilbeheer;;;;;;;;Inlaat vanuit EAG3;Inlaat vanuit EAG1;inlaat Spplas;;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3201-EAG-1+2_SAP_Zuid_van_Bergse_Pad_2015_uitwisseling.xlsx;;;NL11_6_3;M27;VEEN;256.14811;0;0;0;126.182955;-2.5;1.13;;;2012.5;6.5;;-1.379934299;1413331.999;13.81981582;12.60965925;1.07E-14;0;3174.212008;0;0;0;0;623.8289477;0;3110.569471;132.2382721;10397.40328;0;0;2495.335926;8719.242191;2105.432144;1209.053377;2514.821457;406.9765405;0;0;0.150933793;0;0;0;0;0.098876896;0;0.345117711;0.003143965;0.164798855;0;0;0.050311264;0;0;0;0;0.098876896;0;0.246512651;0.004191954;0.082399428;0;0;;;;;0;0.00988769;0.762871221;0.482292193;(0.5,0.7];1;7.39;1.245163414;0.168493019;1.245163414;4.35;5.81;lake;0.214313841
3230_EAG5-F001.xlsx;3230-EAG-5;;NL11_6_4;M27;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;Inlaat EAG4;Inlaat H. Kanaal;Inlaat3;Inlaat4;Inlaat Peilbeheer;;;;Uitlaat H.Kanaal;Uitlaat EAG 4;uitlaat3;uitlaat4;;;;;;;;;Inlaat EAG4;Inlaat H. Kanaal;Inlaat3;Inlaat4;Inlaat Peilbeheer;;;;;;;;Inlaat EAG4;Inlaat H. Kanaal;Inlaat3;Inlaat4;Inlaat Peilbeheer;;;;;;;;;;;;;;;;;;
3230_EAG5-F001.xlsx;3230-EAG-5;;NL11_6_4;M27;VEEN;90.9769;0;3.8711;0;22.6571;-2.2;0.98;0.1;0.144927096;2013;6.5;;-1.214041594;223389.582;28.37837675;-1.837650235;-375.3085876;0;571.6586546;106.1483071;71.80154939;0;0;1124.611774;13.55580792;4238.954832;257.4043905;0;0;45.58188402;449.3511111;174.3865479;59.25571678;4897.362428;472.2151574;0;0;375.3085876;0.151385302;0.046849909;0.028521476;0;0;1.985446988;0.035898172;2.806375153;0.113608712;0;0;0.020118146;0.050461767;0.093699818;0.633810588;0;0;2.978170481;0.035898172;0.720302882;0.044307394;0;0;0.007846076;;;;;0;0.198544699;5.188203858;4.564497179;(0.5,0.7];0.7;10.8;9.752701037;0.903027874;9.752701037;7.03;8.4;lake;1.161035838
3230-EAG-1_F002_HOL-PKH.xlsx;3230-EAG-1;;NL11_6_4;M27;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;H. Kanaal;Moleneind;Inlaat3;Inlaat4;Inlaat Peilbeheer;;;;H. Kanaal;Moleneind;Uitlaat3;Uitlaat4;;;;;;;;;H. Kanaal;Moleneind;Inlaat3;Inlaat4;Inlaat Peilbeheer;;;;;;;;H. Kanaal;Moleneind;Inlaat3;Inlaat4;Inlaat Peilbeheer;;;;;;;;;;;;;;;;;;
3230-EAG-1_F002_HOL-PKH.xlsx;3230-EAG-1;;NL11_6_4;M27;VEEN;120.3128053;0;0.1072;0;28.2969879;-2.1;0.88;;;2013;6.5;;-1.212768835;251059.6954;8.853900425;1.444210746;-1602.972081;0;713.9580101;28.2969879;1.988356306;0;0;1280.019662;66.07317133;0;0;0;0;415.0509445;561.2052272;28.2969879;314.3570469;0;0;0;0;1602.972081;0.151385302;0.02;0.001405348;0;0;0.452351913;0.046699791;0;0;0;0;0.120274913;0.050461767;0.02;0.014053484;0;0;0.226175957;0.011674948;0;0;0;0;0;;;;;0;0.045235191;0.792117268;0.322366156;(0.5,0.7];1.1;6.43;1.114483423;0.173325571;1.114483423;2.61;4.73;lake;0.235620174
