WSA;eag;krw;grid
Baambrugge Oostzijds;6430-EAG-1,2330-EAG-1;;
Sloterplas;8070-EAG-2,8070-EAG-1,8070-EAG-3;NL11_Sloterplas, Sloterplas;Sloterplas1.tif
