CODE;BUITENGEBRUIKDATUM;NAAM;NAMESPACE;GERELATEERDMEETOBJECT;GERELATEERDMEETOBJECTROL_ID;WATERTYPE;XCOORD;YCOORD;ZCOORD;REFERENTIEVLAK;MORFOLOGIE;OPMERKING;MOTIVATIE;TOEGANKELIJKHEID;MEETNET_HISTORIE;MEETNET_ACTUEEL;FEWSFILTER_HISTORIE;FEWSFILTER_ACTUEEL;PROGRAMMA_HISTORIE;PROGRAMMA_ACTUEEL;BODEMSOORT;GAFIDENT;EAGIDENT;OWMIDENT
*;;dummy niet verwijderen;NL11;;;;0;0;;;;coordinaten fictief op midden GAF/EAG gezet;;;;;;;;;;;;
AAA001;;tussen Groot en Klein Ruwiel;NL11;;;;127008;465322;;;lijnvormig; | nog morf check | ;;;FYTPTKRW_MACEVKRW_MACFTKRW_Overig-fychem_ZOOPTGBD;;KRW_Onderzoek;;FYCHEM_HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA002;;boezem Breukelerwaard west_ voor inlaat hfdwatergang;NL11;;;;127210;464949;;;lijnvormig; | nog morf check | ;;;HSV-WGP;;Watergebiedsplannen;;FYCHEM;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA100;;mp macrofauna;NL11;;;;126671;465746;;;lijnvormig; | nog morf check | ;;;MACEVKRW;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA101;;vis;NL11;;;;127066;466376;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Zware klei;46;2000-EAG-7;NL11_1_1
AAA101P;;vis;NL11;;;;127066;466376;;;lijnvormig;;;;;;;;;;Zware klei;46;2000-EAG-7;NL11_1_1
AAA102;;vis;NL11;;;;127066;466375;;;lijnvormig; | nog morf check | ;;;;;;;;;Zware klei;46;2000-EAG-7;NL11_1_1
AAA103;;mp vegetatie;NL11;;;;127320;464743;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;MACFTGBD;;KRW;;HYBI;;Zware zavel;47;2510-EAG-1;NL11_2_11
AAA104;;mp vegetatie;NL11;;;;126653;466290;;;lijnvormig; | nog morf check | ;;;MACFTGBD_MACFTKRW_MACFTKRWOM;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA105;;mp vegetatie;NL11;;;;127110;466928;;;lijnvormig; | nog morf check | ;;;MACFTKRW;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA106;;vis Amstellandboezem 1;NL11;;;;127195;466764;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA107;;vis Amstellandboezem 1;NL11;;;;127216;466695;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA108;;vis Amstellandboezem 1;NL11;;;;126871;466541;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA109;;Amstelboezem-Aa;NL11;;;;128272;468279;;;lijnvormig; | nog morf check | ;;;MACFTKRW;;KRW;;HYBI;;Zware klei;46;2000-EAG-4;NL11_1_1
AAA110;;Amstelboezem-Aa;NL11;;;;127454;470567;;;lijnvormig; | nog morf check | ;;;MACFTKRW;;KRW;;HYBI;;Veen;46;2000-EAG-4;NL11_1_1
ABA001;;Angstel te Braambrugge;NL11;;;;127887;473251;;;lijnvormig; | nog morf check | ;;;DROOG_MACFTKRW_Overig-fychem_ROUTINE;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Zware zavel;46;2000-EAG-4;NL11_1_1
ABC001;;Abcoudermeer zwembad;NL11;;;;126336;476789;;;lijnvormig; | nog morf check | ;;;Overig-fychem_ZWEM;;Onderzoek_Zwemwater;;FYCHEM;;Water;46;2000-EAG-4;NL11_1_1
ABC002;;ten Z.voorm zwembad, einde weg;NL11;ABC002P;;;126358;476723;;;lijnvormig; | nog morf check | ;in 2019 verplaatst naar midden;;ADHOC_BEDWAT_DIEPTE-FYCHEM_EXTZWEM_FYTOPLANKTONABUNDANTIE_FYTPTKRW_KRWOndCHEM_MACFTGBD_MAC;;Evaluatie_KRW_Onderzoek_VMplassen_Zwemwater;;FYCHEM_HYBI;;Veen;46;2000-EAG-4;NL11_1_1
ABC002P;;parent ABC002;NL11;;;;126358;476723;;;;;verbetering monstername naar midden, meer representatief voor brede WG;;;;;;;;Veen;46;2000-EAG-4;NL11_1_1
ABC003;;sloot ten noordwesten van Waterlelie;NL11;;;;126744;476675;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;NAB;;Evaluatie;;FYCHEM;;Lichte klei;46;2230-EAG-2;
ABC004;;sloot naast dr. Sloetlaan bij brug;NL11;;;;126544;475622;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;NAB_ROUTPEBS-WGP;;Evaluatie_Watergebiedsplannen;;FYCHEM;;Bebouwing;46;2410-EAG-2;
ABC005;;Koppeldijk;NL11;;;;126742;475699;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Bebouwing;46;2410-EAG-3;
ABC006;;paadje achter van Voorthuijsenhof;NL11;;;;126234;475832;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;PWH-WGP_ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Zware klei;46;2410-EAG-2;
ABC007;;Janshof 35-74;NL11;;;;126279;476244;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;46;2410-EAG-2;
ABC008;;Torenlaan;NL11;;;;126539;475988;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Bebouwing;46;2410-EAG-2;
ABC009;;Ruwelspad;NL11;;;;126537;476881;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Veen;46;2230-EAG-2;
ABC010;;Zilverschoon;NL11;;;;126752;476610;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;46;2230-EAG-2;
ABC011;;Ereprijs;NL11;;;;126891;476720;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;46;2230-EAG-2;
ABC012;;Middenop Abcoudermeer;NL11;ABC002P;;;126160;476841;;;plas;;verbetering monstername naar midden, meer repr voor brede wg;;DIEPTE-FYCHEM_FYTPTKRWOM_KRWOndCHEM_Plassen-grob-ESF2_VASTPLAS;DIEPTE-FYCHEM_KRWOndCHEM_Plassen-grob-ESF2_VASTPLAS;Evaluatie_KRW_VMplassen;Evaluatie_KRW_VMplassen;FYCHEM_HYBI;FYCHEM;Water;46;2000-EAG-4;NL11_1_1
ABC100;;mp vegetatie;NL11;;;;126242;476539;;;lijnvormig; | nog morf check | ;;;MACFTGBD_MACFTKRW_MACFTKRWOM;;KRW;;HYBI;;Water;46;2000-EAG-4;NL11_1_1
ADM001;;nieuwe vaart;NL11;;;;124549;486698;;;lijnvormig; | nog morf check | ;;;Overig-fychem_ROUTINE_historieMACEV_historieMACFT;;Evaluatie_Onderzoek;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-4;NL11_2_1
ADM002;;j.v.hasseltkanaal;NL11;;;;122045;489850;;;lijnvormig;coordinaten fictief op midden GAF/EAG gezet | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Water;;;
ADM003;;Van Tienhovengr.Plein 40-45;NL11;;;;116514;488004;;;lijnvormig; | nog morf check | ;;;Overig-fychem_ROUTINE;;Evaluatie_Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM004;;Oude Kerksplein;NL11;;;;121710;487444;;;lijnvormig; | nog morf check | ;;;MACFTGBD_MACFTKRW_MACFTKRWOM_Overig-fychem_PEBS_ROUTINE_ROUTPEBS-WGP_historieDIAT_historieFY;;Evaluatie_KRW_Onderzoek_Watergebiedsplannen;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM005;;zijkanaal 1 klaprozenbrug;NL11;;;;121812;490516;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;;;
ADM005P;;zijkanaal 1 klaprozenbrug;NL11;;;;121812;490516;;;lijnvormig;;;;;;;;;;Bebouwing;;;
ADM006;;Onderz stadswater Adam mei/jun 1991;NL11;;;;125296;486682;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-4;NL11_2_1
ADM007;;Onderz stadswater Adam mei/jun 1992;NL11;;;;122652;487935;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Water;;;
ADM008;;Pr. Hendrikkade/Oude Schans;NL11;;;;122338;487301;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-3;NL11_2_1
ADM009;;Onderz stadswater Adam mei/jun 1994;NL11;;;;121886;486381;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM010;;Kruizing Keizersgracht / Molenpad thv peperbus (repr voor stadsboezem);NL11;ADM010P;;;120755;486720;;;lijnvormig; | nog morf check | ;in 2019 verplaatst naar midden;;ADHOC_BEDWAT_DIEPTE-FYCHEM_KRWOndCHEM_Overig-fychem_PESTBOEZ_ROUTINE_ROUTPEBS-WGP_VASTBOEZ,;;Evaluatie_KRW_Onderzoek_VMboezem_Watergebiedsplannen;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM010P;;;NL11;;;;120755;486720;;;lijnvormig;;verbetering monstername naar midden, meer repr voor brede wg;;;;;;;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM011;;brouwersgracht hoek singel;NL11;;;;121386;488011;;;lijnvormig; | nog morf check | ;;;MACFTGBD_MACFTKRWOM_ROUTINE_historieMACEV_historieMACFT;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM012;;schinkel vlietstraat;NL11;;;;118514;484707;;;lijnvormig; | nog morf check | ;;;MACFTGBD_MACFTKRW_MACFTKRWOM_ROUTINE_VASTSTED;;Evaluatie_KRW;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM013;;kostverlorenvaart/slatuinenw;NL11;;;;119358;486920;;;lijnvormig; | nog morf check | ;;;ROUTINE;;Evaluatie;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM014;;Onderz stadswater Adam mei/jun 1991;NL11;;;;121049;487945;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM015;;Onderz stadswater Adam 1992;NL11;;;;120209;486725;;;lijnvormig;coordinaten fictief op midden GAF/EAG gezet | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM016;;Magere Brug over de Amstel (repr voor stadsboezem);NL11;;;;121977;486291;;;lijnvormig; | nog morf check | ;;;ADHOC_BEDWAT_DIEPTE-FYCHEM_KRWOCHEM_KRWOndCHEM_KRWPROB_KRWPROBSC_P-speciaties_ROUTINE_VAST;DIEPTE-FYCHEM_KRWOCHEM_KRWOndCHEM_KRWPROB_VASTBOEZ_ZWEMCitySwim;Evaluatie_KRW_Onderzoek_VMboezem_Zwemwater;KRW_VMboezem_Zwemwater;FYCHEM_HYBI;FYCHEM;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM017;;Onderz stadswater Adam 1992;NL11;;;;120209;486725;;;lijnvormig;coordinaten fictief op midden GAF/EAG gezet | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM018;;Stadiongracht 2013;NL11;;;;118874;484515;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM019;;Nieuwe Achtergracht 100;NL11;;;;122377;486180;;;lijnvormig; | nog morf check | ;;;MACFTGBD_MACFTKRW_MACFTKRWOM_Overig-fychem;;KRW_Onderzoek;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM020;;Onderz stadswater Adam mei/jun 1991;NL11;;;;122551;486240;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM021;;Onderz stadswater Adam mei/jun 1991;NL11;;;;122498;486933;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM022;;Oude Schans bij Oude Waal;NL11;;;;122203;487235;;;lijnvormig; | nog morf check | ;;;FYTOPLANKTONABUNDANTIE_FYTPTKRW_MACEVKRW_MACFTGBD_MACFTKRW_MACFTKRWOM_Overig-fychem_ROUTINE,;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-3;NL11_2_1
ADM023;;Onderz stadswater Adam mei/jun 1991;NL11;;;;121553;486729;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Water;45;1000-EAG-1;NL11_2_1
ADM024;;Onderz stadswater Adam mei/jun 1991;NL11;;;;120341;486598;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM025;;Onderz stadswater Adam mei/jun 1991;NL11;;;;120622;486646;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM026;;Lozingskanaal/Veelaan;NL11;;;;124493;486619;;;lijnvormig; | nog morf check | ;;;FYTOPLANKTONABUNDANTIE_FYTPTKRW_MACFTGBD_MACFTKRW_MACFTKRWOM_Overig-fychem;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-4;NL11_2_1
ADM027;;Onderz stadswater Adam mei/jun 1991;NL11;;;;120915;486877;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM028;;Onderz stadswater Adam mei/jun 1991;NL11;;;;119763;487617;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM029;;Onderz stadswater Adam mei/jun 1991;NL11;;;;120345;487995;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM030;;Onderz stadswater Adam mei/jun 1991;NL11;;;;120698;488852;;;lijnvormig; | nog morf check | ;;;ADHOC_BEDWAT_KRWOCHEM_KRWPROB_Overig-fychem;;Evaluatie_KRW_Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM031;;Erasmusgracht in gracht;NL11;;;;118696;487770;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM032;;Erasmusgracht in ontvangbassin;NL11;;;;118866;487790;;;lijnvormig; | nog morf check | ;;;ERAS_Overig-fychem;;Evaluatie_Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM033;;Erasmusgracht vol. Prop HLFF influent;NL11;;;;119396;487643;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM034;;Erasmusgracht vol. Prop HLFF bezonken influ;NL11;;;;118214;487636;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM035;;Erasmusgracht vol.prop HLFF effluent;NL11;;;;118369;486797;;;lijnvormig;coordinaten fictief op midden GAF/EAG gezet | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM036;;Erasmusgracht aan uitstroomkant helofytenfilter;NL11;;;;118796;487767;;;lijnvormig; | nog morf check | ;;;ERAS;;Evaluatie;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM037;;Onderz stadswater Adam mei/jun 1991;NL11;;;;121843;487637;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM038;;Bloemgracht_westelijk deel;NL11;;;;120400;487508;;;lijnvormig; | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM039;;Buffer Zuid helofytenveld Zeeburg;NL11;;;;125558;486400;;;lijnvormig; | nog morf check | ;;;HFZEEB;;Evaluatie;;FYCHEM;;Water;46;2000-EAG-1;NL11_1_1
ADM040;;Buffer Noord helofytenveld Zeeburg;NL11;;;;125487;486500;;;lijnvormig;Coordinaten of drielettercode kloppen niet | nog morf check | ;;;HFZEEB;;Evaluatie;;FYCHEM;;Bebouwing;2020;2020-EAG-1;
ADM041;;Siervijver t.o. bejaardenhuis;NL11;;;;125057;486400;;;lijnvormig;Coordinaten of drielettercode kloppen niet | nog morf check | ;;;HFZEEB;;Evaluatie;;FYCHEM;;Bebouwing;2020;2020-EAG-1;
ADM042;;Nieuwendammerdijk;NL11;;;;124828;488996;;;lijnvormig; | nog morf check | ;;;ADMNRD-WGP_WAN;;Evaluatie_Watergebiedsplannen;;FYCHEM;;Bebouwing;43;6000-EAG-10;
ADM043;;Kometensingel westzijde;NL11;;;;121448;491798;;;lijnvormig;Coordinaten of drielettercode kloppen niet | nog morf check | ;;;ADHOC_BEDWAT_EMISSIES_MACFTGBD_MIJ_VASTINLA;;Evaluatie_KRW_VMinlaatwater;;FYCHEM_HYBI;;Bebouwing;52;6110-EAG-1;
ADM044;;Niewendammerdijk N-zijde Vliegenbos;NL11;;;;124087;489375;;;lijnvormig; | nog morf check | ;;;EMISSIES_MIJ;;Evaluatie;;FYCHEM;;Bebouwing;43;6000-EAG-10;
ADM054;;Erasmusgracht effluent west;NL11;;;;118369;486797;;;lijnvormig;coordinaten fictief op midden GAF/EAG gezet | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM055;;Erasmusgracht effluent oost;NL11;;;;118369;486797;;;lijnvormig;coordinaten fictief op midden GAF/EAG gezet | nog morf check | ;;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM056;;Bilderdijkkade t.p.v. floatlands;NL11;;;;119772;486787;;;lijnvormig; | nog morf check | ;;;MACFTGBD_MACFTKRWOM_ROUTINE_historieMACFT;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM057;;Cramersluis op hoek vd Pollstraat;NL11;;;;117368;487737;;;lijnvormig; | nog morf check | ;;;ADHOC_ADMWEST-WGP_BEDWAT;;Evaluatie_Watergebiedsplannen;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM058;;de Roos van Dekamaweg t.o. nr. 40;NL11;;;;117750;488534;;;lijnvormig; | nog morf check | ;;;ADHOC_ADMWEST-WGP_BEDWAT;;Evaluatie_Watergebiedsplannen;;FYCHEM;;Bebouwing;8070;8070-EAG-2;
ADM059;;Heemstedesluis eind vd steiger;NL11;;;;117851;485048;;;lijnvormig; | nog morf check | ;;;ADHOC_ADMWEST-WGP_BEDWAT;;Evaluatie_Watergebiedsplannen;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM060;;Valmschermkade, inlaat Riekerhaven in de hoek;NL11;;;;117944;484004;;;lijnvormig; | nog morf check | ;;;ADHOC_ADMWEST-WGP_BEDWAT_DIEPTE-FYCHEM_KRWOndCHEM_VASTINLA;DIEPTE-FYCHEM_KRWOndCHEM_VASTINLA;Evaluatie_KRW_VMinlaatwater_Watergebiedsplannen;KRW_VMinlaatwater;FYCHEM;FYCHEM;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM061;;Nieuwe Vaart vanaf brug achter Artis;NL11;;;;123099;486928;;;lijnvormig; | nog morf check | ;;;ADHOC_BEDWAT_EXTZWEM;;Evaluatie_Zwemwater;;FYCHEM;;Bebouwing;45;1000-EAG-4;NL11_2_1
ADM062;;Amsterdam_De groene zoom_vijver Boeren wetering;NL11;;;;120785;483823;;;lijnvormig; | nog morf check | ;;;BEDWAT_BOERENWET-WGP_DIEPTE-FYCHEM_EXTZWEM;;Evaluatie_Watergebiedsplannen_Zwemwater;;FYCHEM;;Bebouwing;46;2000-EAG-1;NL11_1_1
ADM063;;Keizersgracht 711 brug Utrechtsestraat;NL11;;;;121711;486330;;;lijnvormig; | nog morf check | ;;;DIEPTE-FYCHEM_ZWEMCitySwim;DIEPTE-FYCHEM_ZWEMCitySwim;Zwemwater;Zwemwater;FYCHEM;FYCHEM;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM064;;Nieuwe Herengracht brug Muiderstraat bij Hortus;NL11;;;;122288;486701;;;lijnvormig; | nog morf check | ;;;DIEPTE-FYCHEM_EXTZWEM_ZWEMCitySwim;DIEPTE-FYCHEM_EXTZWEM_ZWEMCitySwim;Zwemwater;Zwemwater;FYCHEM;FYCHEM;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM065;;Wittenburgervaart, VOC-kade, cafe Roest, A'dam;NL11;;;;123633;487292;;;lijnvormig; | nog morf check | ;;;DIEPTE-FYCHEM_EXTZWEM_Overig-fychem_TOX_SIMONI_PS;DIEPTE-FYCHEM_EXTZWEM;Onderzoek_Zwemwater;Zwemwater;FYCHEM_TOX;FYCHEM;Bebouwing;50;6000-EAG-10;
ADM066;;Westerdok, westerdoksdijk, A'dam;NL11;;;;121268;489044;;;lijnvormig; | nog morf check | ;;;EXTZWEM;;Zwemwater;;FYCHEM;;Bebouwing;50;6000-EAG-10;
ADM067;;Westlandgracht to nr 81, A'dam;NL11;;;;118096;485151;;;lijnvormig; | nog morf check | ;;;EXTZWEM_FYTOPLANKTONABUNDANTIE_FYTPTKRW_MACFTGBD_MACFTKRW_MACFTKRWOM;;Evaluatie_KRW_Zwemwater;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM068;;Kloveniersburgwal vanaf Nieuwmarkt;NL11;;;;121800;487240;;;lijnvormig; | nog morf check | ;evt zwemloc voor Sail evenement;;EXTZWEM;;Zwemwater;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM069;;Kloveniersburgwal vanaf Bushuissluis;NL11;;;;121737;487129;;;lijnvormig; | nog morf check | ;evt zwemloc voor Sail evenement;;EXTZWEM;;Zwemwater;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM070;;Kloveniersburgwal vanaf brug Rusland-Raamgracht;NL11;;;;121663;487006;;;lijnvormig; | nog morf check | ;evt zwemloc voor Sail evenement;;MACFTGBD_MACFTKRWOM;;KRW;;HYBI;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM071;;Olympiakanaal_Schinkel_Adam nabij Piet Kranenbergpad vanaf steiger Parkeiland;NL11;;;;118353;484038;;;lijnvormig; | nog morf check | ;in extzwem (bact) wegens zwemactiviteieten;;DIEPTE-FYCHEM_EXTZWEM;DIEPTE-FYCHEM_EXTZWEM;Zwemwater;Zwemwater;FYCHEM;FYCHEM;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM072;;Kostverlorenvaart Amsterdam, nabij overstort en invloed van regenwater wat door verontreinigde grond gaat;NL11;;;;119888;487890;;;lijnvormig; | nog morf check | ;inzicht in toxicologie_ESF8;;Overig-fychem_TOX_SIMONI_PS;;Onderzoek;;FYCHEM_TOX;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM073;;Entrepotdok to 37 vanaf steiger Amsterdam;NL11;;;;122788;486850;;;lijnvormig;;;;DIEPTE-FYCHEM_EXTZWEM_MACFTGBD_MACFTKRWOM;;KRW_Zwemwater;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM074;;Westlandgracht Noordoever to Saskia v Uijlenburgkade 46 Amsterdam;NL11;;;;118031;485436;;;lijnvormig;;;;EXTZWEM;;Zwemwater;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM075;;Amstel thv Amstel 274, naast overstort 'Amstel 276', nabij magere brug;NL11;;;;121949;486245;;;;;;;Overig-fychem_TOX_SIMONI_PS;;Onderzoek;;FYCHEM_TOX;;Water;45;1000-EAG-1;NL11_2_1
ADM076;;brug bij ADM010 over Keizersgracht bij Leidsegracht;NL11;ADM010P;;;120778;486693;;;lijnvormig;;verbetering monstername naar midden, meer repr voor brede wg;;DIEPTE-FYCHEM_EXTZWEM_KRWOndCHEM_VASTBOEZ;DIEPTE-FYCHEM_EXTZWEM_KRWOndCHEM_VASTBOEZ;KRW_VMboezem_Zwemwater;KRW_VMboezem_Zwemwater;FYCHEM;FYCHEM;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM100;;mp macrofauna;NL11;;;;117132;487844;;;lijnvormig; | nog morf check | ;;;KRWPROBSC_MACEVKRW_MACFTGBD_MACFTKRW_MACFTKRWOM;;KRW;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM101;;mp macrofauna;NL11;;;;122762;483600;;;lijnvormig; | nog morf check | ;;;MACEVKRW_MACFTKRW;;KRW;;HYBI;;Bebouwing;46;2000-EAG-2;NL11_1_1
ADM102;;mp macrofauna;NL11;;;;125040;486650;;;lijnvormig; | nog morf check | ;;;MACEVKRW_MACFTGBD_MACFTKRW_MACFTKRWOM;;KRW;;HYBI;;Bebouwing;45;1000-EAG-4;NL11_2_1
ADM103;;vis;NL11;;;;118433;484388;;;lijnvormig; | nog morf check | ;;;MACEVKRW_VISKRW;;KRW;;HYBI;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM104;;vis;NL11;;;;118431;484497;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM105;;vis;NL11;;;;122027;484684;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Bebouwing;46;2000-EAG-1;NL11_1_1
ADM106;;vis;NL11;;;;124082;486604;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Bebouwing;45;1000-EAG-4;NL11_2_1
ADM107;;vis;NL11;;;;123820;486606;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Bebouwing;45;1000-EAG-4;NL11_2_1
ADM108;;vis;NL11;;;;118681;487762;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM109;;vis;NL11;;;;118564;487747;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Bebouwing;45;1000-EAG-2;NL11_2_1
