CODE;BUITENGEBRUIKDATUM;NAAM;NAMESPACE;GERELATEERDMEETOBJECT;GERELATEERDMEETOBJECTROL_ID;WATERTYPE;XCOORD;YCOORD;ZCOORD;REFERENTIEVLAK;MORFOLOGIE;OPMERKING;MOTIVATIE;TOEGANKELIJKHEID;MEETNET_HISTORIE;MEETNET_ACTUEEL;FEWSFILTER_HISTORIE;FEWSFILTER_ACTUEEL;PROGRAMMA_HISTORIE;PROGRAMMA_ACTUEEL;BODEMSOORT;GAFIDENT;EAGIDENT;OWMIDENT
GWV880;;2010_Waterproef-Polder Oukoop-15;NL11;;;;126352;466926;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV881;;2010_Waterproef-Polder Oukoop-16;NL11;;;;126193;467014;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV882;;2010_Waterproef-Polder Oukoop-17;NL11;;;;126383;467446;;;lijnvormig;;;Zagt maar via andere weg (?)Van te voren, een (week en de betreffende dag) contact opnemen met de heer Zagt.  Hij heeft laten weten toegang te willen verlenen. bij problemen contact Arie Bunschoten.;DIEPTE-FYCHEM_FYTOPLANKTONABUNDANTIE_MACFTGBD;;Evaluatie_KRW;;FYCHEM_HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV883;;2010_Waterproef-Polder Oukoop-18;NL11;;;;126177;467396;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV884;;2010_Waterproef-Polder Oukoop-19;NL11;;;;126044;467387;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV885;;2010_Waterproef-Polder Oukoop-20;NL11;;;;125834;467164;;;lijnvormig;;;weigering __ ;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV886;;2010_Waterproef-Polder Oukoop-21;NL11;;;;127038;467374;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Zware klei;47;2501-EAG-1;NL11_2_10
GWV887;;2010_Waterproef-Polder Oukoop-22;NL11;;;;127194;467673;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Zware klei;47;2501-EAG-1;NL11_2_10
GWV888;;2010_Waterproef-Polder Oukoop-23;NL11;;;;127425;467220;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Zware klei;47;2501-EAG-1;NL11_2_10
GWV889;;2010_Waterproef-Polder Oukoop-24;NL11;;;;127443;467448;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Zware klei;47;2501-EAG-1;NL11_2_10
GWV890;;2010_Waterproef-Polder Oukoop-25;NL11;;;;127481;467275;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Zware klei;47;2501-EAG-1;NL11_2_10
GWV891;;2010_Waterproef-Polder Oukoop-26;NL11;;;;126842;467480;;;lijnvormig;;;;DIEPTE-FYCHEM_FYTOPLANKTONABUNDANTIE_MACFTGBD;;Evaluatie_KRW;;FYCHEM_HYBI;;Veen;47;2501-EAG-1;NL11_2_10
GWV892;;2010_Waterproef-Polder Oukoop-27;NL11;;;;126972;467630;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Zware klei;47;2501-EAG-1;NL11_2_10
GWV893;;2010_Waterproef-Polder Oukoop-28;NL11;;;;127441;467778;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Zware klei;47;2501-EAG-1;NL11_2_10
GWV894;;2010_Waterproef-Polder Oukoop-29;NL11;;;;127322;467654;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Zware klei;47;2501-EAG-1;NL11_2_10
GWV895;;2010_Waterproef-Polder Oukoop-30;NL11;;;;127019;467786;;;lijnvormig;;;;FYTOPLANKTONABUNDANTIE_MACFTGBD_historieVIS;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Zware klei;47;2501-EAG-1;NL11_2_10
GWV896;;2010_Waterproef-Polder Oukoop-31;NL11;;;;127185;467845;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Zware klei;47;2501-EAG-1;NL11_2_10
GWV897;;2010_Waterproef-Polder Oukoop-32;NL11;;;;127017;467989;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-1;NL11_2_10
GWV898;;2010_Waterproef-Polder Oukoop-33;NL11;;;;126940;468150;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-1;NL11_2_10
GWV899;;2010_Waterproef-Polder Oukoop-34;NL11;;;;126926;468090;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-1;NL11_2_10
GWV900;;2010_Waterproef-Polder Oukoop-35;NL11;;;;126629;467843;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
