GAFIDENT;GAFNAAM;OPMERKING;Opp EAG (m²);Opp water (m²);Opp land (m²);Omtrek water (m);Opp water 0-1 m diep (m²);Opp water 1-8 m diep (m²);Opp water > 8 m diep (m²);Plas;watertype;type;vijver?;opmerking;Opp verhard;Opp onverhard;Opp water (BGT);verhardfactor;StedelijkLandelijk
6400-EAG-2;Watergraafsmeer, noord;KRW Overig water;1,169,349;148,981;1,020,368;18,756;0;0;0;;M3;canal;;;549196.3125;469930.6875;150250.625;0.469648385;Stedelijk
2010-EAG-2;Diemerpolder, Diemen;KRW Overig water;1,730,320;98,353;1,631,967;29,720;0;0;0;;M8;sloot;;;810906.6875;819968.25;99481.25;0.468635702;Stedelijk
6080-EAG-1;Polder Bernard, Polder Polder Bernard;KRW Overig water;25,527;896;24,630;1,067;0;0;0;;M1a;sloot;;;11931.125;12672.5625;923.5;0.467388936;Stedelijk
6540-EAG-3;Aetsveldse Polder Oost, stedelijk Weesp;KRW Overig water;1,510,073;79,058;1,431,016;30,944;0;0;0;;M1a;sloot;;;702836.25;728258.5625;79007.375;0.465422973;Stedelijk
2540-EAG-4;Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), stedelijk;KRW Overig water;4,097,415;241,807;3,855,608;98,527;0;0;0;;M1a;sloot;;;1899378.625;1948661.688;248565.4375;0.463646917;Stedelijk
2230-EAG-2;Broekzijdse Polder, Abcoude;KRW Overig water;710,948;43,441;667,507;13,928;0;0;0;;M8;sloot;;;324280.25;342173.625;44501.5;0.456118993;Stedelijk
8000-EAG-1;Rijnlands Boezem, boezemland;KRW Overig water;865,606;216,876;648,730;17,878;0;0;0;;NVT;canal;;;392392.9375;254197.875;219020.125;0.453313285;Stedelijk
6000-EAG-2;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, Nuoncentrale;KRW Overig water;169,325;65,284;104,041;2,798;0;0;0;;NVT;canal;;;76647;27164.8125;65516.4375;0.452653352;Stedelijk
2310-EAG-2;Gemeenschapspolder West, Driemond;KRW Overig water;144,155;4,959;139,196;3,429;0;0;0;;M8;sloot;;;64977.3125;74219.1875;4961;0.450738342;Stedelijk
2100-EAG-1;Binnendijkse Buitenvelderse Polder, Binnendijkse Buitenvelderse Polder;KRW Overig water;5,556,130;386,412;5,169,718;51,201;0;0;0;;M10;sloot;;;2502475.125;2662106.125;391651;0.450390663;Stedelijk
2150-EAG-3;Zuider Legmeerpolder, landelijk;KRW Overig water;7,423,665;277,238;7,146,426;118,587;0;0;0;;M1a;sloot;;;3333207.125;3790930.563;299597.625;0.448993261;Stedelijk
2110-EAG-7;Middelpolder onder Amstelveen, zuid;KRW Overig water;347,732;21,635;326,097;6,976;0;0;0;;M10;sloot;;;154771.25;170631.375;22335.8125;0.4450795;Stedelijk
7020-EAG-1;Huizen (oost), Bijvanck en Vierde Kwadrant;KRW Overig water;2,157,198;63,809;2,093,390;15,408;0;0;0;;M3;canal;;;951019.1875;1140818.875;65393.5;0.440851693;Stedelijk
6400-EAG-1;Watergraafsmeer, zuid;KRW Overig water;4,655,976;205,805;4,450,170;52,915;0;0;0;;M3;canal;;;2046929.125;2399537.875;209608.6875;0.439625398;Stedelijk
2120-EAG-3;Bovenkerkerpolder, Amstelveen;KRW Overig water;5,196,670;280,333;4,916,337;61,964;0;0;0;;M1a;sloot;;;2280757.25;2630729.125;285261.6875;0.438881628;Stedelijk
2160-EAG-1;Fred Roeskestraat, Fred Roeskestraat;KRW Overig water;144,418;10,145;134,273;1,955;0;0;0;;NTB;canal;;;63135.8125;70966.8125;10318.5;0.437164663;Stedelijk
2210-EAG-1;Bijlmer, Bijlmer;KRW Overig water;6,192,676;510,024;5,682,652;48,429;0;0;0;;M8;sloot;;;2705601;2976708.063;510480.6875;0.436895343;Stedelijk
3360-EAG-6;Polder Maarsseveen-Westbroek, Kassen;KRW Overig water;327,439;9,658;317,781;5,291;0;0;0;;M8;sloot;;EJ: landelijk;141598.1875;176182.625;9658.5;0.432441011;Landelijk
8070-EAG-2;Sloterbinnen en Middelveldsepolder, Gecombineerde Polders;KRW Overig water;12,604,571;753,245;11,851,326;87,772;0;0;0;;M3;canal;;;5447232.25;6398086.625;759544;0.432153234;Stedelijk
2050-EAG-1;Atekpolder, Atekpolder;KRW Overig water;25,879;805;25,074;614;0;0;0;;M10;sloot;;;11140.8125;13891.4375;847.5;0.430483776;Stedelijk
6110-EAG-1;Noorder IJ Polder, Noorder IJ Polder;KRW Overig water;1,485,000;81,281;1,403,720;13,398;0;0;0;;M3;canal;;;620539.8125;784216.625;80288.875;0.417859177;Stedelijk
2506-EAG-1;Eilinzon, Eilinzon;KRW Overig water;37,271;5,528;31,742;1,879;0;0;0;;NTB;canal;;;15077.8125;16564.1875;5628.9375;0.404546102;Stedelijk
7110-EAG-1;Eiland Zeeburg (zuid), Eiland Zeeburg (zuid);KRW Overig water;72,596;3,931;68,665;1,282;0;0;0;;M3;canal;;;29105.75;39442.9375;4048.4375;0.400921524;Stedelijk
3230-EAG-6;Polder Kortenhoef, Hilversumsch Kanaal;NL11_6_4;3,561,179;473,268;3,087,911;26,901;204,507;268,964;0;Kortenhoefse Plas;M27;plas;;;1392348.563;1694360.25;474484.9375;0.390978043;Landelijk
6050-EAG-1;Krasseurstraat, Krasseurstraat;KRW Overig water;71,426;9,142;62,284;1,564;0;0;0;;NTB;canal;;EJ: stedelijk;27645.875;34638.9375;9141.9375;0.38705212;Stedelijk
3260-EAG-1;Blijkpolder, Blijkpolder;KRW Overig water;448,193;72,177;376,016;7,239;0;0;0;;M8;sloot;;;171865.875;204059.9375;72278.8125;0.383454042;Landelijk
6550-EAG-3;Polder Nijenrode, bebouwing;KRW Overig water;385,678;16,836;368,841;6,901;0;0;0;;M1a;sloot;;EJ: stedelijk;147142.8125;221062.5;17467.25;0.381522636;Stedelijk
2520-EAG-2;Polder de Derde Bedijking, stedelijk;KRW Overig water;1,708,535;103,605;1,604,931;29,528;0;0;0;;M1a;sloot;;EJ: stedelijk;651007.375;953453.9375;104083.9375;0.381030221;Stedelijk
8030-EAG-2;Osdorperbinnenpolder, Geuzenveld;KRW Overig water;295,054;18,670;276,383;4,827;0;0;0;;M10;sloot;;;110121.5625;166036.5;18897.6875;0.373222899;Landelijk
2410-EAG-2;Polder Waardassacker en Holendrecht, stedelijkgebied (noord);KRW Overig water;983,179;70,323;912,856;24,446;0;0;0;;M8;sloot;;EJ: stedelijk;354404.375;556744.9375;72042.4375;0.360463129;Stedelijk
2010-EAG-1;Diemerpolder, Diemen-Noord;KRW Overig water;1,601,071;144,598;1,456,472;43,476;0;0;0;;M8;sloot;;EJ: stedelijk;573019.3125;882552.5;145534.0625;0.357889707;Stedelijk
2110-EAG-2;Middelpolder onder Amstelveen, Amsterdamse Bos;KRW Overig water;731,538;74,640;656,898;14,245;0;0;0;;M10;sloot;;;261212.4375;393965.5625;76368.6875;0.357068718;Landelijk
2520-EAG-4;Polder de Derde Bedijking, kassen;KRW Overig water;448,504;32,109;416,395;19,969;0;0;0;;M1a;sloot;;;156290;260117.25;32099.9375;0.348467102;Landelijk
9902-EAG-1;Geen EAG, lozend op riolering;Geen KRW open water;203,805;0;203,805;16;0;0;0;;NVT;canal;;;70767.5;133038.125;0;0.347230357;Landelijk
4240-EAG-1;Hilversumse Meent, Hilversumse Meent;KRW Overig water;888,804;61,510;827,294;9,175;0;0;0;;M10;sloot;;;306873.125;519790.6875;62152.125;0.345260601;Landelijk
2220-EAG-2;Zuid Bijlmer, Gaasperdam;KRW Overig water;6,099,285;355,772;5,743,513;93,863;0;0;0;;M10;sloot;;;2069743.5;3672527.313;357110.9375;0.339336606;Landelijk
2130-EAG-1;Noorder Legmeerpolder, landelijk;KRW Overig water;8,999,836;280,780;8,719,056;138,632;0;0;0;;M1a;sloot;;;3000596.563;5688073.125;311272.5625;0.333401757;Landelijk
8040-EAG-2;Osdorperbovenpolder, Bovensloot;KRW Overig water;60,328;8,372;51,956;4,969;0;0;0;;M8;sloot;;;19860.5625;31669.9375;8801.25;0.329189233;Landelijk
6460-EAG-1;Breukelen Noord, Breukelen Noord;KRW Overig water;795,904;41,015;754,888;12,332;0;0;0;;M1a;sloot;;;254390.9375;499832;41677.6875;0.319626508;Landelijk
8080-EAG-2;Riekerpolder, polder;KRW Overig water;3,011,395;237,517;2,773,878;71,777;0;0;0;;M10;sloot;;;949367.9375;1819779.813;242309.6875;0.315251986;Landelijk
2140-EAG-6;Uithoornsche Polder, De Kwakel;KRW Overig water;2,013,566;369,846;1,643,720;84,013;0;0;0;;M8;sloot;;;625868;1013094.25;374619.5625;0.310823229;Landelijk
6580-EAG-1;Breukelen boezempeil, Breukelen boezempeil;KRW Overig water;173,963;1,373;172,590;833;0;0;0;;NTB;canal;;;53324.875;119237.3125;1397.75;0.306535377;Landelijk
6500-EAG-1;Over-Diemen, elektriciteitscentrale;KRW Overig water;481,097;26,274;454,823;13,591;0;0;0;;NTB;canal;;;145172.625;309513.4375;26416.125;0.301750083;Landelijk
9802-EAG-1;Buitendijks gebied Muiderberg, Buitendijks gebied Muiderberg;KRW Overig water;461,228;63;461,165;67;0;0;0;;NVT;sloot;;;136973.8125;324263.5625;0;0.296970324;Landelijk
2370-EAG-1;Gemeenschapspolder West (Betlem), Gemeenschapspolder West (Betlem);KRW Overig water;396,159;34,807;361,352;10,743;0;0;0;;M8;sloot;;;116061.5;244479.875;35625.875;0.292960864;Landelijk
8070-EAG-3;Sloterbinnen en Middelveldsepolder, SPP Ookmeer;KRW Overig water;661,487;34,265;627,222;12,107;0;0;0;;M3;canal;;;186055.6875;440389.5625;35058.4375;0.281261754;Stedelijk
4250-EAG-2;'s-Gravelandsche Polder, 's-Gravelandsche Polder - KRW Waterlichaam;NL11_2_2;255,789;100,911;154,879;16,450;0;0;0;;M6a;canal;;;69969.9375;83627.3125;102199.875;0.273536841;Landelijk
2290-EAG-1;Polder De Toekomst, Polder De Toekomst;KRW Overig water;992,750;56,620;936,129;15,672;0;0;0;;M8;sloot;;;265983.6875;662689.25;64095.5625;0.267921159;Landelijk
5000-EAG-2;'t Gooi, 't Gooi - 1;KRW Overig water;19,859,133;87,176;19,771,956;13,652;0;0;0;;NVT;canal;;;5173730.375;14597717;87973.875;0.260517681;Landelijk
8110-EAG-1;Begraafplaats Vredenhof;KRW Overig water;54,182;3,339;50,842;1,654;0;0;0;;M1a;sloot;;;13818.125;36944.75;3418.375;0.255035183;Landelijk
4000-EAG-4;'s-Gravelandsche vaartboezem, Naardertrekvaart;NL11_2_2;1,210,257;309,968;900,289;27,164;0;0;0;;M6a;canal;;;308586.5625;589613.6875;312072.9375;0.254972651;Landelijk
4130-EAG-1;Zuidpolder beoosten Muiden, Zuidpolder beoosten Muiden;KRW Overig water;2,558,684;223,583;2,335,100;86,024;0;0;0;;M8;sloot;;;651540.3125;1677817.625;229373.9375;0.25463407;Landelijk
8000-EAG-2;Geen EAG;Geen KRW open water;0;0;0;0;0;0;0;;NVT;canal;;;2874.6875;8352.625;144.6875;0.252786449;Landelijk
2610-EAG-1;Buitendijkse Oosterpolder, Buitenwesterpolder en Blokland (noord), bemalen gebied;KRW Overig water;2,610,659;307,107;2,303,552;110,924;0;0;0;;M8;sloot;;;652041.875;1645477.5;313155.6875;0.249759874;Landelijk
2300-EAG-1;Overdiemerpolder, Overdiemerpolder;KRW Overig water;987,582;141,097;846,485;32,339;0;0;0;;M8;sloot;;;243107.9375;603327.9375;141169.5;0.246158986;Landelijk
2000-EAG-3;Boezem Amstelland-West, Noord-Oost;NL11_1_1;981,158;535,485;445,674;22,965;0;0;0;;M6b;canal;;;232165.3125;213483;535525.5;0.236619964;Landelijk
4140-EAG-1;Keverdijkse Overscheense Polder,;KRW Overig water;723,259;38,653;684,606;26,727;0;0;0;;M8;sloot;;;170811.375;511610.125;40853;0.236163967;Landelijk
3360-EAG-3;Polder Maarsseveen-Westbroek, Zogwetering;KRW Overig water;2,132,014;99,930;2,032,084;32,897;0;0;0;;M8;sloot;;;496523.0625;1535135.188;100352.3125;0.232889588;Landelijk
3210-EAG-3;Horn- en Kuyerpolder, Stedelijk gebied Nederhorst Den Berg;KRW Overig water;748,146;66,089;682,057;25,661;0;0;0;;M1a;sloot;;EJ: stedelijk;171090.1875;510950.375;66105.25;0.228685618;Stedelijk
2340-EAG-2;Polder Holland en Sticht west, Loendersloot;KRW Overig water;391,584;16,725;374,859;11,699;0;0;0;;M1a;sloot;;;89294.9375;284622.3125;17671.4375;0.228032475;Landelijk
6570-EAG-1;Polder Broeckland, Polder Broeckland;KRW Overig water;364,840;24,367;340,473;7,807;0;0;0;;NTB;sloot;;;81837.9375;257877.6875;25127.0625;0.224310204;Landelijk
2110-EAG-6;Middelpolder onder Amstelveen, landelijk en sportpark;KRW Overig water;1,436,719;147,132;1,289,587;53,142;0;0;0;;M10;sloot;vijver;;321797.8125;962827.9375;152118.6875;0.223977072;Landelijk
4000-EAG-1;'s-Gravelandsche vaartboezem,  's-Gravelandsche Vaart;NL11_2_2;442,650;130,024;312,625;14,413;0;0;0;;M6a;canal;;;98993.25;212870.8125;130780.1875;0.223640655;Landelijk
2140-EAG-4;Uithoornsche Polder, Bebouwing Uithoorn-Zuid;KRW Overig water;2,139,217;377,502;1,761,715;81,248;0;0;0;;M8;sloot;;EJ: stedelijk;466129.75;1294455.625;378652.8125;0.217895208;Stedelijk
8040-EAG-1;Osdorperbovenpolder, Osdorperbovenpolder;KRW Overig water;1,533,604;137,594;1,396,010;64,475;0;0;0;;M8;sloot;;;333431.75;1058794.313;141413.25;0.217412104;Landelijk
2500-EAG-1;Polder Groot Wilnis Vinkeveen, Overig;KRW Overig water;4,472,963;1,213,396;3,259,567;207,518;0;0;0;;M10;sloot;;;966647.9375;2275774.188;1230571.813;0.216107589;Landelijk
1060-EAG-1;Vondelpark, Vondelpark;KRW Overig water;733,376;85,570;647,806;9,537;0;0;0;;M10;sloot;vijver;EJ: stedelijk;157812.4375;489125.4375;86454;0.215181601;Stedelijk
8010-EAG-2;De Lange Bretten, polder;KRW Overig water;1,244,581;131,808;1,112,772;40,442;0;0;0;;M8;sloot;;;263768.75;844874.5;135992.25;0.211924495;Landelijk
2110-EAG-1;Middelpolder onder Amstelveen, bemalen gebied;KRW Overig water;1,127,046;110,781;1,016,265;38,504;0;0;0;;M10;sloot;;;237687.1875;774664.8125;114727.3125;0.210887721;Landelijk
1030-EAG-1;BP Huis Te Vraag, BP Huis Te Vraag;KRW Overig water;41,938;3,709;38,228;1,962;0;0;0;;NTB;canal;;;8811.0625;29300.0625;3808.3125;0.21019038;Landelijk
4000-EAG-6;'s-Gravelandsche vaartboezem, Vesting Naarden;NL11_2_2;1,625,306;405,337;1,219,969;26,829;0;0;0;;M6a;canal;;;340032.3125;877980.1875;407321.125;0.209207702;Landelijk
3010-EAG-1;Noorder- of Rietpolder (zuid), Noorder- of Rietpolder (zuid) (De Krijgsman);KRW Overig water;37,345;2,826;34,519;1,666;0;0;0;;NTB;canal;;;7709.375;26643.0625;2997.4375;0.20640966;Landelijk
6440-EAG-4;Polder Breukelerwaard West,;KRW Overig water;339,804;23,848;315,955;7,597;0;0;0;;M1a;sloot;;;69409.4375;245492.75;24902.875;0.204262517;Landelijk
8020-EAG-1;Overbraker Binnenpolder, volkstuinen;KRW Overig water;819,231;66,144;753,086;28,010;0;0;0;;M8;sloot;;;166711.3125;584072.75;68465.5;0.203492709;Landelijk
3230-EAG-4;Polder Kortenhoef, Kortenhoef;KRW Overig water;2,799,562;232,081;2,567,481;89,464;0;0;0;;M8;sloot;;;543402.6875;2018394.063;237786.8125;0.194101257;Landelijk
2120-EAG-2;Bovenkerkerpolder, Amsteldijk Zuid;KRW Overig water;1,516,075;176,146;1,339,929;61,297;0;0;0;;M1a;sloot;;;292992.6875;1041985.688;181112.875;0.193255312;Landelijk
7030-EAG-1;Buitendijksgebied Naarden en Muiderberg, Buitendijksgebied Naarden en Muiderberg;KRW Overig water;1,688,667;154,618;1,534,049;20,705;0;0;0;;NVT;canal;;;324978.1875;1207668;156045.375;0.19244378;Landelijk
5000-EAG-4;'t Gooi, 't Gooi;KRW Overig water;10,272,165;53,212;10,218,953;13,907;0;0;0;;NVT;canal;;;1960574.5;8256782.875;54927;0.190860614;Landelijk
4000-EAG-7;'s-Gravelandsche vaartboezem, Naarden-Bussum;NL11_2_2;720,164;129,633;590,531;25,171;0;0;0;;M6a;canal;;;136617.4375;451944.625;131609.375;0.189701272;Landelijk
9020-EAG-1;Florapark (noord), Florapark (noord);KRW Overig water;136,993;8,980;128,013;1,065;0;0;0;;M11;kleine plas;vijver;EJ: stedelijk;25915.875;102102.3125;8980.3125;0.189169042;Stedelijk
3250-EAG-1;Vreeland (oost), Vreeland (oost);KRW Overig water;109,229;13,339;95,890;3,908;0;0;0;;M1a;sloot;;;20495.9375;75389.5625;13338.5625;0.187650386;Landelijk
2600-EAG-2;Polder Zevenhoven, Oude Nieuwveenseweg;KRW Overig water;677,642;34,173;643,469;18,739;0;0;0;;M1a;sloot;;;125739.875;515500.3125;36411;0.185552504;Landelijk
2410-EAG-3;Polder Waardassacker en Holendrecht, stedelijkgebied (zuid);KRW Overig water;1,668,234;129,079;1,539,155;50,072;0;0;0;;M8;sloot;;EJ: stedelijk;308613.625;1228609.688;131035.5;0.184991455;Stedelijk
4250-EAG-1;'s-Gravelandsche Polder, 's-Gravelandsche Polder;KRW Overig water;8,224,005;372,163;7,851,841;93,249;0;0;0;;M3;canal;;;1498230.438;6344222.25;381658.375;0.182175365;Landelijk
6510-EAG-1;Over-Diemen (Zeehoeve), Zeehoeve;NVT;199,831;20,965;178,866;6,588;0;0;0;;NTB;canal;;;36115.9375;142211.5625;21509.5625;0.180726923;Landelijk
2520-EAG-3;Polder de Derde Bedijking, natuur;KRW Overig water;188,227;25,479;162,748;8,471;0;0;0;;M1a;sloot;;;33709;129045.9375;25472.75;0.179086299;Landelijk
2140-EAG-3;Uithoornsche Polder, Zijdelmeer;KRW Overig water;313,020;141,687;171,333;8,233;0;0;0;;M25;kleine plas;vijver;EJ: stedelijk;55432.5625;115257.9375;142334.75;0.177086553;Stedelijk
6040-EAG-1;Sportpark Tuindorp Oostzaan, Sportpark Tuindorp Oostzaan;KRW Overig water;84,488;4,989;79,499;2,076;0;0;0;;NTB;canal;vijver;EJ: stedelijk;14937.625;64565.8125;4986.6875;0.176797288;Stedelijk
8080-EAG-1;Riekerpolder, Wielerbaan;KRW Overig water;376,551;21,427;355,124;7,943;0;0;0;;M10;sloot;;;66022.3125;288446.375;22089.5625;0.175330941;Landelijk
6440-EAG-1;Polder Breukelerwaard West, bemalen gebied;KRW Overig water;1,230,827;50,344;1,180,483;29,922;0;0;0;;M1a;sloot;;;215321.5;962959.1875;52546.5;0.174940481;Landelijk
8020-EAG-2;Overbraker Binnenpolder, noord-oost;KRW Overig water;117,903;16,676;101,227;5,248;0;0;0;;M8;sloot;;;20334.9375;80500.75;17073.75;0.17246234;Landelijk
3360-EAG-5;Polder Maarsseveen-Westbroek, rond Kleine Maarsseveensche Plas;KRW Overig water;710,828;74,400;636,428;24,276;0;0;0;;M8;sloot;;;122083.8125;514219.75;74523.625;0.171748935;Landelijk
2200-EAG-1;Venserpolder (volkstuinparken), Nieuw Vredelust, Ons Lustoord en Dijkzicht;KRW Overig water;505,399;59,949;445,449;27,344;0;0;0;;M1a;sloot;vijver;EJ: stedelijk;86751.625;356553;62104;0.171646507;Stedelijk
4110-EAG-1;B.O.B.M.-polder en Buitendijken tussen Muiderberg en Naarden, B.O. bemalen;KRW Overig water;2,369,258;120,296;2,248,961;51,949;0;0;0;;M1a;sloot;;;403673;1822394.938;143232.375;0.17037646;Landelijk
7000-EAG-4;IJmeer, Markermeer, Gooimeer en Eemmeer, Diemerzeedijk noord;KRW Overig water;606,736;52,107;554,629;9,344;0;0;0;;NVT;canal;;;99521.6875;455092.0625;52135.1875;0.164024494;Landelijk
5000-EAG-5;'t Gooi, 't Gooi;KRW Overig water;5,700,403;120,201;5,580,202;7,098;0;0;0;;NVT;canal;;;912736.1875;4666880.875;120830.8125;0.160116575;Landelijk
2110-EAG-3;Middelpolder onder Amstelveen, Bovenland;KRW Overig water;1,943,817;230,818;1,712,999;79,585;0;0;0;;M10;sloot;;;311229.375;1395104.438;237515.6875;0.16010981;Landelijk
8030-EAG-1;Osdorperbinnenpolder, veenweide;KRW Overig water;1,195,877;183,560;1,012,317;51,785;0;0;0;;M10;sloot;;;191027.25;817127.375;187748.6875;0.159734694;Landelijk
8090-EAG-2;Nieuw-Sloten, Plesmanstrook;KRW Overig water;318,450;61,819;256,631;16,630;0;0;0;;M10;sloot;;;50765.5;204681.1875;63017.625;0.159407186;Landelijk
5000-EAG-8;'t Gooi, 't Gooi;KRW Overig water;10,183,597;90,812;10,092,785;16,389;0;0;0;;NVT;canal;;;1606701.125;8484211.75;92779.875;0.157771956;Landelijk
6000-EAG-3;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, Diemerzeedijk noord;KRW Overig water;464,059;48,720;415,339;14,346;0;0;0;;NVT;canal;;;69977.0625;344880.3125;49217.125;0.150788424;Landelijk
