GAFIDENT;GAFNAAM;OPMERKING;Opp EAG (m²);Opp water (m²);Opp land (m²);Omtrek water (m);Opp water 0-1 m diep (m²);Opp water 1-8 m diep (m²);Opp water > 8 m diep (m²);Plas;watertype;type;vijver?;opmerking;Opp verhard;Opp onverhard;Opp water (BGT);verhardfactor;StedelijkLandelijk
2220-EAG-1;Zuid Bijlmer, Gaasperplas;NL11_3_2;2,022,350;705,537;1,316,812;28,810;58,429;156,712;399,520;Gaasperplas;M20;plas;;;304035.625;1012812.688;705540.1875;0.150334926;Landelijk
2500-EAG-6;Polder Groot Wilnis Vinkeveen, Mijdrechtse  Bovenlanden;NL11_8_2;2,924,372;527,819;2,396,553;123,051;0;0;0;;M10;sloot;;;437063;1958292.125;529039.25;0.149454193;Landelijk
2600-EAG-3;Polder Zevenhoven, Nieuw Amstel;KRW Overig water;2,319,328;160,254;2,159,073;52,298;0;0;0;;M1a;sloot;;;345752.1875;1811434.188;162153;0.149073564;Landelijk
6530-EAG-1;Bloemendalerpolder en Gemeenschapspolder Oost, bemalen;KRW Overig water;4,048,346;256,289;3,792,057;143,577;0;0;0;;M8;sloot;;;592060.5;3193917.938;262447.875;0.146244603;Landelijk
2250-EAG-7;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Bullewijker Polder noord;KRW Overig water;1,101,914;99,149;1,002,765;40,979;0;0;0;;M8;sloot;;;158499.6875;839976.75;103454.75;0.143838099;Landelijk
2040-EAG-1;Oosterpark, Oosterpark;KRW Overig water;109,532;14,753;94,780;1,289;0;0;0;;M1a;sloot;vijver;EJ: stedelijk;15578.25;79205.4375;14751.875;0.142220934;Stedelijk
2540-EAG-6;Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), landelijk - KRW Waterlichaam;NL11_2_7;261,456;86,276;175,179;11,646;0;0;0;;M10;sloot;;;37082.9375;137922.75;86448.5;0.141833404;Landelijk
6000-EAG-5;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, hoogspanningstrac?®;KRW Overig water;360,602;7,984;352,618;2,805;0;0;0;;NVT;canal;;;49532.75;303094.75;7986;0.137356893;Landelijk
2310-EAG-1;Gemeenschapspolder West, landelijk;KRW Overig water;4,003,651;329,602;3,674,049;140,171;0;0;0;;M8;sloot;;;548444.1875;3114956;340326.3125;0.13698343;Landelijk
3300-EAG-12;Muyeveld, De Ster;KRW Overig water;6,536,672;282,606;6,254,066;126,253;0;0;0;;M8;sloot;;;880051.625;5366658.75;289989.0625;0.134632414;Landelijk
4000-EAG-3;'s-Gravelandsche vaartboezem, Karnemelksloot;NL11_2_2;347,097;78,555;268,542;15,029;0;0;0;;M6a;canal;;;46355.75;220559.125;80186.75;0.133550945;Landelijk
2020-EAG-1;Flevopark, Flevopark;KRW Overig water;442,817;39,590;403,228;8,298;0;0;0;;M1a;sloot;vijver;EJ: stedelijk;58978.125;344260.3125;39588.25;0.13318557;Stedelijk
2110-EAG-8;Middelpolder onder Amstelveen, bemalen gebied - KRW Waterlichaam;NL11_2_6;63,365;15,335;48,030;3,281;0;0;0;;M10;sloot;;;8384.625;39280.625;15700.625;0.132320827;Landelijk
3000-EAG-1;Vechtboezem, Vecht;NL11_1_2;6,636,325;3,302,353;3,333,972;180,498;0;0;0;;M7b;canal;;;877210.875;2447141.188;3311994.75;0.132182796;Landelijk
4210-EAG-1;Hollands Ankeveensche Polder, Hollandsch Ankeveensche Polder bemalen;NL11_6_2;100,167;26,696;73,471;3,543;12,688;14,020;0;Hollandsch Ankeveensche Plas;M27;plas;;;13227.875;59911.0625;27025.625;0.132061426;Landelijk
4210-EAG-4;Hollands Ankeveensche Polder, Hollandsch Ankeveensche Polder oost;KRW Overig water;1,667,060;256,377;1,410,683;64,807;0;0;0;;M10;sloot;;;217272.25;1187564.938;262243.875;0.130330945;Landelijk
3360-EAG-8;Polder Maarsseveen-Westbroek, Oud tuinbouwgebied;KRW Overig water;167,039;7,033;160,007;6,454;0;0;0;;M8;sloot;;;21677.4375;137817.3125;7545.625;0.12977364;Landelijk
8030-EAG-5;Osdorperbinnenpolder, polder;KRW Overig water;1,344,448;136,468;1,207,980;40,993;0;0;0;;M10;sloot;;;174096;1031118.188;139262.625;0.129489775;Landelijk
2511-EAG-1;Hoogwaterzone Amstelkade P1, Hoogwaterzone Amstelkade P1;KRW Overig water;300,945;49,306;251,640;14,126;0;0;0;;M8;sloot;;;38613.4375;212450.9375;49880.75;0.128307237;Landelijk
5000-EAG-3;'t Gooi, 't Gooi;KRW Overig water;10,258,828;63,642;10,195,186;20,118;0;0;0;;NVT;canal;;;1313021.313;8880046.375;65895.5625;0.12798772;Landelijk
2130-EAG-5;Noorder Legmeerpolder, landelijk - KRW Waterlichaam;NL11_2_6;111,848;40,946;70,903;6,709;0;0;0;;M10;sloot;;;14194;56709;40948.3125;0.126900612;Landelijk
2250-EAG-2;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Korte Dwarsweg;KRW Overig water;518,799;29,237;489,562;16,591;0;0;0;;M8;sloot;;;65720;418031;35055.75;0.126675299;Landelijk
8050-EAG-2;Lutkemeerpolder, polder;KRW Overig water;1,734,920;118,095;1,616,824;43,253;0;0;0;;M1a;sloot;;;218948.8125;1397127.188;118884.6875;0.12619814;Landelijk
2250-EAG-5;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, golfterrein;KRW Overig water;728,304;111,491;616,812;23,931;0;0;0;;M8;sloot;;;89371.4375;525785.625;113166.3125;0.122708457;Landelijk
8030-EAG-4;Osdorperbinnenpolder, VTP Tigeno en Eendracht;KRW Overig water;260,772;40,446;220,327;13,590;0;0;0;;M10;sloot;;;31681.9375;187634.1875;41460.875;0.121490536;Landelijk
3360-EAG-7;Polder Maarsseveen-Westbroek, Volkstuinen;KRW Overig water;283,165;13,072;270,093;5,633;0;0;0;;M8;sloot;;;34215.125;235878.375;13070.875;0.120831319;Landelijk
3220-EAG-6;Horstermeerpolder en Meeruiterdijksche Polder, Spiegelpolder zuid;KRW Overig water;223,244;13,846;209,399;7,658;0;0;0;;M1a;sloot;;;26702.5;182408.625;14139;0.119607996;Landelijk
7100-EAG-1;Huizen (west), Kwelvijvers;KRW Overig water;322,141;30,687;291,454;3,944;0;0;0;;M3;canal;;;37997.25;253010.1875;31137.625;0.117950745;Landelijk
6420-EAG-1;Gemeenschapspolder West (Tuincomplex Linnaeus), Gemeenschapspolder West (Tuincomplex Linnaeus);KRW Overig water;247,645;39,450;208,195;11,786;0;0;0;;M10;sloot;;;28910.4375;179288.75;39449.75;0.116739598;Landelijk
2530-EAG-2;Polder de Eerste Bedijking (west), oost;KRW Overig water;3,327,028;229,677;3,097,351;130,208;0;0;0;;M1a;sloot;;;385726.5625;2706249.813;235079.375;0.115936309;Landelijk
2240-EAG-1;Holendrechter- en Bullewijker Polder (zuid en west), zuid en west;KRW Overig water;1,718,619;221,657;1,496,962;73,051;0;0;0;;M8;sloot;;;196521.5;1295988.25;226132.125;0.114346975;Landelijk
3201-EAG-3;Stichtsch Ankeveensche Polder, Stichtsch Ankeveensche Polder oost;KRW Overig water;2,371,152;195,234;2,175,918;88,848;0;0;0;;M8;sloot;;;268936.5625;1903970.375;198273.625;0.113418846;Landelijk
7090-EAG-1;Uitstroom gemaal Zeeburg, Uitstroom gemaal Zeeburg;NVT;27,177;11,508;15,670;684;0;0;0;;M1a;sloot;;;2918;12749.8125;11509.9375;0.10736724;Landelijk
1020-EAG-1;Westerpark, Westerpark;KRW Overig water;63,252;3,233;60,019;401;0;0;0;;M8;sloot;vijver;EJ: stedelijk;6579;53442.8125;3233.625;0.104006869;Stedelijk
3070-EAG-2;Holland, Sticht, Voorburg en Polder het Honderd oost, Nog opknippen in  EAG's;KRW Overig water;5,422,598;341,420;5,081,178;183,008;0;0;0;;M1a;sloot;;;555529.9375;4511856.813;355245.8125;0.102446539;Landelijk
2540-EAG-5;Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), Veldweg;KRW Overig water;587,958;63,563;524,395;25,626;0;0;0;;M1a;sloot;;;59784.0625;462885.8125;65305.125;0.101677899;Landelijk
3220-EAG-2;Horstermeerpolder en Meeruiterdijksche Polder, polder;KRW Overig water;4,557,583;358,554;4,199,029;297,120;0;0;0;;M1a;sloot;;;462638.5;3725008.75;369992.0625;0.101508362;Landelijk
3080-EAG-1;Sportcombinatie Muiden, Sportcombinatie Muiden;KRW Overig water;23,847;1,017;22,830;607;0;0;0;;NTB;canal;;;2420.75;20381.5625;1046.25;0.10150507;Landelijk
2501-EAG-1;Polder Oukoop en Polder Groot Wilnis-Vinkeveen (oost), Oukoop;KRW Overig water;3,710,678;382,601;3,328,076;136,043;0;0;0;;M8;sloot;;;376597.75;2941635.688;392464.5625;0.101489733;Landelijk
3070-EAG-1;Holland, Sticht, Voorburg en Polder het Honderd oost, Voorburg;KRW Overig water;1,187,937;54,117;1,133,820;40,268;0;0;0;;M1a;sloot;;;120462.9375;1012247.063;55226.5625;0.101405194;Landelijk
2350-EAG-1;Venserpolder (volkstuinpark Amstelglorie), Venserpolder (volkstuinpark Amstelglorie);KRW Overig water;287,613;28,532;259,080;12,286;0;0;0;;M1a;sloot;vijver;EJ: stedelijk;29050.75;228746.6875;29821.875;0.10100417;Stedelijk
6100-EAG-1;Noorder IJ Polder, Noorder IJplas;NL11_7_2;692,761;512,713;180,047;7,926;11,996;331,486;168,843;Noorder IJ-plas;M20;plas;;;67663;112346.0625;512712.75;0.097677017;Landelijk
2330-EAG-1;Baambrugge Oostzijds (west);KRW Overig water;1,393,604;103,082;1,290,523;50,504;0;0;0;;M8;sloot;;;135836.75;1150915.688;106869.125;0.097470327;Landelijk
2220-EAG-3;Zuid Bijlmer, Recreatiegebied De Hoge Dijk;KRW Overig water;249,335;73,964;175,372;9,018;0;0;0;;M10;sloot;;;24255.0625;150399.6875;74683.0625;0.097277915;Landelijk
2570-EAG-1;Baambrugge Westzijds, polder;KRW Overig water;5,386,153;340,570;5,045,583;182,474;0;0;0;;M8;sloot;;;520995.375;4504681.125;360526.75;0.09672776;Landelijk
2512-EAG-1;Hoogwaterzone Amstelkade P2, Hoogwaterzone Amstelkade P2;KRW Overig water;167,973;27,744;140,229;7,280;0;0;0;;NTB;canal;;;15759.1875;124475.125;27741.9375;0.09381795;Landelijk
3240-EAG-1;Polder Dorssewaard, Polder Dorssewaard;KRW Overig water;1,293,695;75,015;1,218,680;38,939;0;0;0;;M1a;sloot;;;119483.6875;1098828.313;75396.875;0.092357477;Landelijk
8050-EAG-3;Lutkemeerpolder, natuurgebied;KRW Overig water;535,922;84,296;451,626;13,439;0;0;0;;M1a;sloot;;;49374.625;402265.6875;84296.125;0.092127763;Landelijk
2340-EAG-1;Polder Holland en Sticht west, bemalen;KRW Overig water;1,857,364;86,867;1,770,497;59,526;0;0;0;;M1a;sloot;;;166569.25;1581081.25;109726.1875;0.089679843;Landelijk
6440-EAG-2;Polder Breukelerwaard West,;KRW Overig water;285,972;26,843;259,128;10,638;0;0;0;;M1a;sloot;;;25243.8125;233210;27522.125;0.088272505;Landelijk
4200-EAG-1;Heintjesrak- en Broekerpolder, nabij Faunapassage;KRW Overig water;199,196;8,239;190,957;6,901;0;0;0;;M8;sloot;;;17316.6875;173185.6875;8695.75;0.08693198;Landelijk
4000-EAG-8;'s-Gravelandsche vaartboezem, Zanderijvaarten;NL11_2_2;2,591,428;183,703;2,407,726;43,406;0;0;0;;M6a;canal;;;223705.5625;2180668.438;187088.5625;0.086324057;Landelijk
6530-EAG-2;Bloemendalerpolder en Gemeenschapspolder Oost, langs de Vecht;KRW Overig water;228,521;11,819;216,702;8,710;0;0;0;;M8;sloot;;;19556.625;196492.125;12476.875;0.085577383;Landelijk
2630-EAG-1;Noordse Buurt en Westveense Polder, Noordse buurt;KRW Overig water;2,068,007;138,443;1,929,564;65,659;0;0;0;;M8;sloot;;;176809.8125;1743948.813;145856.9375;0.085555251;Landelijk
2000-EAG-2;Boezem Amstelland-West, Noord-West;NL11_1_1;1,101,803;825,101;276,701;27,289;0;0;0;;M6b;canal;;;92432.875;182528.3125;826861.5625;0.083890875;Landelijk
4120-EAG-2;Buitendijken ten Noorden van Naarden, Haverland;KRW Overig water;481,729;15,026;466,703;9,556;0;0;0;;M1a;sloot;;;39380.5;426574.6875;15779.9375;0.081747205;Landelijk
3300-EAG-8;Muyeveld, Vuntus;NL11_5_1;1,445,318;958,934;486,384;28,116;285,259;673,783;0;Vuntus;M27;plas;;;117734.3125;366199.0625;961394.5;0.08145855;Landelijk
8010-EAG-1;De Lange Bretten, natuurgebied;KRW Overig water;1,097,489;107,000;990,488;28,106;0;0;0;;M8;sloot;;;89241.5;898601.125;109682.25;0.081311597;Landelijk
2120-EAG-4;Bovenkerkerpolder, landelijk- KRW Waterlichaam;NL11_2_6;121,173;48,490;72,683;10,887;0;0;0;;M10;sloot;;;9522.375;62791.5;48862.3125;0.07858289;Landelijk
2600-EAG-1;Polder Zevenhoven, bemalen gebied;KRW Overig water;3,609,640;302,169;3,307,470;131,186;0;0;0;;M1a;sloot;;;282653.4375;3017038.438;309968.125;0.078304726;Landelijk
6560-EAG-1;Over-Diemen (noord), Over-Diemen (noord);KRW Overig water;33,326;831;32,495;622;0;0;0;;NTB;canal;;;2589;29850.5625;886.5625;0.0776868;Landelijk
6450-EAG-3;Aetsveldse Polder west, zuid;KRW Overig water;258,882;8,487;250,395;7,600;0;0;0;;M1a;sloot;;;19726.9375;230671.3125;8488.125;0.076199211;Landelijk
2520-EAG-1;Polder de Derde Bedijking, landelijk;KRW Overig water;5,305,378;381,561;4,923,817;207,890;0;0;0;;M8;sloot;;;404121.125;4512978.313;388298.5;0.07617169;Landelijk
3320-EAG-3;Loenderveen, Terra Nova landelijk zuid;KRW Overig water;983,394;142,239;841,155;39,763;0;0;0;;M3;canal;;;74226.25;763396.625;145778;0.075479138;Landelijk
3360-EAG-2;Polder Maarsseveen-Westbroek, Polder Buitenweg;KRW Overig water;1,265,173;132,317;1,132,856;58,905;0;0;0;;M8;sloot;;;95363.5625;1037663.563;132138.75;0.075376332;Landelijk
3200-EAG-2;Spiegelpolder, Spiegelweg;KRW Overig water;586,541;32,748;553,793;21,420;0;0;0;;M1a;sloot;;;44082.875;509717.4375;32751.6875;0.075155954;Landelijk
3220-EAG-1;Horstermeerpolder en Meeruiterdijksche Polder, Korremof;KRW Overig water;841,013;60,547;780,466;26,111;0;0;0;;M1a;sloot;;;62627.0625;716972.625;61419.875;0.074465643;Landelijk
3310-EAG-1;Loenderveen (GWA), Waterleidingkanaal;KRW Overig water;241,341;132,267;109,074;20,650;0;0;0;;M10;sloot;;;17704.75;90288.625;133345.75;0.073360463;Landelijk
2600-EAG-10;Polder Zevenhoven, bemalen gebied - KRW Waterlichaam;NL11_2_4;201,582;67,745;133,836;14,886;0;0;0;;M10;sloot;;;14314.8125;118930.25;68336.5625;0.071012487;Landelijk
2270-EAG-1;Duivendrechtsepolder noord en midden;KRW Overig water;2,973,850;196,668;2,777,182;99,549;0;0;0;;M8;sloot;;;205969.3125;2554272.438;213663.375;0.069258871;Landelijk
3300-EAG-3;Muyeveld, Kievitsbuurt noord;NL11_5_1;1,664,886;1,251,910;412,976;91,391;698,597;558,192;0;Kievitsbuurt;M27;plas;;;114094.6875;289240.5625;1261552.75;0.068529948;Landelijk
2140-EAG-2;Uithoornsche Polder, Uithoornse Polder zuid;KRW Overig water;492,717;78,241;414,477;26,935;0;0;0;;M8;sloot;;;32901.3125;379985.5;79832;0.066775028;Landelijk
2000-EAG-4;Boezem Amstelland-West, Oost;NL11_1_1;934,171;665,076;269,095;52,465;0;0;0;;M6b;canal;;;62214.625;203829.4375;668140.375;0.066597796;Landelijk
3300-EAG-11;Muyeveld, Oostenlijke Drecht;NL11_6_1;4,516,606;596,646;3,919,960;170,106;0;0;0;;M10;sloot;;;300101.3125;3618151.313;598381.0625;0.06644358;Landelijk
3360-EAG-4;Polder Maarsseveen-Westbroek, Wilgenplas;KRW Overig water;1,323,591;362,166;961,425;55,288;197,775;164,723;0;Wilgenplas;M25;kleine plas;vijver;;85360.5625;875070.875;363156.9375;0.064491774;Landelijk
6550-EAG-2;Polder Nijenrode, Kasteel Neijenrode en sportvelden;KRW Overig water;634,849;69,035;565,813;18,979;0;0;0;;M1a;sloot;;;40831.625;523502.875;70514.3125;0.064317085;Landelijk
2250-EAG-6;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, nabij recreatiegebied;KRW Overig water;217,768;21,399;196,369;14,722;0;0;0;;M8;sloot;;;13780.8125;181310.25;22683.25;0.063280248;Landelijk
8030-EAG-6;Osdorperbinnenpolder, Tom Schreurweg;KRW Overig water;37,829;7,571;30,258;3,178;0;0;0;;M10;sloot;;;2373.625;27626;7840.8125;0.062727208;Landelijk
3100-EAG-9;Naardermeer, Kwelgebied noord;NL11_4_1;123,812;17,310;106,501;5,472;0;0;0;;M14;plas;;;7723.1875;97927.5625;18163;0.062377462;Landelijk
2500-EAG-5;Polder Groot Wilnis Vinkeveen, Noordplas;NL11_3_4;8,586,666;6,285,025;2,301,642;225,830;339,228;3,719,273;1,671,903;Vinkeveense Plas (EAG 5 - Noordplas);M20;plas;;;511032.375;1772419.438;6303300.438;0.059514047;Landelijk
2400-EAG-3;Polder de Rondehoep, noord-west;KRW Overig water;1,824,656;117,496;1,707,160;69,014;0;0;0;;M8;sloot;;;108496.5;1595788.5;120399.3125;0.059460422;Landelijk
3110-EAG-5;Nieuwe Keverdijksche Polder en Hilversumse Bovenmeent, Nog opknippen in  EAG's;KRW Overig water;6,328,839;334,818;5,994,021;246,873;0;0;0;;M8;sloot;;;375383.5;5603014.125;350557.5;0.059312081;Landelijk
2500-EAG-3;Polder Groot Wilnis Vinkeveen, Kleine plas;NL11_3_4;841,875;614,342;227,533;21,621;62,931;514,915;38,823;Vinkeveense Plas;M20;plas;;;49692.5;175559.875;616629.125;0.059025528;Landelijk
2540-EAG-3;Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), Botshol West;KRW Overig water;106,124;7,494;98,630;4,376;0;0;0;;M1a;sloot;;;6257.8125;92043.5625;7826.625;0.058964764;Landelijk
6480-EAG-2;Hoeker- en Garstenpolder, noord;KRW Overig water;846,152;31,665;814,488;24,659;0;0;0;;M1a;sloot;;;47486.6875;767012;31664;0.056120044;Landelijk
9030-EAG-1;Florapark (zuid), Florapark (zuid);KRW Overig water;32,620;3,799;28,821;538;0;0;0;;M11;kleine plas;vijver;EJ: stedelijk;1813.6875;27008.375;3798.4375;0.055599623;Stedelijk
6430-EAG-1;Baambrugge Oostzijds;KRW Overig water;7,252,899;429,060;6,823,839;278,194;0;0;0;;M8;sloot;;;400810.6875;6412846.063;439325.25;0.055261503;Landelijk
3020-EAG-1;Noorder- of Rietpolder (De Krijgsman), landelijk;KRW Overig water;502,293;81,831;420,462;21,154;0;0;0;;M1a;sloot;;;27572.625;391007.9375;83718.625;0.054892832;Landelijk
2380-EAG-1;Honderdsche polder west, Honderdsche polder west;KRW Overig water;1,018,056;49,095;968,962;34,457;0;0;0;;M1a;sloot;;;55684;911394.9375;50979.875;0.054696251;Landelijk
6000-EAG-4;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, Hoeker- en Garstenpolder noord-puntje;KRW Overig water;15,234;6,063;9,170;798;0;0;0;;NVT;canal;;;805.3125;8365.25;6061.625;0.05286913;Landelijk
6540-EAG-1;Aetsveldse Polder Oost, bemalen;KRW Overig water;6,446,511;349,427;6,097,083;236,032;0;0;0;;M1a;sloot;;;338932.875;5756972.375;350699.0625;0.052575412;Landelijk
3360-EAG-11;Polder Maarsseveen-Westbroek, Grote Maarsseveensche Plas;NL11_3_8;856,916;608,266;248,649;5,317;40,161;165,271;405,977;Grote Maarsseveense Plas;M20;plas;;;44957.625;203689;608267.5625;0.052464559;Landelijk
3220-EAG-3;Horstermeerpolder en Meeruiterdijksche Polder, Anko zuid;KRW Overig water;1,564,490;88,306;1,476,184;77,916;0;0;0;;M1a;sloot;;;81262.1875;1392516.375;90725.125;0.051941193;Landelijk
3360-EAG-1;Polder Maarsseveen-Westbroek, Agrarisch Molenpolder;KRW Overig water;3,409,739;276,937;3,132,802;153,201;0;0;0;;M8;sloot;;;177016.4375;2955718.438;276999.5;0.051915023;Landelijk
2030-EAG-1;Sarphatipark, Sarphatipark;KRW Overig water;42,114;5,367;36,747;741;0;0;0;;M1a;sloot;vijver;EJ: stedelijk;2185.4375;34497.3125;5431.875;0.051892603;Stedelijk
4140-EAG-2;Keverdijkse Overscheense Polder,;NVT;586,330;23,437;562,894;23,565;0;0;0;;M8;sloot;;;30288.0625;530868.5625;25185.5625;0.05165595;Landelijk
3230-EAG-1;Polder Kortenhoef, Het Hol/Suikerpot;NL11_6_4;2,636,997;452,466;2,184,530;100,750;319,051;133,534;0;Kortenhoefse Plas;M27;plas;;;135848.75;2042004.25;459167.5;0.051516001;Landelijk
4210-EAG-5;Hollands Ankeveensche Polder, Ankeveense Plassen HAP oost;NL11_6_2;242,786;98,225;144,561;10,071;30,530;67,806;0;Hollandsch Ankeveensche Plas;M27;plas;;;12231.8125;131341.25;99216.125;0.050380384;Landelijk
5000-EAG-6;'t Gooi, 't Gooi;KRW Overig water;12,241,307;34,772;12,206,536;4,260;0;0;0;;NVT;canal;;;609553.375;11596736.75;35078.0625;0.049794546;Landelijk
6450-EAG-2;Aetsveldse Polder west, fort;KRW Overig water;48,506;29,081;19,424;1,408;0;0;0;;M1a;sloot;;;2407.9375;17014.0625;29081.5625;0.049644549;Landelijk
9801-EAG-1;Wiel Onderwal, Wiel Onderwal;KRW Overig water;35,885;7,765;28,120;1,188;0;0;0;;NVT;sloot;;;1757.75;26276.75;7851.5;0.048981497;Landelijk
2550-EAG-5;Noorderpolder of Botshol (zuid en west), Noorderpolder (west);KRW Overig water;615,737;47,116;568,621;22,891;0;0;0;;M8;sloot;;;30113.1875;537884.625;47750.5;0.048905026;Landelijk
2504-EAG-1;Polder deTweede Bedijking, Polder deTweede Bedijking;KRW Overig water;1,786,027;148,527;1,637,500;80,406;0;0;0;;M1a;sloot;;;85696.25;1551814.125;148529.4375;0.047981153;Landelijk
2530-EAG-1;Polder de Eerste Bedijking (west), west;KRW Overig water;5,582,310;465,088;5,117,223;268,643;0;0;0;;M1a;sloot;;;267242.5;4847037.125;468072.625;0.04787274;Landelijk
2000-EAG-5;Boezem Amstelland-West, Midden;NL11_1_1;1,069,037;831,186;237,851;50,553;0;0;0;;M6b;canal;;;50805.875;183108.75;835136.9375;0.047524251;Landelijk
2500-EAG-4;Polder Groot Wilnis Vinkeveen, Zuidplas;NL11_3_4;3,733,467;3,230,141;503,326;49,452;349,116;2,547,627;335,506;Vinkeveense Plas (EAG 4 - Zuidplas);M20;plas;;;175120.875;323697.8125;3234679.563;0.046905305;Landelijk
3320-EAG-1;Loenderveen, Terra Nova landelijk noord;NL11_5_4;267,625;96,799;170,826;11,704;79,793;17,526;0;Terra Nova;M27;plas;;;12223.4375;157999.625;97403.875;0.04567342;Landelijk
2540-EAG-1;Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), landelijk;KRW Overig water;14,728,192;863,301;13,864,891;626,185;0;0;0;;M1a;sloot;;;634900;13196336.44;897051.375;0.043107523;Landelijk
7010-EAG-1;De Gooise Zomerkade, De Gooise Zomerkade;KRW Overig water;2,117,462;74,388;2,043,074;48,426;0;0;0;;M1a;sloot;;;87545.4375;1949255.063;80691.4375;0.04134393;Landelijk
3300-EAG-10;Muyeveld, Weersloot;NL11_6_1;2,733,132;345,003;2,388,129;110,043;0;0;0;;M10;sloot;;;112917.3125;2274866.75;345356.625;0.041314124;Landelijk
2630-EAG-3;Noordse Buurt en Westveense Polder, Westveen;KRW Overig water;1,211,014;323,627;887,387;66,955;0;0;0;;M8;sloot;;;49769.25;837665;323582.3125;0.041097085;Landelijk
6480-EAG-1;Hoeker- en Garstenpolder, bemalen gebied;KRW Overig water;2,826,210;122,970;2,703,239;90,005;0;0;0;;M1a;sloot;;;114619.875;2584199;127422.8125;0.040555581;Landelijk
2410-EAG-1;Polder Waardassacker en Holendrecht, Holendrechter polder;KRW Overig water;3,203,741;231,716;2,972,025;109,410;0;0;0;;M8;sloot;;;127450.9375;2841245.438;235086.125;0.039781395;Landelijk
2140-EAG-1;Uithoornsche Polder, Uithoornse Polder midden;KRW Overig water;1,368,003;254,605;1,113,399;63,419;0;0;0;;M8;sloot;;;54403.125;1056426.313;257181.125;0.039768059;Landelijk
6550-EAG-1;Polder Nijenrode, landelijk gebied;KRW Overig water;2,079,381;104,859;1,974,521;69,789;0;0;0;;M1a;sloot;;;82277;1886524.438;110578.75;0.039568041;Landelijk
4200-EAG-3;Heintjesrak- en Broekerpolder, Heintjesrakpolder;KRW Overig water;874,663;30,734;843,929;27,485;0;0;0;;M8;sloot;;;34567.3125;807863.6875;32241.25;0.039520303;Landelijk
3300-EAG-7;Muyeveld, Tienhovensche Plassen zuid;NL11_5_1;513,496;246,638;266,858;25,102;237,896;8,744;0;Tienhovense Plas;M27;plas;;;20015.625;246842.4375;246638.25;0.038979102;Landelijk
2600-EAG-6;Polder Zevenhoven, Achterweg_Zeerust;KRW Overig water;2,506,180;35,956;2,470,224;22,731;0;0;0;;M1a;sloot;;;97542.4375;2371057.688;37591.375;0.038920584;Landelijk
2120-EAG-1;Bovenkerkerpolder, landelijk;KRW Overig water;8,465,878;528,723;7,937,155;340,360;0;0;0;;M1a;sloot;;;324576;7570490.563;570915.8125;0.038338847;Landelijk
3220-EAG-4;Horstermeerpolder en Meeruiterdijksche Polder, Meeruiterdijksche Polder zuid;KRW Overig water;765,434;29,136;736,298;26,259;0;0;0;;M1a;sloot;;;28743.875;707559.5625;29137.1875;0.037552064;Landelijk
3300-EAG-6;Muyeveld, Tienhovensche Plassen noord;NL11_5_1;388,057;210,498;177,559;17,059;155,811;54,692;0;Tienhovense Plas;M27;plas;;;14483.9375;163078.875;210495.875;0.03732409;Landelijk
2620-EAG-1;Voordijkschepolder, Voordijkschepolder;NL11_8_2;1,676,544;349,298;1,327,247;77,142;0;0;0;;M10;sloot;;;62226.5625;1262561.75;351756.8125;0.037115948;Landelijk
2410-EAG-4;Polder Waardassacker en Holendrecht, Slot polder;KRW Overig water;178,437;13,147;165,290;5,512;0;0;0;;M8;sloot;;;6586.25;158581.1875;13270.4375;0.036910605;Landelijk
8070-EAG-1;Sloterbinnen en Middelveldsepolder, Sloterplas;NL11_3_1;1,462,214;899,874;562,340;9,129;93,690;283,315;530,955;Sloterplas;M20;plas;;;53441.6875;508165.0625;900646.9375;0.03654748;Stedelijk
2000-EAG-7;Boezem Amstelland-West, Zuid;NL11_1_1;527,657;329,077;198,579;40,888;0;0;0;;M6b;canal;;;19283.5625;181461;326916.875;0.036545332;Landelijk
2230-EAG-1;Broekzijdse Polder, landelijk;KRW Overig water;2,469,087;170,063;2,299,025;91,693;0;0;0;;M8;sloot;;;90088.875;2206318.938;172712.9375;0.036486217;Landelijk
2570-EAG-2;Baambrugge Westzijds, Schrobberpolder;KRW Overig water;830,774;25,345;805,429;17,167;0;0;0;;M8;sloot;;;30310.1875;767605.25;32875.0625;0.036483551;Landelijk
2503-EAG-1;Polder Wilnis-Veldzijde, Polder Wilnis-Veldzijde;KRW Overig water;5,707,776;313,573;5,394,203;164,681;0;0;0;;M1a;sloot;;;205242.25;5179112.063;323450;0.035958179;Landelijk
8030-EAG-3;Osdorperbinnenpolder,  De Kluut 2;KRW Overig water;168,924;83,511;85,413;7,271;0;0;0;;M10;sloot;;;6063.875;78901.1875;83963.875;0.035896011;Landelijk
