GAFIDENT;GAFNAAM;Begindatum;Einddatum;KRWWaterlichaamcode;KRW_SGBP3;KRWmonitoringslocatie;KRWmonitoringslocatie_SGBP3;KRWmonitoringslocatie_SGBP3_MeetpuntInAquoKit20200701;SGBP3_NAAM;OPMERKING;Plas;watertype;KRWWatertypeVoorstel_status;type;vijver;StedelijkLandelijk;LANDBOUWGEB;OppEAG;OppWater;OppLand;OmtrekWater;OppWater0_1m;OppWater1_8m;OppWater8m;Opp verhard;Opp onverhard;Opp water (BGT);percOpenwater;Formule_omtrekoppervlak
3360-EAG-16;Polder Maarsseveen-Westbroek, Molenpolder Natuurreservaat;20160428;;NL11_6_5;NL11_6_11;NL11_MolenpolderTienhove;NL11_MolenpolderenWest;NL11_MolenpolderenWestbroek;Molenpolder en Westbroek;KRW Waterlichaam;Molenpolder;M27;WBP 2016-2021;plas;;Landelijk;overig;1420882;512464;908418;68916;73770;373359;0;7698;901038;512332;36;0.010387514
3360-EAG-17;Polder Maarsseveen-Westbroek, Westbroekse Zodden;20160428;;NL11_6_5;NL11_6_11;NL11_MolenpolderTienhove;NL11_MolenpolderenWest;NL11_MolenpolderenWestbroek;Molenpolder en Westbroek;KRW Waterlichaam;;M27;WBP 2016-2021;sloot;;Landelijk;aandachtsgebied;2573880;635964;1937915;142325;69728;405510;0;20408;1909655;638214;25;0.005603186
3360-EAG-18;Polder Maarsseveen-Westbroek, Polder het Huis te Hart;20160428;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;overig;961133;131711;829421;50889;;;;10560;826258;132741;14;0.007131602
3360-EAG-19;Polder Maarsseveen-Westbroek, Taartpunt noord;20180605;;NL11_6_5;NL11_6_9;NL11_MolenpolderTienhove;NL11_OostelijkeBinnenpo;NL11_OostelijkeBinnenpolder;Oostelijke Binnenpolder van Tienhoven;KRW Waterlichaam;;M10;WBP 2016-2021;sloot;;Landelijk;overig;279179;119955;159224;15960;;;;1221;234542;83505;43;0.021700827
3360-EAG-2;Polder Maarsseveen-Westbroek, Polder Buitenweg;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;overig;1256056;132445;1123611;58857;;;;95364;1037664;132139;11;0.006183291
3360-EAG-3;Polder Maarsseveen-Westbroek, Zogwetering;20160428;;;;;;;;KRW Overig water;;M8;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;overig;2132014;99930;2032084;32897;;;;496523;1535135;100352;5;0.009609298
3360-EAG-4;Polder Maarsseveen-Westbroek, Wilgenplas;20160428;;;;;;;;KRW Overig water;Wilgenplas;M25;20161205_MemoWatertypenOverigWater;kleine plas;vijver;Landelijk;overig;1323591;362166;961425;55288;80492;282007;0;85361;875071;363157;27;0.010884863
3360-EAG-5;Polder Maarsseveen-Westbroek, rond Kleine Maarsseveensche Plas;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;710828;74494;636333;24467;;;;122084;514220;74524;10;0.011155266
3360-EAG-6;Polder Maarsseveen-Westbroek, Kassen;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;overig;327020;9658;317363;5291;;;;141598;176183;9659;3;0.018574017
3360-EAG-7;Polder Maarsseveen-Westbroek, Volkstuinen;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;280771;13168;267603;5705;;;;34215;235878;13071;5;0.020114269
3360-EAG-8;Polder Maarsseveen-Westbroek, Oud tuinbouwgebied;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;166979;7378;159601;7144;;;;21677;137817;7546;4;0.012023416
3360-EAG-9;Polder Maarsseveen-Westbroek, Kleine Maarsseveensche Plas;20160428;;;;;;;;KRW Overig water;Kleine Maarsseveense Plas;M20;WBP 2016-2021;plas;;Landelijk;hoge_potentie_lb;271056;214160;56896;3046;4551;88007;121379;8234;48872;213949;79;0.151928511
3370-EAG-1;Polder Achtienhoven, Gagelweg/Kooidijk;20160428;;;;;;;;KRW Overig water;;M1a;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;hoge_potentie_lb;4096115;403532;3692584;207663;;;;90781;3557554;404185;10;0.003059003
3370-EAG-2;Polder Achtienhoven, Gagelbos;20160428;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;canal;;Landelijk;hoge_potentie_lb;582636;91488;491148;24925;;;;19044;472103;91490;16;0.012135199
3370-EAG-3;Polder Achtienhoven, Kerkeindse Polder;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;2454144;234249;2219895;139631;;;;44608;2183713;233464;10;0.003466227
3370-EAG-4;Polder Achtienhoven,  Het Achteraf;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;3145044;202985;2942059;147448;;;;77380;3141787;210782;6;0.003055576
3370-EAG-5;Polder Achtienhoven,  Korssesteeg;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;516658;25227;491431;19511;;;;2642;209437;12846;5;0.008140541
4000-EAG-1;'s-Gravelandsche vaartboezem,  's-Gravelandsche Vaart;20160428;;NL11_2_2;NL11_2_2;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;Vaarten Vechtstreek;KRW Waterlichaam;;M6a;WBP 2016-2021;canal;;Landelijk;overig;442740;130076;312664;14416;;;;98993;212871;130780;29;0.025018071
4000-EAG-2;'s-Gravelandsche vaartboezem, Cruijsbergen;20160428;;NL11_2_2;;NL11_VaartenVechtstreek;;;;KRW Overig water;;M6a;WBP 2016-2021;canal;;Landelijk;overig;441308;39744;401565;7804;;;;6634;394328;40365;9;0.025545742
4000-EAG-3;'s-Gravelandsche vaartboezem, Karnemelksloot;20160428;;NL11_2_2;NL11_2_2;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;Vaarten Vechtstreek;KRW Waterlichaam;;M6a;WBP 2016-2021;canal;;Landelijk;overig;347007;78764;268243;15541;;;;46356;220559;80187;23;0.018058635
4000-EAG-4;'s-Gravelandsche vaartboezem, Naardertrekvaart;20160428;;NL11_2_2;NL11_2_2;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;Vaarten Vechtstreek;KRW Waterlichaam;;M6a;WBP 2016-2021;canal;;Landelijk;kustpolder;1210257;309968;900288;27164;;;;308587;589614;312073;26;0.020495792
4000-EAG-6;'s-Gravelandsche vaartboezem, Vesting Naarden;20160428;;NL11_2_2;NL11_2_2;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;Vaarten Vechtstreek;KRW Waterlichaam;;M6a;WBP 2016-2021;canal;;Landelijk;overig;1623744;405337;1218407;26829;;;;340032;877980;407321;25;0.023730322
