GAFIDENT;GAFNAAM;Begindatum;Einddatum;KRWWaterlichaamcode;KRW_SGBP3;KRWmonitoringslocatie;KRWmonitoringslocatie_SGBP3;KRWmonitoringslocatie_SGBP3_MeetpuntInAquoKit20200701;SGBP3_NAAM;OPMERKING;Plas;watertype;KRWWatertypeVoorstel_status;type;vijver;StedelijkLandelijk;LANDBOUWGEB;OppEAG;OppWater;OppLand;OmtrekWater;OppWater0_1m;OppWater1_8m;OppWater8m;Opp verhard;Opp onverhard;Opp water (BGT);percOpenwater;Formule_omtrekoppervlak
6400-EAG-1;Watergraafsmeer, zuid;20160428;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;4655976;205805;4450170;52915;;;;2046929;2399538;209609;4;0.008573322
6400-EAG-2;Watergraafsmeer, noord;20160428;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;1169349;148995;1020354;18783;;;;549196;469931;150251;13;0.020550429
6420-EAG-1;Gemeenschapspolder West (Tuincomplex Linnaeus), Gemeenschapspolder West (Tuincomplex Linnaeus);20160428;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;volkstuinen;247645;39450;208195;11786;;;;28910;179289;39450;16;0.016852218
6430-EAG-1;Baambrugge Oostzijds;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;7252899;429060;6823839;278194;;;;400811;6412846;439325;6;0.002354568
6440-EAG-1;Polder Breukelerwaard West, bemalen gebied;20170327;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;1230827;51249;1179577;31649;;;;215322;962959;52547;4;0.007152909
6440-EAG-2;Polder Breukelerwaard West,;20170327;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;285972;26867;259105;10685;;;;25244;233210;27522;9;0.015340343
6440-EAG-3;Polder Breukelerwaard West,;20170327;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;overig;280693;9238;271456;8922;;;;3319;268476;8897;3;0.010772754
6440-EAG-4;Polder Breukelerwaard West,;20170327;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;overig;339804;24224;315580;8352;;;;69409;245493;24903;7;0.018635131
6440-EAG-5;Polder Breukelerwaard West,;20170327;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Stedelijk;hoge_potentie_lb;193571;14879;178692;3372;;;;92158;86391;15024;8;0.036174231
6450-EAG-1;Aetsveldse Polder west, bemalen;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;2470401;109955;2360447;81514;;;;85903;2274585;110008;4;0.004067947
6450-EAG-2;Aetsveldse Polder west, fort;20160428;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;overig;48506;29081;19424;1408;;;;2408;17014;29082;60;0.121116138
6450-EAG-3;Aetsveldse Polder west, zuid;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;258937;8519;250419;7614;;;;19727;230671;8488;3;0.0121222
6460-EAG-1;Breukelen Noord, Breukelen Noord;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;795904;41015;754888;12332;;;;254391;499832;41678;5;0.016422446
6460-EAG-2;Breukelen Noord, landelijk;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;187174;19741;167433;8692;;;;1;166721;20454;11;0.016164596
6480-EAG-1;Hoeker- en Garstenpolder, bemalen gebied;20170214;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;2826210;124551;2701658;93210;;;;114620;2584199;127423;4;0.003786266
6480-EAG-2;Hoeker- en Garstenpolder, noord;20170221;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;846152;34987;811165;24850;;;;47487;767012;31664;4;0.007527087
6480-EAG-3;Hoeker- en Garstenpolder, oost;20170214;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;1494322;64069;1430253;53672;;;;52814;1377100;64420;4;0.004716026
6490-EAG-1;Aetsveldse Polder west (Driemond), Driemond;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Stedelijk;overig;67417;1060;66357;730;;;;37189;29169;1060;2;0.044599508
6500-EAG-1;Over-Diemen, elektriciteitscentrale;20160428;;;;;;;;KRW Overig water;;M1a;;canal;;Landelijk;overig;481097;26274;454823;13591;;;;145173;309513;26416;5;0.011926464
6510-EAG-1;Over-Diemen (Zeehoeve), Zeehoeve;20160428;;;;;;;;KRW Overig water;;M3;WBP 2016-2021;canal;;Landelijk;overig;199831;20965;178866;6588;;;;36116;142212;21510;10;0.021978287
6530-EAG-1;Bloemendalerpolder en Gemeenschapspolder Oost, bemalen;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;overig;4048346;257211;3791135;145440;;;;592061;3193918;262448;6;0.003487072
6530-EAG-2;Bloemendalerpolder en Gemeenschapspolder Oost, langs de Vecht;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;overig;228521;11809;216712;8705;;;;19557;196492;12477;5;0.012483541
6540-EAG-1;Aetsveldse Polder Oost, bemalen;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;6423870;352003;6071867;235453;;;;338933;5756972;350699;5;0.002519817
6540-EAG-2;Aetsveldse Polder Oost, blokbemaling;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;614462;24023;590440;17740;;;;5015;563003;23810;4;0.008736953
6540-EAG-3;Aetsveldse Polder Oost, stedelijk Weesp;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Stedelijk;hoge_potentie_lb;1510073;79045;1431028;30730;;;;702836;728259;79007;5;0.009149021
6550-EAG-1;Polder Nijenrode, landelijk gebied;20170213;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;2079514;105598;1973917;71290;;;;82277;1886524;110579;5;0.004558261
6550-EAG-2;Polder Nijenrode, Kasteel Neijenrode en sportvelden;20170213;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;634849;69035;565813;18979;;;;40832;523503;70514;11;0.013843992
6550-EAG-3;Polder Nijenrode, bebouwing;20170213;;;;;;;;KRW Overig water;;M1a;;sloot;;Stedelijk;overig;385697;16871;368826;6960;;;;147143;221063;17467;4;0.018662128
6560-EAG-1;Over-Diemen (noord), Over-Diemen (noord);20160428;;;;;;;;KRW Overig water;;M1a;;canal;;Landelijk;overig;33326;831;32495;622;;;;2589;29851;887;2;0.046345773
6570-EAG-1;Polder Broeckland, Polder Broeckland;20170214;;;;;;;;KRW Overig water;;M8;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;hoge_potentie_lb;364840;24466;340374;8003;;;;81838;257878;25127;7;0.019544685
6580-EAG-1;Breukelen boezempeil, Breukelen boezempeil;20170214;;;;;;;;KRW Overig water;;NVT;WBP 2016-2021;canal;;Landelijk;hoge_potentie_lb;173963;1373;172590;833;;;;53325;119237;1398;1;0.044482611
6590-EAG-1;Rijnkade, Rijnkade;20160428;;;;;;;;KRW Overig water;;M1a;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;624710;13376;611334;5669;;;;416769;194579;13376;2;0.020401245
7000-EAG-1;IJmeer, Markermeer, Gooimeer en Eemmeer, IJmeer, Bovenmaat;20170126;;;;;;;;KRW Overig water;;M3;WBP 2016-2021;canal;;Stedelijk;overig;901036;44896;856140;5896;;;;478567;377034;45448;5;0.035937375
7000-EAG-2;Geen EAG, afstromend;20170414;;;;;;;;Geen KRW open water;;NVT;;canal;;Stedelijk;overig;83560;0;83560;0;;;;56844;26718;0;0;#DELING.DOOR.0!
7000-EAG-3;Geen EAG, afstromend;20170414;;;;;;;;Geen KRW open water;;NVT;;canal;;Stedelijk;overig;50344;0;50344;0;;;;36038;14307;0;0;#DELING.DOOR.0!
7000-EAG-4;IJmeer, Markermeer, Gooimeer en Eemmeer, Diemerzeedijk noord;20170414;;;;;;;;KRW Overig water;;M3;;canal;;Landelijk;overig;606736;52107;554629;9344;;;;99522;455092;52135;9;0.024429535
7010-EAG-1;De Gooise Zomerkade, De Gooise Zomerkade;20170124;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;overig;2117462;75911;2041551;51478;;;;87545;1949255;80691;4;0.00535218
7010-EAG-2;De Gooise Zomerkade, Blaricummer Meent;20170124;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Stedelijk;overig;927563;76080;851483;18927;;;;520638;341588;65351;8;0.014573151
7020-EAG-1;Huizen (oost), Bijvanck en Vierde Kwadrant;20170125;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;2157198;63809;2093390;15408;;;;951019;1140819;65394;3;0.016394369
7030-EAG-1;Buitendijksgebied Naarden en Muiderberg, Buitendijksgebied Naarden en Muiderberg;20170414;;;;;;;;KRW Overig water;;M25;;kleine plas;;Landelijk;kustpolder;1688667;154655;1534012;20781;;;;324978;1207668;156045;9;0.018924113
7040-EAG-1;Eiland Zeeburg, Eiland Zeeburg;20170329;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Stedelijk;overig;937006;39994;897011;14576;;;;447056;449657;40314;4;0.013720156
7050-EAG-1;Haveneiland, Haveneiland;20160428;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;1298602;144280;1154322;12622;;;;871400;281744;145487;11;0.030093652
7060-EAG-1;Steigereiland, Steigereiland;20160428;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;392005;75690;316315;1486;;;;241248;74953;75813;19;0.185140078
7080-EAG-1;Eiland Zeeburg (oost), Eiland Zeeburg (oost);20170329;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;canal;;Stedelijk;overig;82485;2387;80098;1167;;;;47209;32754;2527;3;0.04186541
7090-EAG-1;Uitstroom gemaal Zeeburg, Uitstroom gemaal Zeeburg;20161228;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;overig;27177;11508;15670;684;;;;2918;12750;11510;42;0.156835302
7100-EAG-1;Huizen (west), Kwelvijvers;20170126;;;;;;;;KRW Overig water;;M3;;canal;;Stedelijk;overig;322141;30687;291454;3944;;;;37997;253010;31138;10;0.044416089
7100-EAG-2;Huizen (west), Huizermaat;20170126;;;;;;;;KRW Overig water;;M3;;canal;;Stedelijk;overig;2237690;55025;2182665;8470;;;;1112447;1069218;56074;2;0.027694697
7110-EAG-1;Eiland Zeeburg (zuid), Eiland Zeeburg (zuid);20170329;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;72596;3931;68665;1282;;;;29106;39443;4048;5;0.048906152
8000-EAG-1;Rijnlands Boezem, boezemland;20170414;;;;;;;;KRW Overig water;;M6a;;canal;;Stedelijk;overig;783282;216876;566406;17878;;;;392393;254198;219020;28;0.026048746
8000-EAG-2;Geen EAG;20170504;;;;;;;;Geen KRW open water;;NVT;;canal;;Landelijk;overig;11372;96;11276;194;;;;2875;8353;145;1;0.050504943
8010-EAG-1;De Lange Bretten, natuurgebied;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Stedelijk;natuur;1097489;107000;990488;28106;;;;89242;898601;109682;10;0.011638388
8010-EAG-2;De Lange Bretten, polder;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Stedelijk;overig;1326905;131808;1195096;40442;;;;263769;844875;135992;10;0.008977145
8020-EAG-1;Overbraker Binnenpolder, volkstuinen;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Stedelijk;volkstuinen;819231;66144;753086;28010;;;;166711;584073;68466;8;0.009181891
8020-EAG-2;Overbraker Binnenpolder, noord-oost;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Stedelijk;overig;117903;16676;101227;5248;;;;20335;80501;17074;14;0.024606629
8030-EAG-1;Osdorperbinnenpolder, veenweide;20160428;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;1195877;184158;1011719;52148;;;;191027;817127;187749;15;0.0082292
8030-EAG-2;Osdorperbinnenpolder, Geuzenveld;20160428;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;295054;18670;276383;4827;;;;110122;166037;18898;6;0.028307066
8030-EAG-3;Osdorperbinnenpolder,  De Kluut 2;20160428;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;168924;83511;85413;7271;;;;6064;78901;83964;49;0.03974456
8030-EAG-4;Osdorperbinnenpolder, VTP Tigeno en Eendracht;20160428;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;volkstuinen;260772;40446;220327;13590;;;;31682;187634;41461;16;0.014798522
8030-EAG-5;Osdorperbinnenpolder, polder;20160428;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;1344448;136663;1207785;41195;;;;174096;1031118;139263;10;0.008973895
8030-EAG-6;Osdorperbinnenpolder, Tom Schreurweg;20160428;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;37829;7571;30258;3178;;;;2374;27626;7841;20;0.027379325
8040-EAG-1;Osdorperbovenpolder, Osdorperbovenpolder;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Stedelijk;overig;1533604;137594;1396010;64475;;;;333432;1058794;141413;9;0.005753186
8040-EAG-2;Osdorperbovenpolder, Bovensloot;20160428;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Stedelijk;overig;60328;8372;51956;4969;;;;19861;31670;8801;14;0.018413893
8050-EAG-1;Lutkemeerpolder, Bisschopsmuts;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Stedelijk;overig;669904;43254;626649;5714;;;;326786;299520;43614;6;0.036397613
8050-EAG-2;Lutkemeerpolder, polder;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Stedelijk;overig;1734920;118095;1616824;43253;;;;218949;1397127;118885;7;0.007945103
8050-EAG-3;Lutkemeerpolder, natuurgebied;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Stedelijk;overig;535922;84296;451626;13439;;;;49375;402266;84296;16;0.021604117
8060-EAG-1;Middelveldse Akerpolder, polder;20160428;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;1517910;159856;1358054;40932;;;;717103;639725;161114;11;0.009767907
8070-EAG-1;Sloterbinnen en Middelveldsepolder, Sloterplas;20160428;;NL11_3_1;NL11_3_1;NL11_Sloterplas;NL11_Sloterplas;NL11_Sloterplas;Sloterplas;KRW Waterlichaam;Sloterplas;M20;WBP 2016-2021;plas;;Stedelijk;overig;1462214;899874;562340;9129;14540;362465;530955;53442;508165;900647;62;0.103912464
8070-EAG-2;Sloterbinnen en Middelveldsepolder, Gecombineerde Polders;20160428;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;12604571;754490;11850082;87759;;;;5447232;6398087;759544;6;0.009897718
8070-EAG-3;Sloterbinnen en Middelveldsepolder, SPP Ookmeer;20160428;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;661487;34265;627222;12107;;;;186056;440390;35058;5;0.015289343
8080-EAG-1;Riekerpolder, Wielerbaan;20160428;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;376551;21427;355124;7943;;;;66022;288446;22090;6;0.01842876
8080-EAG-2;Riekerpolder, polder;20160428;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;3011395;237881;2773515;71860;;;;949368;1819780;242310;8;0.006787232
8090-EAG-1;Nieuw-Sloten, Nieuw-Sloten;20160428;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;1264353;96121;1168233;15060;;;;602519;564647;97207;8;0.020586578
8090-EAG-2;Nieuw-Sloten, Plesmanstrook;20160428;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;318450;61819;256631;16630;;;;50766;204681;63018;19;0.014950948
8110-EAG-1;Begraafplaats Vredenhof;20160428;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Stedelijk;overig;54182;3339;50842;1654;;;;13818;36945;3418;6;0.034935962
9010-EAG-1;Buiksloterdijk, Buiksloterdijk;20161227;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;186604;4424;182180;934;;;;116504;65739;4366;2;0.07121323
9020-EAG-1;Florapark (noord), Florapark (noord);20161227;;;;;;;;KRW Overig water;;M11;20161205_MemoWatertypenOverigWater;kleine plas;vijver;Stedelijk;park;136993;8980;128013;1065;;;;25916;102102;8980;7;0.088979213
9030-EAG-1;Florapark (zuid), Florapark (zuid);20161227;;;;;;;;KRW Overig water;;M11;20161205_MemoWatertypenOverigWater;kleine plas;vijver;Stedelijk;park;32620;3799;28821;538;;;;1814;27008;3798;12;0.114565109
9040-EAG-1;Buiksloterweg, Buiksloterweg;20161227;;;;;;;;KRW Overig water;;M11;20161205_MemoWatertypenOverigWater;kleine plas;vijver;Stedelijk;overig;8999;2604;6395;304;;;;233;6162;2604;29;0.167859879
9801-EAG-1;Wiel Onderwal, Wiel Onderwal;20170307;;;;;;;;KRW Overig water;;M11;;kleine plas;vijver;Landelijk;overig;35885;7765;28120;1188;;;;1758;26277;7852;22;0.074174442
9802-EAG-1;Buitendijks gebied Muiderberg, Buitendijks gebied Muiderberg;20170314;;;;;;;;KRW Overig water;;M11;;kleine plas;vijver;Landelijk;kustpolder;461228;63;461165;67;;;;136974;324264;0;0;0.118466477
9901-EAG-1;Geen EAG, lozend op riolering;20170418;;;;;;;;Geen KRW open water;;NVT;;canal;;Stedelijk;overig;46805;0;46805;0;;;;35231;11575;0;0;#DELING.DOOR.0!
9902-EAG-1;Geen EAG, lozend op riolering;20170418;;;;;;;;Geen KRW open water;;NVT;;canal;;Landelijk;hoge_potentie_lb;203805;0;203805;16;;;;70768;133038;0;0;0
