ident;DBID;Namespace;LokaalID;Naam;Vertaling naar doelen-model;SGBPPeriode.omschrijving;UitvoeringIn;KRWMaatregel.code;Toelichting;KRWMaatregelNiveau.code;HoortbijKRWWaterlichaam;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.naam;Kosten;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;esf;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);kosten;totale belasting;totale oeverlengte;belastingreductie opmerking;omvang tov balansen 2018, ecologische toestand t/m 2017;eenheid;EKR;litteratuurverwijzing;wkp;WL_naam;Effect verwacht vanaf;aangepast;gebiedsteam;;;
15;;;;Goede waterbeheerpraktijk;;SGBP3 2021-2027;2021-2027;IM12;;MA;MA;;;;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF1;;;;;;;?;mg/m2/dag;;;;#N/B;2027;LM_20190916;#N/B;;;
16;;;;Goede rioleringspraktijk;;SGBP3 2021-2027;2021-2027;IM06;;MA;MA;;;;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF1;afhankelijk van participatie van omgeving;;;;;;?;mg/m2/dag;;;;#N/B;2027;LM_20190916;#N/B;;;
17;;;;Aanwezige natuurwaarden van oevers toetsen bij alle werken die door dijkverbetering worden uitgevoerd;;SGBP3 2021-2027;2021-2027;;;MA;MA;;;;;;0;0;0;0;0;0;ESF4;;;;;;;;;;;;;;;;;;
18;71310;NL11;90994;Onderzoeken toepassen andere oeverbeschoeiing;;SGBP1 2009-2015;2009-2015;S01;Het uitvoeren van een onderzoek naar de mogelijkheden om die delen van de boezem, waar geen ruimte in het profiel is voor de aanleg van natuurvriendelijke oevers, toch natuurvriendelijk in te richten.;WB;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=30000.00;0;0;1;0;0;0;ESF4;opzoeken;intern toepassing zoeken;;;246.4832668;;;;;;1;Amstellandboezem;2016;LM_20190916;Amstel;;;
19;71395;NL11;NL11_0222;Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1;;SGBP1 2009-2015;2009-2015;IN15;Bij de Ipenslotersluis en Diemerdammersluis wordt een vissluis aangelegd.;MW;NL11_1_1;7;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=1324000.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;1;0;0;ESF5;gefaseerd;intern onderhoud en beheer;;14.12754631;246.4832668;;;;0;;1;Amstellandboezem;nvt;LM_20190916;Amstel;;;
20;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_1_1;325;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;Uitvoering intern;;;246.4832668;;36.97249002;ha;;;1;Amstellandboezem;2016;LM_20190916;Amstel;;;
21;76542;NL11;GEB-yy;Beperken belasting glastuinbouw;p;SGBP2 2015-2021;2015-2021;S05;Deze maatregel wordt genomen in waterlichaam Vaarten Westeramstel, maar heeft ook positief effect voor de Amstellandboezem. ;MW;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF1;loopt;sector glastuinbouw, intern;;33.38;246.4832668;0;3.86;mg/m2/dag;;;1;Amstellandboezem;2021;LM_20190916;Amstel;;;
22;76541;NL11;GEB-y;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1;p;SGBP2 2015-2021;2015-2021;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts Ankeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven.;MW;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;;33.38;246.4832668;0;0;mg/m2/dag;;;1;Amstellandboezem;2021;LM_20190916;Amstel;;;
23;76536;NL11;AMS-y;Meeliften om luwe zones te creëren tbv vegetatie ontwikkeling;areaal nieuw;SGBP2 2015-2021;2015-2021;IN20;;WB;NL11_1_1;1;n;j;Provincie Noord-Holland;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF4;opzoeken;Noord-Holland;;;246.4832668;;?;;;;1;Amstellandboezem;2021;LM_20190916;Amstel;;;
24;76567;NL11;NL11_0222;Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1;;SGBP2 2015-2021;2015-2021;IN15;Bij de Ipenslotersluis en Diemerdammersluis wordt een vissluis aangelegd.;MW;NL11_1_1;2;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF5;loopt;intern onderhoud en beheer;;14.12754631;246.4832668;;;;0;;1;Amstellandboezem;2021;LM_20190916;Amstel;;;
