watdte_m;debiet (mm/dag);bodemtype;kP
0.7;39.71450749;zand;11
0.7;32.69487055;zand;8.63
0.7;33.02117978;zand;8.74
0.7;29.14792329;zand;7.46
0.7;29.74416112;zand;7.65
0.7;37.61368026;zand;10.32
0.7;30.36977036;zand;7.86
0.7;36.95002479;zand;10.09
0.7;32.01735424;zand;8.4
0.7;29.89931404;zand;7.7
0.7;30.82284588;zand;8
0.7;28.4479192;zand;7.25
0.7;27.15698051;zand;6.85
0.7;33.02722142;zand;8.74
0.7;28.1724401;zand;7.16
0.7;31.99007919;zand;8.39
0.7;29.677712;zand;7.63
0.7;14.03682349;zand;3.79
0.7;14.63565088;zand;3.9
0.7;13.15863745;zand;3.63
0.7;11.87012929;zand;3.4
0.7;16.58049712;zand;4.28
0.7;12.92028792;zand;3.59
0.7;15.67562301;zand;4.1
0.7;13.41693878;zand;3.68
0.7;14.03682349;zand;3.79
0.7;14.63565088;zand;3.9
0.7;13.15863745;zand;3.63
0.7;11.87012929;zand;3.4
0.7;16.58049712;zand;4.28
0.7;12.92028792;zand;3.59
0.7;15.67562301;zand;4.1
0.7;13.41693878;zand;3.68
0.7;14.03682349;zand;3.79
0.7;14.63565088;zand;3.9
0.7;13.15863745;zand;3.63
0.7;11.87012929;zand;3.4
0.7;16.58049712;zand;4.28
0.7;12.92028792;zand;3.59
0.7;15.67562301;zand;4.1
0.7;13.41693878;zand;3.68
0.7;15.14384854;zand;4
0.7;15.87504182;zand;4.14
0.7;13.95695211;zand;3.78
0.7;12.41860335;zand;3.5
0.7;15.87664155;zand;4.14
0.7;15.62142257;zand;4.09
0.7;15.18102069;zand;4.01
0.7;17.0772577;zand;4.38
0.7;126.7241259;zand;9.65
0.7;135.8481063;zand;9.72
0.7;129.7780656;zand;9.66
0.7;127.4559306;zand;9.65
0.7;129.3476216;zand;9.66
0.7;119.0641778;zand;9.68
0.7;124.7610487;zand;9.65
0.7;120.813931;zand;9.67
0.7;19.17568599;zand;4.82
0.7;19.80659283;zand;4.96
0.7;18.14748431;zand;4.6
0.7;16.4617433;zand;4.25
0.7;20.37767825;zand;5.09
0.7;18.37227593;zand;4.64
0.7;19.58770732;zand;4.91
0.7;21.47632;zand;5.34
0.7;11.85821342;zand;3.4
0.7;12.16455541;zand;3.46
0.7;11.02683207;zand;3.26
0.7;11.54992296;zand;3.35
0.7;12.74905611;zand;3.56
0.7;10.79267571;zand;3.22
0.7;13.35611083;zand;3.67
0.7;11.36834087;zand;3.32
0.7;11.85821342;zand;3.4
0.7;12.16455541;zand;3.46
0.7;11.02683207;zand;3.26
0.7;11.54992296;zand;3.35
0.7;12.74905611;zand;3.56
0.7;10.79267571;zand;3.22
0.7;13.35611083;zand;3.67
0.7;11.36834087;zand;3.32
0.7;11.85821342;zand;3.4
0.7;12.16455541;zand;3.46
0.7;11.02683207;zand;3.26
0.7;11.54992296;zand;3.35
0.7;12.74905611;zand;3.56
0.7;10.79267571;zand;3.22
0.7;13.35611083;zand;3.67
0.7;11.36834087;zand;3.32
0.7;30.30274503;zand;7.83
0.7;31.6311665;zand;8.27
0.7;31.96755342;zand;8.39
0.7;29.24490183;zand;7.49
0.7;30.34230721;zand;7.85
0.7;27.46249356;zand;6.95
0.7;30.8597114;zand;8.02
0.7;30.61108128;zand;7.93
0.7;20.78249402;zand;5.18
0.7;21.52257756;zand;5.35
0.7;21.78354308;zand;5.41
0.7;16.56313423;zand;4.27
0.7;21.72521222;zand;5.4
0.7;19.04879489;zand;4.79
0.7;23.24941997;zand;5.78
0.7;21.58477617;zand;5.37
0.7;111.6278095;zand;9.8
0.7;114.2515361;zand;9.75
0.7;113.7225963;zand;9.76
0.7;107.151621;zand;9.91
0.7;113.8601073;zand;9.76
0.7;107.8703149;zand;9.89
0.7;112.5652134;zand;9.78
0.7;111.9732777;zand;9.79
0.7;23.28029483;zand;5.79
0.7;24.83459021;zand;6.2
0.7;23.82671342;zand;5.93
0.7;20.26153421;zand;5.06
0.7;25.26873308;zand;6.31
0.7;22.35317249;zand;5.55
0.7;25.11803538;zand;6.27
0.7;21.29928499;zand;5.3
0.7;24.74331828;zand;6.17
0.7;24.10562833;zand;6
0.7;22.59733206;zand;5.61
0.7;24.61170635;zand;6.14
0.7;30.71569919;zand;7.97
0.7;22.92592658;zand;5.7
0.7;25.06185124;zand;6.26
0.7;23.18508422;zand;5.76
0.7;25.89014274;zand;6.49
0.7;26.81973904;zand;6.76
0.7;24.83834793;zand;6.2
0.7;22.79626586;zand;5.66
0.7;29.1338905;zand;7.46
0.7;24.73901576;zand;6.17
0.7;27.52822773;zand;6.97
0.7;25.37551233;zand;6.34
0.7;49.33210554;zand;13.15
0.7;50.97048571;zand;13.28
0.7;51.49236389;zand;13.31
0.7;40.39891772;zand;11.22
0.7;51.99198518;zand;13.33
0.7;44.34393696;zand;12.3
0.7;50.7803345;zand;13.27
0.7;55.3467148;zand;13.31
0.7;18.50143569;zand;4.67
0.7;18.92654639;zand;4.76
0.7;18.69110561;zand;4.71
0.7;16.48649577;zand;4.26
0.7;19.1519578;zand;4.81
0.7;17.47377623;zand;4.46
0.7;18.45384141;zand;4.66
0.7;20.32632661;zand;5.07
0.7;13.65465626;zand;3.72
0.7;13.56784719;zand;3.71
0.7;14.19246724;zand;3.82
0.7;12.51341013;zand;3.52
0.7;14.29393579;zand;3.84
0.7;12.90534315;zand;3.59
0.7;14.09106166;zand;3.8
0.7;14.01852863;zand;3.79
0.7;17.15360898;zand;4.39
0.7;18.9456482;zand;4.77
0.7;19.18523068;zand;4.82
0.7;16.14025269;zand;4.19
0.7;18.02745308;zand;4.57
0.7;15.53949661;zand;4.07
0.7;16.34688967;zand;4.23
0.7;15.89029194;zand;4.14
0.7;15.90645802;zand;4.14
0.7;17.39313222;zand;4.44
0.7;16.26132706;zand;4.21
0.7;12.53441318;zand;3.52
0.7;16.58897869;zand;4.28
0.7;15.26767798;zand;4.02
0.7;17.89865106;zand;4.55
0.7;15.40102594;zand;4.05
0.7;15.90645802;zand;4.14
0.7;17.39313222;zand;4.44
0.7;16.26132706;zand;4.21
0.7;12.53441318;zand;3.52
0.7;16.58897869;zand;4.28
0.7;15.26767798;zand;4.02
0.7;17.89865106;zand;4.55
0.7;15.40102594;zand;4.05
0.7;52.29154667;zand;13.34
0.7;55.19163786;zand;13.32
0.7;51.60632804;zand;13.32
0.7;45.74324107;zand;12.6
0.7;54.4672854;zand;13.34
0.7;49.56590692;zand;13.17
0.7;53.48805638;zand;13.35
0.7;55.97837099;zand;13.28
0.7;25.95383391;zand;6.51
0.7;27.72838846;zand;7.03
0.7;25.35039462;zand;6.34
0.7;20.85968793;zand;5.2
0.7;28.07491018;zand;7.13
0.7;23.9266896;zand;5.95
0.7;29.19102476;zand;7.48
0.7;26.54574182;zand;6.68
0.7;30.58951492;zand;7.93
0.7;36.28213023;zand;9.86
0.7;34.34441327;zand;9.2
0.7;24.71087714;zand;6.16
0.7;30.64384302;zand;7.95
0.7;28.25973406;zand;7.19
0.7;29.54540927;zand;7.59
0.7;30.34019748;zand;7.85
0.7;72.9461142;zand;11.41
0.7;33.74561241;zand;8.99
0.7;30.18984999;zand;7.8
0.7;33.12402557;zand;8.78
0.7;103.7765603;zand;10.01
0.7;100.1594283;zand;10.12
0.7;99.2764527;zand;10.15
0.7;110.3508701;zand;9.83
0.7;322.9441352;zand;15.78
0.7;328.2346163;zand;15.97
0.7;323.207055;zand;15.79
0.7;314.1407542;zand;15.46
0.7;333.6795979;zand;16.16
0.7;327.5662624;zand;15.94
0.7;323.3611332;zand;15.79
0.7;310.4195275;zand;15.33
0.7;34.88864796;zand;9.39
0.7;35.17179894;zand;9.48
0.7;32.78474071;zand;8.66
0.7;32.68403768;zand;8.63
0.7;37.64326269;zand;10.33
0.7;34.80665737;zand;9.36
0.7;32.17957438;zand;8.46
0.7;38.95046391;zand;10.76
0.7;18.8667276;zand;4.75
0.7;17.48860253;zand;4.46
0.7;17.28606243;zand;4.42
0.7;18.45804323;zand;4.66
0.7;19.87017263;zand;4.97
0.7;19.73870409;zand;4.94
0.7;17.28533889;zand;4.42
0.7;21.94016939;zand;5.45
0.7;18.8667276;zand;4.75
0.7;17.48860253;zand;4.46
0.7;17.28606243;zand;4.42
0.7;18.45804323;zand;4.66
0.7;19.87017263;zand;4.97
0.7;19.73870409;zand;4.94
0.7;17.28533889;zand;4.42
0.7;21.94016939;zand;5.45
0.7;79.61957276;zand;10.93
0.7;73.21374585;zand;11.38
0.7;73.04085787;zand;11.4
0.7;79.82052069;zand;10.92
0.7;83.42626787;zand;10.75
0.7;84.04201172;zand;10.72
0.7;71.11902178;zand;11.58
0.7;92.67458353;zand;10.39
0.7;254.498252;zand;13.37
0.7;256.9472943;zand;13.46
0.7;254.7808864;zand;13.38
0.7;247.7121372;zand;13.14
0.7;256.2294168;zand;13.43
0.7;252.6585219;zand;13.31
0.7;259.9372294;zand;13.56
0.7;253.2222776;zand;13.33
0.7;27.90951604;zand;7.08
0.7;30.38066726;zand;7.86
0.7;28.37081257;zand;7.22
0.7;23.0674229;zand;5.73
0.7;28.77260969;zand;7.35
0.7;26.20700834;zand;6.58
0.7;31.53316582;zand;8.24
0.7;27.03492571;zand;6.82
0.7;27.90951604;zand;7.08
0.7;30.38066726;zand;7.86
0.7;28.37081257;zand;7.22
0.7;23.0674229;zand;5.73
0.7;28.77260969;zand;7.35
0.7;26.20700834;zand;6.58
0.7;31.53316582;zand;8.24
0.7;27.03492571;zand;6.82
0.7;27.90951604;zand;7.08
0.7;30.38066726;zand;7.86
0.7;28.37081257;zand;7.22
0.7;23.0674229;zand;5.73
0.7;28.77260969;zand;7.35
0.7;26.20700834;zand;6.58
0.7;31.53316582;zand;8.24
0.7;27.03492571;zand;6.82
0.7;21.0451056;zand;5.24
0.7;23.11568947;zand;5.74
0.7;21.34534869;zand;5.31
0.7;15.57686139;zand;4.08
0.7;22.67905054;zand;5.63
0.7;19.38552332;zand;4.86
0.7;23.46902836;zand;5.83
0.7;21.74423745;zand;5.41
0.7;59.99805264;zand;12.93
0.7;55.07016225;zand;13.32
0.7;54.08748008;zand;13.35
0.7;46.83802489;zand;12.8
0.7;60.31359386;zand;12.9
0.7;65.81545285;zand;12.2
0.7;66.10262188;zand;12.17
0.7;71.75903271;zand;11.52
0.7;18.96151863;zand;4.77
0.7;18.71592352;zand;4.72
0.7;18.57262732;zand;4.69
0.7;18.25636074;zand;4.62
0.7;19.03810242;zand;4.79
0.7;19.40931065;zand;4.87
0.7;18.85222555;zand;4.75
0.7;19.88608017;zand;4.97
0.7;175.835752;zand;10.74
0.7;172.1737194;zand;10.62
0.7;184.4990259;zand;11.02
0.7;145.9839361;zand;9.9
0.7;193.2637945;zand;11.31
0.7;171.4459991;zand;10.6
0.7;163.7269244;zand;10.36
0.7;199.7568643;zand;11.52
0.7;175.835752;zand;10.74
0.7;172.1737194;zand;10.62
0.7;184.4990259;zand;11.02
0.7;145.9839361;zand;9.9
0.7;193.2637945;zand;11.31
0.7;171.4459991;zand;10.6
0.7;163.7269244;zand;10.36
0.7;199.7568643;zand;11.52
0.7;8.676698071;zand;2.87
0.7;8.342191848;zand;2.82
0.7;8.494378624;zand;2.84
0.7;8.904290463;zand;2.91
0.7;8.607215295;zand;2.86
0.7;8.927471981;zand;2.91
0.7;8.237580377;zand;2.8
0.7;9.223757911;zand;2.96
0.7;49.94112779;zand;13.21
0.7;50.12001734;zand;13.22
0.7;48.66499199;zand;13.07
0.7;46.78446535;zand;12.79
0.7;49.83362875;zand;13.2
0.7;50.86797135;zand;13.28
0.7;49.36732419;zand;13.15
0.7;53.94949556;zand;13.35
0.7;28.9176269;zand;7.39
0.7;29.23267018;zand;7.49
0.7;28.87117537;zand;7.38
0.7;25.5259354;zand;6.39
0.7;29.43591568;zand;7.56
0.7;28.6110584;zand;7.3
0.7;29.23861369;zand;7.49
0.7;31.50801956;zand;8.23
0.7;21.40243744;zand;5.32
0.7;21.57909351;zand;5.37
0.7;21.90288145;zand;5.44
0.7;18.33442622;zand;4.64
0.7;23.2387023;zand;5.78
0.7;20.61605942;zand;5.14
0.7;21.51425416;zand;5.35
0.7;22.63164501;zand;5.62
0.7;18.82090485;zand;4.74
0.7;19.49222428;zand;4.89
0.7;18.96257466;zand;4.77
0.7;16.53896097;zand;4.27
0.7;19.88950088;zand;4.97
0.7;17.91732788;zand;4.55
0.7;20.20929885;zand;5.05
0.7;18.7364464;zand;4.72
0.7;20.19772993;zand;5.04
0.7;20.5772366;zand;5.13
0.7;19.9849925;zand;5
0.7;17.71382375;zand;4.51
0.7;20.32587684;zand;5.07
0.7;20.4211007;zand;5.1
0.7;20.73994612;zand;5.17
0.7;21.62113296;zand;5.38
0.7;22.09867975;zand;5.49
0.7;22.28135157;zand;5.54
0.7;21.29532836;zand;5.3
0.7;20.11253643;zand;5.03
0.7;21.59606748;zand;5.37
0.7;23.25621599;zand;5.78
0.7;21.97306516;zand;5.46
0.7;24.17619325;zand;6.02
0.7;42.18330416;zand;11.74
0.7;42.78630995;zand;11.91
0.7;41.29944686;zand;11.49
0.7;34.51030822;zand;9.25
0.7;43.66829931;zand;12.13
0.7;43.15428268;zand;12
0.7;43.74377938;zand;12.15
0.7;46.1207027;zand;12.67
0.7;65.26066004;zand;12.28
0.7;62.76033301;zand;12.6
0.7;59.1288575;zand;13.03
0.7;49.02165491;zand;13.11
0.7;65.56491492;zand;12.24
0.7;70.33744385;zand;11.67
0.7;73.34753322;zand;11.37
0.7;76.6638829;zand;11.11
0.7;21.90867687;zand;5.44
0.7;20.70378579;zand;5.16
0.7;20.40461509;zand;5.09
0.7;21.86959797;zand;5.44
0.7;21.11558882;zand;5.26
0.7;23.41808939;zand;5.82
0.7;20.43010407;zand;5.1
0.7;25.41895695;zand;6.36
0.7;59.99805264;zand;12.93
0.7;55.07016225;zand;13.32
0.7;54.08748008;zand;13.35
0.7;46.83802489;zand;12.8
0.7;60.31359386;zand;12.9
0.7;65.81545285;zand;12.2
0.7;66.10262188;zand;12.17
0.7;71.75903271;zand;11.52
0.7;46.09297592;zand;12.67
0.7;44.35938326;zand;12.3
0.7;43.11600188;zand;11.99
0.7;44.58757258;zand;12.35
0.7;43.81019587;zand;12.17
0.7;49.43969971;zand;13.16
0.7;41.64926087;zand;11.59
0.7;55.68871725;zand;13.3
0.7;65.26066004;zand;12.28
0.7;62.76033301;zand;12.6
0.7;59.1288575;zand;13.03
0.7;49.02165491;zand;13.11
0.7;65.56491492;zand;12.24
0.7;70.33744385;zand;11.67
0.7;73.34753322;zand;11.37
0.7;76.6638829;zand;11.11
0.7;21.90867687;zand;5.44
0.7;20.70378579;zand;5.16
0.7;20.40461509;zand;5.09
0.7;21.86959797;zand;5.44
0.7;21.11558882;zand;5.26
0.7;23.41808939;zand;5.82
0.7;20.43010407;zand;5.1
0.7;25.41895695;zand;6.36
0.7;32.99247336;zand;8.73
0.7;34.4375432;zand;9.23
0.7;32.17576474;zand;8.46
0.7;27.36292685;zand;6.92
0.7;34.61718465;zand;9.29
0.7;31.03733826;zand;8.07
0.7;35.82927558;zand;9.71
0.7;35.48728028;zand;9.59
0.7;32.99247336;zand;8.73
0.7;34.4375432;zand;9.23
0.7;32.17576474;zand;8.46
0.7;27.36292685;zand;6.92
0.7;34.61718465;zand;9.29
0.7;31.03733826;zand;8.07
0.7;35.82927558;zand;9.71
0.7;35.48728028;zand;9.59
0.7;32.99247336;zand;8.73
0.7;34.4375432;zand;9.23
0.7;32.17576474;zand;8.46
0.7;27.36292685;zand;6.92
0.7;34.61718465;zand;9.29
0.7;31.03733826;zand;8.07
0.7;35.82927558;zand;9.71
0.7;35.48728028;zand;9.59
0.7;18.47010137;zand;4.67
0.7;19.84441112;zand;4.96
0.7;18.73227792;zand;4.72
0.7;12.9342387;zand;3.59
0.7;19.81367821;zand;4.96
0.7;17.771576;zand;4.52
0.7;22.32634858;zand;5.55
0.7;17.86817906;zand;4.54
0.7;17.67184291;zand;4.5
0.7;19.68382423;zand;4.93
0.7;17.58921308;zand;4.48
0.7;12.84777505;zand;3.58
0.7;18.81138241;zand;4.74
0.7;15.91870118;zand;4.15
0.7;21.71676658;zand;5.4
0.7;17.13523783;zand;4.39
0.7;69.20428079;zand;11.79
0.7;74.58871019;zand;11.27
0.7;70.96925928;zand;11.6
0.7;55.061927;zand;13.32
0.7;72.91477002;zand;11.41
0.7;66.04839167;zand;12.17
0.7;75.57167947;zand;11.19
0.7;69.27522788;zand;11.78
0.7;28.59596291;zand;7.29
0.7;32.21648029;zand;8.47
0.7;29.09691462;zand;7.45
0.7;20.87454303;zand;5.2
0.7;31.21700823;zand;8.13
0.7;26.25709698;zand;6.59
0.7;33.34274315;zand;8.85
0.7;27.16695404;zand;6.86
0.7;26.48712889;zand;6.66
0.7;29.63402199;zand;7.62
0.7;27.12186767;zand;6.84
0.7;19.62605917;zand;4.92
0.7;27.32117909;zand;6.9
0.7;24.50906069;zand;6.11
0.7;31.083274;zand;8.09
0.7;26.11443958;zand;6.55
0.7;76.05764477;zand;11.16
0.7;81.47860896;zand;10.84
0.7;76.1926563;zand;11.15
0.7;62.80994328;zand;12.59
0.7;78.58615697;zand;10.99
0.7;72.55262089;zand;11.44
0.7;86.22884827;zand;10.63
0.7;74.55467872;zand;11.27
0.7;37.36270762;zand;10.23
0.7;43.82805245;zand;12.17
0.7;36.39386499;zand;9.9
0.7;27.98671416;zand;7.1
0.7;39.93772732;zand;11.07
0.7;34.17676094;zand;9.14
0.7;42.3437934;zand;11.79
0.7;36.87204011;zand;10.07
0.7;8.82439047;zand;2.9
0.7;9.59903872;zand;3.02
0.7;9.285978925;zand;2.97
0.7;8.115225887;zand;2.78
0.7;9.383435167;zand;2.99
0.7;9.196213383;zand;2.96
0.7;9.541341226;zand;3.01
0.7;6.649499981;zand;2.56
0.7;10.66668849;zand;3.2
0.7;11.31513888;zand;3.31
0.7;10.66518366;zand;3.2
0.7;9.118918374;zand;2.94
0.7;11.59834778;zand;3.36
0.7;9.754194721;zand;3.05
0.7;12.09980639;zand;3.44
0.7;10.1152296;zand;3.11
0.7;71.04384527;zand;11.59
0.7;72.48860068;zand;11.45
0.7;68.96921006;zand;11.82
0.7;59.97453888;zand;12.94
0.7;71.00931874;zand;11.6
0.7;67.51776193;zand;11.99
0.7;83.2976687;zand;10.75
0.7;74.04981789;zand;11.31
0.7;45.36321649;zand;12.52
0.7;54.13196265;zand;13.35
0.7;43.37882972;zand;12.06
0.7;48.67287387;zand;13.07
0.7;42.73316448;zand;11.89
0.7;44.69893502;zand;12.38
0.7;38.26309359;zand;10.53
0.7;45.66365606;zand;12.58
0.7;39.39850487;zand;10.9
0.7;42.82481014;zand;11.92
0.7;39.69223126;zand;11
0.7;32.42671498;zand;8.54
0.7;41.64988063;zand;11.59
0.7;37.03849632;zand;10.12
0.7;42.8213834;zand;11.91
0.7;39.33601735;zand;10.88
0.7;53.60058101;zand;13.35
0.7;54.62373021;zand;13.34
0.7;51.45608454;zand;13.31
0.7;47.67718574;zand;12.94
0.7;57.73326987;zand;13.16
0.7;50.72726839;zand;13.27
0.7;60.5059591;zand;12.88
0.7;52.48056922;zand;13.34
0.7;29.25500153;zand;7.5
0.7;30.27858162;zand;7.83
0.7;28.38277408;zand;7.23
0.7;25.78310131;zand;6.46
0.7;32.92216334;zand;8.71
0.7;27.5231656;zand;6.96
0.7;30.20382469;zand;7.8
0.7;29.69140004;zand;7.64
0.7;29.25500153;zand;7.5
0.7;30.27858162;zand;7.83
0.7;28.38277408;zand;7.23
0.7;25.78310131;zand;6.46
0.7;32.92216334;zand;8.71
0.7;27.5231656;zand;6.96
0.7;30.20382469;zand;7.8
0.7;29.69140004;zand;7.64
0.7;44.54552045;zand;12.34
0.7;47.89876127;zand;12.97
0.7;44.47310645;zand;12.33
0.7;39.71387016;zand;11
0.7;44.75980744;zand;12.39
0.7;42.70170059;zand;11.88
0.7;44.61680938;zand;12.36
0.7;47.65458788;zand;12.93
0.7;47.27616334;zand;12.88
0.7;48.94242167;zand;13.1
0.7;45.85880896;zand;12.62
0.7;42.14848313;zand;11.73
0.7;52.30227529;zand;13.34
0.7;44.44231871;zand;12.32
0.7;49.11568478;zand;13.12
0.7;48.12315084;zand;13
0.7;52.29154667;zand;13.34
0.7;55.19163786;zand;13.32
0.7;51.60632804;zand;13.32
0.7;45.74324107;zand;12.6
0.7;54.4672854;zand;13.34
0.7;49.56590692;zand;13.17
0.7;53.48805638;zand;13.35
0.7;55.97837099;zand;13.28
0.7;52.29154667;zand;13.34
0.7;55.19163786;zand;13.32
0.7;51.60632804;zand;13.32
0.7;45.74324107;zand;12.6
0.7;54.4672854;zand;13.34
0.7;49.56590692;zand;13.17
0.7;53.48805638;zand;13.35
0.7;55.97837099;zand;13.28
0.7;56.78789912;zand;13.23
0.7;58.40450201;zand;13.1
0.7;55.70421636;zand;13.29
0.7;50.20170238;zand;13.23
0.7;60.1448818;zand;12.92
0.7;57.11438289;zand;13.21
0.7;57.67753632;zand;13.16
0.7;58.26807211;zand;13.11
0.7;39.05783866;zand;10.79
0.7;40.36685144;zand;11.21
0.7;40.00258901;zand;11.1
0.7;30.43699141;zand;7.88
0.7;42.45721254;zand;11.82
0.7;38.07314913;zand;10.47
0.7;44.28008074;zand;12.28
0.7;37.78799637;zand;10.38
0.7;45.40409129;zand;12.53
0.7;48.14428858;zand;13
0.7;44.15576601;zand;12.25
0.7;41.45146368;zand;11.53
0.7;46.85739213;zand;12.81
0.7;45.33981186;zand;12.52
0.7;45.94904108;zand;12.64
0.7;45.9308757;zand;12.64
0.7;29.73209553;zand;7.65
0.7;29.7822273;zand;7.67
0.7;29.24402404;zand;7.49
0.7;25.74164437;zand;6.45
0.7;34.39381951;zand;9.21
0.7;28.52284207;zand;7.27
0.7;31.77361081;zand;8.32
0.7;28.6665006;zand;7.31
0.7;32.06416647;zand;8.42
0.7;34.03500115;zand;9.09
0.7;31.94669216;zand;8.38
0.7;27.94429403;zand;7.09
0.7;33.50325592;zand;8.91
0.7;32.66844063;zand;8.62
0.7;34.06696659;zand;9.1
0.7;30.28451483;zand;7.83
0.7;28.02680466;zand;7.12
0.7;27.43860692;zand;6.94
0.7;28.3001595;zand;7.2
0.7;25.72535184;zand;6.44
0.7;28.97028979;zand;7.41
0.7;28.85212611;zand;7.37
0.7;31.53116795;zand;8.24
0.7;25.3699305;zand;6.34
0.7;33.00079876;zand;8.74
0.7;33.8051017;zand;9.01
0.7;33.04987956;zand;8.75
0.7;28.1337937;zand;7.15
0.7;34.13374448;zand;9.12
0.7;33.77024382;zand;9
0.7;38.31783592;zand;10.55
0.7;29.79499215;zand;7.67
0.7;30.38751396;zand;7.86
0.7;31.82498138;zand;8.34
0.7;29.62067178;zand;7.61
0.7;24.46786062;zand;6.1
0.7;32.55430517;zand;8.58
0.7;30.62624544;zand;7.94
0.7;34.51345911;zand;9.26
0.7;29.10507425;zand;7.45
0.7;32.0421966;zand;8.41
0.7;34.73933112;zand;9.33
0.7;38.91732538;zand;10.75
0.7;35.38797008;zand;9.56
0.7;31.01718121;zand;8.07
0.7;28.5491735;zand;7.28
0.7;29.16767278;zand;7.47
0.7;26.51672215;zand;6.67
0.7;29.17559147;zand;7.47
0.7;30.80603283;zand;8
0.7;28.57932784;zand;7.29
0.7;24.87639477;zand;6.21
0.7;29.52265762;zand;7.58
0.7;30.90153291;zand;8.03
0.7;32.84276486;zand;8.68
0.7;26.70042949;zand;6.72
0.7;24.08910535;zand;6
0.7;25.04825178;zand;6.25
0.7;24.22445106;zand;6.03
0.7;22.47765522;zand;5.58
0.7;25.09525401;zand;6.27
0.7;23.68512414;zand;5.89
0.7;27.57684107;zand;6.98
0.7;20.51616016;zand;5.12
0.7;32.01746085;zand;8.4
0.7;33.93545357;zand;9.06
0.7;35.20655429;zand;9.49
0.7;29.4559949;zand;7.56
0.7;33.3253582;zand;8.85
0.7;29.61584411;zand;7.61
0.7;33.21652364;zand;8.81
0.7;29.36649726;zand;7.53
0.3;31.3378245;veen;15.19
0.3;33.01215903;veen;15.31
0.3;29.74955871;veen;15.07
0.3;27.82612365;veen;14.92
0.3;35.37227504;veen;15.48
0.3;29.47014345;veen;15.05
0.3;32.804291;veen;15.3
0.3;31.13022062;veen;15.17
0.3;61.24464736;veen;17.35
0.3;65.47087405;veen;17.66
0.3;63.73617476;veen;17.53
0.3;58.29280737;veen;17.13
0.3;65.18419708;veen;17.64
0.3;64.22046474;veen;17.57
0.3;70.14583811;veen;18.01
0.3;41.6621754;veen;15.93
0.3;29.74812324;veen;15.07
0.3;30.30745226;veen;15.11
0.3;27.76522077;veen;14.92
0.3;26.25547238;veen;14.8
0.3;33.33627994;veen;15.34
0.3;29.22188895;veen;15.03
0.3;30.47040538;veen;15.12
0.3;30.88014298;veen;15.15
0.3;22.10116067;veen;14.45
0.3;22.15038665;veen;14.45
0.3;22.54014283;veen;14.48
0.3;18.63323699;veen;14.13
0.3;23.82726175;veen;14.6
0.3;21.21298186;veen;14.37
0.3;23.91080229;veen;14.6
0.3;22.43331234;veen;14.48
0.3;35.40390103;veen;15.49
0.3;41.73241269;veen;15.94
0.3;38.8752871;veen;15.73
0.3;33.90088482;veen;15.38
0.3;39.83301108;veen;15.8
0.3;29.36709374;veen;15.04
0.3;33.36703093;veen;15.34
0.3;30.75158688;veen;15.14
0.3;10.84629723;veen;13.28
0.3;11.23232444;veen;13.33
0.3;11.73161423;veen;13.39
0.3;11.64672352;veen;13.38
0.3;11.08774906;veen;13.31
0.3;9.659370695;veen;13.13
0.3;9.486972404;veen;13.11
0.3;11.07932623;veen;13.31
0.3;100.5418846;veen;20.11
0.3;108.9093987;veen;20.59
0.3;109.3986716;veen;20.62
0.3;97.13006207;veen;19.9
0.3;99.68840213;veen;20.05
0.3;90.80655945;veen;19.49
0.3;98.874259;veen;20
0.3;98.98583948;veen;20.01
0.3;33.19840176;veen;15.33
0.3;34.41987318;veen;15.41
0.3;32.38030678;veen;15.27
0.3;31.31781349;veen;15.19
0.3;35.56121051;veen;15.5
0.3;32.21355456;veen;15.25
0.3;33.79782863;veen;15.37
0.3;32.69822517;veen;15.29
0.3;13.32853834;veen;13.57
0.3;14.23606952;veen;13.67
0.3;12.66128013;veen;13.5
0.3;11.45932989;veen;13.35
0.3;15.54314155;veen;13.82
0.3;12.41719789;veen;13.47
0.3;13.55586668;veen;13.6
0.3;13.42688271;veen;13.58
0.3;27.47003993;veen;14.89
0.3;28.00210236;veen;14.93
0.3;25.32596946;veen;14.72
0.3;25.95606181;veen;14.77
0.3;32.62039632;veen;15.28
0.3;25.44098685;veen;14.73
0.3;26.69839336;veen;14.83
0.3;28.24636936;veen;14.95
0.3;38.46176853;veen;15.7
0.3;41.03236206;veen;15.89
0.3;37.76578224;veen;15.65
0.3;32.52997786;veen;15.28
0.3;41.84557791;veen;15.94
0.3;36.66196305;veen;15.58
0.3;40.93745546;veen;15.88
0.3;38.45926113;veen;15.7
0.3;32.93654373;veen;15.31
0.3;34.29629687;veen;15.41
0.3;30.35117759;veen;15.11
0.3;26.59878131;veen;14.82
0.3;37.51465915;veen;15.64
0.3;31.46197075;veen;15.2
0.3;33.19173982;veen;15.32
0.3;37.14118062;veen;15.61
0.3;37.28340323;veen;15.62
0.3;38.73970885;veen;15.72
0.3;35.30067557;veen;15.48
0.3;32.61235803;veen;15.28
0.3;41.9803262;veen;15.95
0.3;35.79838317;veen;15.51
0.3;37.64440879;veen;15.65
0.3;38.90796199;veen;15.74
0.3;32.93654373;veen;15.31
0.3;34.29629687;veen;15.41
0.3;30.35117759;veen;15.11
0.3;26.59878131;veen;14.82
0.3;37.51465915;veen;15.64
0.3;31.46197075;veen;15.2
0.3;33.19173982;veen;15.32
