GAFIDENT;GAFNAAM;Begindatum;Einddatum;KRWWaterlichaamcode;KRW_SGBP3;KRWmonitoringslocatie;KRWmonitoringslocatie_SGBP3;KRWmonitoringslocatie_SGBP3_MeetpuntInAquoKit20200701;SGBP3_NAAM;OPMERKING;OPPEAG;OppWater;OppLand;OmtrekWater;OppWater0_1m;OppWater1_8m;OppWater8m;Opp verhard;Opp onverhard;Opp water (BGT);verhardfactor;Plas;watertype;KRWWatertypeVoorstel_status;type;vijver;StedelijkLandelijk;LANDBOUWGEB;percopenwater
2130-EAG-3;Noorder Legmeerpolder, Uithoorn;20160428;;;;;;;;KRW Overig water;3769956.601;201063.3148;3568893.286;51253.52244;0;0;0;;;;;;M1a;WBP 2016-2021;sloot;;Stedelijk;veen;0.053333058
2130-EAG-4;Noorder Legmeerpolder, Amstelzijde;20160428;;;;;;;;KRW Overig water;212742.0137;10162.92454;202579.0892;4084.307248;0;0;0;;;;;;M1a;WBP 2016-2021;sloot;;Stedelijk;veen;0.047771121
2130-EAG-5;Noorder Legmeerpolder, landelijk - KRW Waterlichaam;;20191205;NL11_2_6;;NL11_VaartenWesteramstel;;;;KRW Waterlichaam;111848;40946;70902;6709;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;0;0.366086117
2140-EAG-1;Uithoornsche Polder, Uithoornse Polder midden;20160428;;;;;;;;KRW Overig water;1368003.303;254662.5143;1113340.788;63390.29627;0;0;0;;;;;;M10;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;veen;0.186156359
2140-EAG-2;Uithoornsche Polder, Uithoornse Polder zuid;20160428;;;;;;;;KRW Overig water;492717.4675;78389.00403;414328.4635;27229.99263;0;0;0;;;;;;M8;WBP 2016-2021;sloot;;Landelijk;veen;0.159095241
2140-EAG-3;Uithoornsche Polder, Zijdelmeer;20160428;;;;;;;;KRW Overig water;313020.139;142114.6805;170905.4584;9091.252997;0;0;0;;;;;;M25;20161205_MemoWatertypenOverigWater;kleine plas;vijver;Stedelijk;plas;0.454011301
2140-EAG-4;Uithoornsche Polder, Bebouwing Uithoorn-Zuid;20160428;;;;;;;;KRW Overig water;2139217.206;377709.5643;1761507.641;81384.34067;0;0;0;;;;;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;veen;0.176564382
2140-EAG-5;Uithoornsche Polder, Natuurgebied Uithoorn;20160428;;;;;;;;KRW Overig water;228891.5043;59967.04934;168924.455;10059.34434;0;0;0;;;;;;M10;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;veen;0.26198897
2140-EAG-6;Uithoornsche Polder, De Kwakel;20160428;;;;;;;;KRW Overig water;2013566.028;370081.7069;1643484.321;84050.36908;0;0;0;;;;;;M10;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;veen;0.183794175
2150-EAG-1;Zuider Legmeerpolder, waterberging;20160428;;;;;;;;KRW Overig water;199576.7156;8159.563511;191417.1521;4849.874019;0;0;0;;;;;;M1a;WBP 2016-2021;sloot;;Landelijk;gtb;0.040884346
2150-EAG-2;Zuider Legmeerpolder, Kudelstaart;20160428;;;;;;;;KRW Overig water;1367610.369;87755.40009;1279854.969;24482.13179;0;0;0;;;;;;M1a;WBP 2016-2021;sloot;;Stedelijk;overig;0.06416696
2150-EAG-3;Zuider Legmeerpolder, landelijk;20160428;;;;;;;;KRW Overig water;7423664.637;286037.5181;7137627.119;136223.8303;0;0;0;;;;;;M1a;WBP 2016-2021;sloot;;Landelijk;gtb;0.038530501
2160-EAG-1;Fred Roeskestraat, Fred Roeskestraat;20160428;;;;;;;;KRW Overig water;144418.2216;10145.17931;134273.0423;1954.538153;0;0;0;;;;;;M1a;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;0.07024861
2200-EAG-1;Venserpolder (volkstuinparken), Nieuw Vredelust, Ons Lustoord en Dijkzicht;20160428;;;;;;;;KRW Overig water;493871.6983;56962.19572;436909.5026;26524.81354;0;0;0;;;;;;M10;20161205_MemoWatertypenOverigWater;sloot;vijver;Stedelijk;volkstuinen;0.115338044
2210-EAG-1;Bijlmer, Bijlmer;20160428;;;;;;;;KRW Overig water;6192675.725;506078.4192;5686597.306;48398.99498;0;0;0;;;;;;M30;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;0.081722093
2000-EAG-1;Boezem Amstelland-West, Noord;20160428;;NL11_2_1;NL11_1_1;NL11_VaartenAmsterdam;NL11_Amstellandboezem;NL11_Amstellandboezem;Amstellandboezem;KRW Waterlichaam;9143369.191;925282.4304;8218086.761;51138.15505;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Stedelijk;overig;0.101197098
2220-EAG-2;Zuid Bijlmer, Gaasperdam;20160428;;;;;;;;KRW Overig water;6293969.606;383440.9176;5910528.688;98648.78687;0;0;0;;;;;;M1b;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;0.060921953
2220-EAG-3;Zuid Bijlmer, Recreatiegebied De Hoge Dijk;20160428;;;;;;;;KRW Overig water;249335.42;73963.79989;175371.6201;9018.48408;0;0;0;;;;;;M1b;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;overig;0.296643774
2220-EAG-4;Zuid Bijlmer, Gaasperpark;20191127;;;;;;;;KRW Overig water;942009.5223;52399.03331;889610.489;15345.8201;0;0;0;;;;;;M1a;;sloot;;Stedelijk;park;0.055624738
2230-EAG-1;Broekzijdse Polder, landelijk;20160428;;;;;;;;KRW Overig water;2469087.241;170926.5372;2298160.704;93545.57188;0;0;0;90088.875;2206318.938;172712.9375;0.036486217;;M1a;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;hoge_potentie_lb;0.069226609
2230-EAG-2;Broekzijdse Polder, Abcoude;20160428;;;;;;;;KRW Overig water;710948.0559;43382.68628;667565.3696;13938.27979;0;0;0;324280.25;342173.625;44501.5;0.456118993;;M1a;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;0.061020894
2240-EAG-1;Holendrechter- en Bullewijker Polder (zuid en west), zuid en west;20160428;;;;;;;;KRW Overig water;1718618.794;221936.4144;1496682.38;73609.94263;0;0;0;196521.5;1295988.25;226132.125;0.114346975;;M8;WBP 2016-2021;sloot;;Landelijk;veen;0.129136499
4000-EAG-1;'s-Gravelandsche vaartboezem,  's-Gravelandsche Vaart;20160428;;NL11_2_2;NL11_2_2;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;Vaarten Vechtstreek;KRW Waterlichaam;442739.8297;130075.556;312664.2737;14416.1127;0;0;0;98993.25;212870.8125;130780.1875;0.223640655;;M6a;WBP 2016-2021;canal;;Landelijk;overig;0.293796824
2250-EAG-2;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Korte Dwarsweg;20160428;;;;;;;;KRW Overig water;518798.8326;32282.89254;486515.94;22688.14051;0;0;0;65720;418031;35055.75;0.126675299;;M30;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;veen;0.062226224
2250-EAG-3;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Ouderkerk aan de Amstel;20160428;;;;;;;;KRW Overig water;954880.829;59159.15751;895721.6715;17955.94167;0;0;0;489659;404603.125;60629.4375;0.512790163;;M8;WBP 2016-2021;sloot;;Stedelijk;veen;0.061954493
2250-EAG-4;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Bullewijk en AMC;20160428;;;;;;;;KRW Overig water;4522725.161;325863.6215;4196861.539;49308.39172;0;0;0;2597097.125;1595668.563;330024.1875;0.574224582;;M30;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;0.072050282
2250-EAG-5;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, golfterrein;20160428;;;;;;;;KRW Overig water;728303.9321;111491.4953;616812.4367;23930.93332;0;0;0;89371.4375;525785.625;113166.3125;0.122708457;;M30;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;overig;0.153083748
2250-EAG-6;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, nabij recreatiegebied;20160428;;;;;;;;KRW Overig water;217768.3101;21398.993;196369.3171;14722.43907;0;0;0;13780.8125;181310.25;22683.25;0.063280248;;M30;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;overig;0.098264954
2250-EAG-7;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Bullewijker Polder noord;20160428;;;;;;;;KRW Overig water;1101914.132;100845.9986;1001068.134;43289.45678;0;0;0;158499.6875;839976.75;103454.75;0.143838099;;M30;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;veen;0.091518927
2270-EAG-1;Duivendrechtsepolder noord en midden;20160428;;;;;;;;KRW Overig water;2973849.924;203624.9031;2770225.021;113324.4823;0;0;0;205969.3125;2554272.438;213663.375;0.069258871;;M8;WBP 2016-2021;sloot;;Landelijk;veen;0.068471815
2280-EAG-1;Venserpolder, Venserpolder;20160428;;;;;;;;KRW Overig water;7937362.669;405457.1946;7531905.475;85996.72399;0;0;0;4354937.313;3162481.188;408568.25;0.549450491;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;0.051082105
2290-EAG-1;Polder De Toekomst, Polder De Toekomst;20160428;;;;;;;;KRW Overig water;992749.8117;60821.84457;931927.9672;24084.98512;0;0;0;265983.6875;662689.25;64095.5625;0.267921159;;M8;WBP 2016-2021;sloot;;Landelijk;veen;0.061266035
2300-EAG-1;Overdiemerpolder, Overdiemerpolder;20160428;;;;;;;;KRW Overig water;987582.2013;141143.6567;846438.5446;32432.87188;0;0;0;243107.9375;603327.9375;141169.5;0.246158986;;M8;WBP 2016-2021;sloot;;Landelijk;overig;0.142918388
2310-EAG-1;Gemeenschapspolder West, landelijk;20160428;;;;;;;;KRW Overig water;4003650.576;337440.4235;3666210.152;154081.4107;0;0;0;548444.1875;3114956;340326.3125;0.13698343;;M8;WBP 2016-2021;sloot;;Landelijk;overig;0.084283185
2310-EAG-2;Gemeenschapspolder West, Driemond;20160428;;;;;;;;KRW Overig water;144154.7551;4958.787941;139195.9672;3428.655015;0;0;0;64977.3125;74219.1875;4961;0.450738342;;M8;WBP 2016-2021;sloot;;Stedelijk;overig;0.034399059
2330-EAG-1;Baambrugge Oostzijds (west);20160428;;;;;;;;KRW Overig water;1393604.481;103078.1077;1290526.373;50503.87362;0;0;0;135836.75;1150915.688;106869.125;0.097470327;;M8;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;0.073965109
2340-EAG-1;Polder Holland en Sticht west, bemalen;20170404;;;;;;;;KRW Overig water;1857363.672;99835.60009;1757528.072;85572.15705;0;0;0;166569.25;1581081.25;109726.1875;0.089679843;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;0.05375124
2340-EAG-2;Polder Holland en Sticht west, Loendersloot;20170404;;;;;;;;KRW Overig water;391584.0641;16776.24656;374807.8175;11803.73908;0;0;0;89294.9375;284622.3125;17671.4375;0.228032475;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;0.042842005
2350-EAG-1;Venserpolder (volkstuinpark Amstelglorie), Venserpolder (volkstuinpark Amstelglorie);20160428;;;;;;;;KRW Overig water;287612.6223;28595.15446;259017.4678;12395.21721;0;0;0;29050.75;228746.6875;29821.875;0.10100417;;M1a;WBP 2016-2021;sloot;vijver;Stedelijk;volkstuinen;0.09942246
2370-EAG-1;Gemeenschapspolder West (Betlem), Gemeenschapspolder West (Betlem);20160428;;;;;;;;KRW Overig water;396159.4822;35389.49541;360769.9868;11867.64271;0;0;0;116061.5;244479.875;35625.875;0.292960864;;M8;WBP 2016-2021;sloot;;Landelijk;overig;0.089331436
2380-EAG-1;Honderdsche polder west, Honderdsche polder west;20170404;;;;;;;;KRW Overig water;1018056.456;48962.75146;969093.7043;34806.97943;0;0;0;55684;911394.9375;50979.875;0.054696251;;M1a;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;0.048094338
4000-EAG-3;'s-Gravelandsche vaartboezem, Karnemelksloot;20160428;;NL11_2_2;NL11_2_2;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;Vaarten Vechtstreek;KRW Waterlichaam;347006.8828;78764.06433;268242.8184;15541.02229;0;0;0;46355.75;220559.125;80186.75;0.133550945;;M6a;WBP 2016-2021;canal;;Landelijk;overig;0.226981274
4000-EAG-4;'s-Gravelandsche vaartboezem, Naardertrekvaart;20160428;;NL11_2_2;NL11_2_2;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;Vaarten Vechtstreek;KRW Waterlichaam;1210256.627;309968.1547;900288.4722;27163.51877;0;0;0;308586.5625;589613.6875;312072.9375;0.254972651;;M6a;WBP 2016-2021;canal;;Landelijk;kustpolder;0.256117709
4000-EAG-6;'s-Gravelandsche vaartboezem, Vesting Naarden;20160428;;NL11_2_2;NL11_2_2;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;Vaarten Vechtstreek;KRW Waterlichaam;1623744.091;405336.8209;1218407.27;26829.30384;0;0;0;340032.3125;877980.1875;407321.125;0.209207702;;M6a;WBP 2016-2021;canal;;Landelijk;overig;0.249630975
4000-EAG-7;'s-Gravelandsche vaartboezem, Naarden-Bussum;20160428;;NL11_2_2;NL11_2_2;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;Vaarten Vechtstreek;KRW Waterlichaam;719843.463;129632.7931;590210.6698;25171.28655;0;0;0;136617.4375;451944.625;131609.375;0.189701272;;M6a;WBP 2016-2021;canal;;Landelijk;overig;0.180084699
4000-EAG-8;'s-Gravelandsche vaartboezem, Zanderijvaarten;20160428;;NL11_2_2;NL11_2_2;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;Vaarten Vechtstreek;KRW Waterlichaam;2578208.727;183702.509;2394506.218;43405.80898;0;0;0;223705.5625;2180668.438;187088.5625;0.086324057;;M6a;WBP 2016-2021;canal;;Landelijk;overig;0.071251993
2400-EAG-1;Polder de Rondehoep, bemalen gebied;20170208;;NL11_2_5;NL11_2_5;;NL11_VaartenRondeHoep;NL11_VaartenRondeHoep;Vaarten Ronde Hoep;KRW Waterlichaam;3081245.95;192635.8302;2888610.119;114090.3702;0;0;0;98872.6875;2714063.188;157211.0625;0.03328882;;M8;WBP 2016-2021;sloot;;Landelijk;veen;0.06251881
2400-EAG-2;Polder de Rondehoep, zuid-west;20170208;;;NL11_2_5;;NL11_VaartenRondeHoep;NL11_VaartenRondeHoep;Vaarten Ronde Hoep;KRW Waterlichaam;3336778.35;240136.935;3096641.415;136020.476;0;0;0;96702.8125;2992018.188;248102.4375;0.0289805;;M8;WBP 2016-2021;sloot;;Landelijk;veen;0.071966703
2400-EAG-3;Polder de Rondehoep, noord-west;20170208;;;NL11_2_5;;NL11_VaartenRondeHoep;NL11_VaartenRondeHoep;Vaarten Ronde Hoep;KRW Waterlichaam;1824655.591;117457.7223;1707197.869;68903.93529;0;0;0;108496.5;1595788.5;120399.3125;0.059460422;;M8;WBP 2016-2021;sloot;;Landelijk;veen;0.064372544
2400-EAG-4;Polder de Rondehoep, noord-oost;20170208;;;NL11_2_5;;NL11_VaartenRondeHoep;NL11_VaartenRondeHoep;Vaarten Ronde Hoep;KRW Waterlichaam;2303369.279;133862.3617;2169506.918;78916.09175;0;0;0;69736.3125;2048807;114658.75;0.03122705;;M8;WBP 2016-2021;sloot;;Landelijk;veen;0.058115893
2410-EAG-1;Polder Waardassacker en Holendrecht, Holendrechter polder;20170210;;;;;;;;KRW Overig water;3203741.068;232361.3007;2971379.768;110078.9687;0;0;0;127450.9375;2841245.438;235086.125;0.039781395;;M8;WBP 2016-2021;sloot;;Landelijk;veen;0.072528115
2410-EAG-2;Polder Waardassacker en Holendrecht, stedelijkgebied (noord);20170210;;;;;;;;KRW Overig water;983179.202;70323.2473;912855.9547;24446.25562;0;0;0;354404.375;556744.9375;72042.4375;0.360463129;;M8;WBP 2016-2021;sloot;;Stedelijk;overig;0.071526378
